Date,Portfolio_Value,Bank,Month,Equity
2014-07-01,1000.0,11000.0,Jul 2014,12000.0
2014-07-02,1005.61,11000.0,Jul 2014,12005.61
2014-07-03,997.38,11000.0,Jul 2014,11997.38
2014-07-04,991.05,11000.0,Jul 2014,11991.05
2014-07-07,982.58,11000.0,Jul 2014,11982.58
2014-07-08,969.0,11000.0,Jul 2014,11969.0
2014-07-09,961.97,11000.0,Jul 2014,11961.97
2014-07-10,923.24,11000.0,Jul 2014,11923.24
2014-07-11,926.2,11000.0,Jul 2014,11926.2
2014-07-14,921.09,11000.0,Jul 2014,11921.09
2014-07-15,940.38,11000.0,Jul 2014,11940.38
2014-07-16,956.87,11000.0,Jul 2014,11956.87
2014-07-17,977.34,11000.0,Jul 2014,11977.34
2014-07-18,978.67,11000.0,Jul 2014,11978.67
2014-07-21,982.24,11000.0,Jul 2014,11982.24
2014-07-22,988.76,11000.0,Jul 2014,11988.76
2014-07-23,995.89,11000.0,Jul 2014,11995.89
2014-07-24,993.47,11000.0,Jul 2014,11993.47
2014-07-25,985.46,11000.0,Jul 2014,11985.46
2014-07-28,1101.66,11000.0,Jul 2014,12101.66
2014-07-30,1106.83,11000.0,Jul 2014,12106.83
2014-07-31,1108.95,11000.0,Jul 2014,12108.95
2014-08-01,2105.43,10000.0,Aug 2014,12105.43
2014-08-04,2116.88,10000.0,Aug 2014,12116.880000000001
2014-08-05,2104.3,10000.0,Aug 2014,12104.3
2014-08-06,2095.43,10000.0,Aug 2014,12095.43
2014-08-07,2085.37,10000.0,Aug 2014,12085.369999999999
2014-08-08,2055.38,10000.0,Aug 2014,12055.380000000001
2014-08-11,2081.06,10000.0,Aug 2014,12081.06
2014-08-12,2070.0,10000.0,Aug 2014,12070.0
2014-08-13,2007.2,10000.0,Aug 2014,12007.2
2014-08-14,2033.7,10000.0,Aug 2014,12033.7
2014-08-18,2057.51,10000.0,Aug 2014,12057.51
2014-08-19,2050.84,10000.0,Aug 2014,12050.84
2014-08-20,2045.22,10000.0,Aug 2014,12045.22
2014-08-21,2057.08,10000.0,Aug 2014,12057.08
2014-08-22,2054.1,10000.0,Aug 2014,12054.1
2014-08-25,2054.81,10000.0,Aug 2014,12054.81
2014-08-26,2054.21,10000.0,Aug 2014,12054.21
2014-08-27,2044.77,10000.0,Aug 2014,12044.77
2014-08-28,2056.78,10000.0,Aug 2014,12056.78
2014-09-01,3105.94,9000.0,Sep 2014,12105.94
2014-09-02,3114.66,9000.0,Sep 2014,12114.66
2014-09-03,3133.09,9000.0,Sep 2014,12133.09
