Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Jul 2014,2014-07-31,12000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,11000.0,1073.55
Aug 2014,2014-08-28,11000.0,1224.91,1018.74273,0.0,431.44,1000.0,431.44,1431.44,10000.0,2502.84
Sep 2014,2014-09-30,10000.0,2565.74,1047.145058,0.0,1047.15,1000.0,1047.15,2047.15,9000.0,3628.2
Oct 2014,2014-10-31,9000.0,3625.34,1052.111782,0.0,870.87,1000.0,870.87,1870.87,8000.0,4688.88
Nov 2014,2014-11-28,8000.0,4943.01,1078.58404,0.0,1078.58,1000.0,1078.58,2078.58,7000.0,6069.87
Dec 2014,2014-12-31,7000.0,6400.16,1116.679923,0.0,1116.68,1000.0,1116.68,2116.68,6000.0,7388.87
Jan 2015,2015-01-30,6000.0,8269.75,1189.146082,0.0,1189.15,1000.0,1189.15,2189.15,5000.0,9460.56
Feb 2015,2015-02-27,5000.0,9734.73,1227.893855,0.0,1227.89,1000.0,1227.89,2227.89,4000.0,10879.52
Mar 2015,2015-03-31,4000.0,10851.07,1237.588775,0.0,1237.59,1000.0,1237.59,2237.59,3000.0,11954.58
Apr 2015,2015-04-30,3000.0,11870.8,1239.232936,0.0,1239.23,1000.0,1239.23,2239.23,2000.0,12826.36
May 2015,2015-05-29,2000.0,12767.71,1230.642793,0.0,1230.64,1000.0,1230.64,2230.64,1000.0,13745.4
Jun 2015,2015-06-30,1000.0,15758.85,1396.570423,0.0,1396.57,1000.0,1396.57,2396.57,0.0,16919.89
Jul 2015,2015-07-31,0.0,18270.12,1522.509682,0.0,1522.51,0.0,1522.51,1522.51,0.0,18425.82
Aug 2015,2015-08-31,0.0,17391.61,1449.300852,0.0,1449.3,0.0,1449.3,1449.3,0.0,17289.43
Sep 2015,2015-09-30,0.0,19315.41,1609.617512,0.0,1609.62,0.0,1609.62,1609.62,0.0,19446.86
Oct 2015,2015-10-30,0.0,19417.96,1618.163028,0.0,1618.16,0.0,1618.16,1618.16,0.0,19523.0
Nov 2015,2015-11-30,0.0,20145.15,1678.762178,0.0,1678.76,0.0,1678.76,1678.76,0.0,20294.14
Dec 2015,2015-12-31,0.0,21876.99,1823.082543,0.0,1823.08,0.0,1823.08,1823.08,0.0,21929.47
Jan 2016,2016-01-29,0.0,21246.14,1770.511862,0.0,1682.57,0.0,1682.57,1682.57,0.0,21154.18
Feb 2016,2016-02-29,0.0,20137.06,1678.088029,0.0,1678.09,0.0,1678.09,1678.09,0.0,19971.98
Mar 2016,2016-03-31,0.0,23353.21,1946.100516,0.0,1946.1,0.0,1946.1,1946.1,0.0,23545.43
Apr 2016,2016-04-29,0.0,23818.7,1984.891983,0.0,1984.89,0.0,1984.89,1984.89,0.0,23926.37
May 2016,2016-05-31,0.0,25153.69,2096.141116,0.0,1332.22,0.0,1332.22,1332.22,0.0,25121.82
Jun 2016,2016-06-30,0.0,25997.28,2166.43987,0.0,645.29,0.0,645.29,645.29,0.0,26002.95
Jul 2016,2016-07-29,0.0,31113.31,2592.776222,0.0,741.82,0.0,741.82,741.82,0.0,31183.96
Aug 2016,2016-08-31,0.0,33742.65,2811.887419,0.0,573.89,0.0,573.89,573.89,0.0,33759.23
Sep 2016,2016-09-30,0.0,33880.93,2823.41077,0.0,2823.41,0.0,2823.41,2823.41,0.0,34008.26
Oct 2016,2016-10-28,0.0,36087.41,3007.284442,0.0,2774.43,0.0,2774.43,2774.43,0.0,36087.62
Nov 2016,2016-11-30,0.0,32107.09,2675.591001,0.0,2675.59,0.0,2675.59,2675.59,0.0,31925.23
Dec 2016,2016-12-30,0.0,29709.41,2475.784316,0.0,2475.78,0.0,2475.78,2475.78,0.0,29637.93
Jan 2017,2017-01-31,0.0,34881.72,2906.809999,0.0,441.33,0.0,441.33,441.33,0.0,34923.4
Feb 2017,2017-02-28,0.0,36742.61,3061.884554,0.0,3061.88,0.0,3061.88,3061.88,0.0,36853.09
Mar 2017,2017-03-31,0.0,39751.64,3312.636323,0.0,3312.64,0.0,3312.64,3312.64,0.0,39848.43
Apr 2017,2017-04-28,0.0,46041.0,3836.749782,0.0,1947.21,0.0,1947.21,1947.21,0.0,46192.29
May 2017,2017-05-31,0.0,48915.49,4076.290774,0.0,4076.29,0.0,4076.29,4076.29,0.0,48495.05
Jun 2017,2017-06-30,0.0,53543.89,4461.990639,0.0,3050.55,0.0,3050.55,3050.55,0.0,53705.81
Jul 2017,2017-07-31,0.0,57566.74,4797.22832,0.0,3272.58,0.0,3272.58,3272.58,0.0,57701.99
Aug 2017,2017-08-31,0.0,56873.22,4739.43474,0.0,2269.71,0.0,2269.71,2269.71,0.0,56872.42
Sep 2017,2017-09-29,0.0,55867.09,4655.590922,0.0,2465.79,0.0,2465.79,2465.79,0.0,55807.4
Oct 2017,2017-10-31,0.0,53139.46,4428.287953,0.0,897.55,0.0,897.55,897.55,0.0,53171.03
Nov 2017,2017-11-30,0.0,51884.56,4323.713507,0.0,4323.71,0.0,4323.71,4323.71,0.0,51722.05
Dec 2017,2017-12-29,0.0,51774.29,4314.524569,0.0,3206.36,0.0,3206.36,3206.36,0.0,52003.82
