Stock,Sector,Industry,Index Satisfied,5 Day Avg Volume (Cr),1_Year_Return,Nifty_Return(1Y),Difference_wrt_Nifty,F3,1_day_return,prev_close
PERSISTENT.NS,Technology,Information Technology Services,"['NIFTY50 SHARIAH', 'NIFTY INDIA DIGITAL', 'NIFTY IT']",212.282,84.32,33.75,50.56999999999999,1,-4.33,5250.25
TRENT.NS,Consumer Cyclical,Apparel - Retail,"['NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30', 'NIFTY100 LOW VOLATILITY 30', 'NIFTY GROWTH SECTORS 15', 'NIFTY100 QUALITY 30', 'NIFTY500 SHARIAH']",2385.7879999999996,265.69,33.75,231.94,1,-1.64,7487.9
SUZLON.NS,Industrials,Industrial - Machinery,"['NIFTY MIDCAP LIQUID 15', 'NIFTY MIDCAP SELECT']",342.30600000000004,156.78,33.75,123.03,1,-5.0,75.75
RPOWER.NS,Utilities,Independent Power Producers,"['NIFTY MEDIA', 'NIFTY OIL & GAS']",586.0120000000001,183.81,33.75,150.06,1,4.99,53.64
BSE.NS,Financial Services,Financial - Data & Stock Exchanges,['NIFTY COMMODITIES'],1586.592,198.14,33.75,164.39,1,2.45,3953.6
RVNL.NS,Industrials,Engineering & Construction,"['NIFTY PSU BANK', 'NIFTY REITS & INVITS']",204.82000000000002,199.35,33.75,165.6,1,-2.9,509.5
ANANTRAJ.NS,Real Estate,Real Estate - Development,"['NIFTY HIGH BETA 50', 'NIFTY CORE HOUSING', 'NIFTY 200', 'NIFTY MIDSMALL FINANCIAL SERVICES', 'NIFTY MOBILITY', 'NIFTY50 EQUAL WEIGHT', 'NIFTY100 EQUAL WEIGHT', 'NIFTY 500', 'NIFTY HOUSING', 'NIFTY TOTAL MARKET']",66.63,197.81,33.75,164.06,1,-3.57,701.65
PCBL.NS,Basic Materials,Chemicals - Specialty,"['NIFTY100 ESG SECTOR LEADERS', 'NIFTY100 ENHANCED ESG', 'NIFTY100 ESG']",216.25,202.62,33.75,168.87,1,-2.81,555.15
PATELENG.NS,Industrials,Engineering & Construction,['NIFTY MEDIA'],22.212,5.69,33.75,-28.06,0,-2.37,55.54
LGBBROSLTD.NS,Consumer Cyclical,Auto - Parts,['NIFTY REITS & INVITS'],10.294,31.17,33.75,-2.5799999999999983,0,-1.22,1375.5
