,Ticker,ROE_Mar-25,ROCE_Mar-25,ROE_Mar-24,ROCE_Mar-24,ROE_Mar-23,ROCE_Mar-23,ROE_Mar-22,ROCE_Mar-22,ROE_Mar-21,ROCE_Mar-21,ROE_Mar-20,ROCE_Mar-20,ROE_Mar-19,ROCE_Mar-19,ROE_Mar-18,ROCE_Mar-18,ROE_Mar-17,ROCE_Mar-17,ROE_Mar-16,ROCE_Mar-16,ROE_Mar-15,ROCE_Mar-15,ROE_Mar-14,ROCE_Mar-14,ROE_Mar-13,ROCE_Mar-13,ROE_Mar-12,ROCE_Mar-12,ROE_Mar-11,ROCE_Mar-11,ROE_Mar-10,ROCE_Mar-10,ROE_Mar-09,ROCE_Mar-09,ROE_Mar-08,ROCE_Mar-08,ROE_Mar-07,ROCE_Mar-07,ROE_Mar-06,ROCE_Mar-06,ROE_Mar-05,ROCE_Mar-05,Unnamed: 0
0,3IINFOLTD.NS,41.45,11.08,-938.15,-266.55,5.77,4.66,0.99,4.24,39.89,3.34,26.18,10.65,70.15,26.94,-84.47,-0.34,41.87,7.3,-330.37,-46.03,0.0,-5.31,-82.7,-12.01,-26.36,-8.44,-57.79,-11.22,12.33,5.27,-12.52,-4.28,28.54,8.42,17.52,5.02,17.76,6.43,14.43,5.69,28.9,4.88,0
1,3MINDIA.NS,25.78,39.79,22.62,29.95,21.36,28.38,10.69,14.27,6.72,9.02,10.55,15.27,17.36,26.33,20.2,19.86,19.63,19.21,19.92,19.36,13.41,12.99,6.14,5.99,7.96,7.72,10.72,10.37,18.31,17.64,21.07,20.86,,,,,,,,,,,1
2,8KMILES.NS,,,-35.04,5.28,-2.55,1.75,-5.55,2.01,-0.04,5.69,-6.34,2.75,11.05,16.25,6.23,11.44,2.12,4.43,2.1,1.89,2.02,1.5,0.4,0.29,0.23,0.16,0.25,0.18,1.77,1.2,0.5,0.49,18.34,15.05,1.44,0.87,12.91,7.96,-6.97,-0.78,-1.08,-0.12,2
3,A2ZINFRA.NS,,,-104.08,-126.46,-552.57,-10.02,-160.81,-96.47,-29.78,-11.61,-80.81,-7.92,4.95,6.93,-18.71,-0.39,-23.01,5.66,-5.64,-3.95,-15.54,-10.84,-21.43,-15.39,-4.87,-4.13,1.7,1.51,7.49,7.0,22.35,18.29,26.61,12.26,56.18,17.38,30.32,12.58,55.06,32.84,,,3
4,AAKASH.NS,3.04,7.18,10.6,15.26,8.67,13.24,12.82,18.41,9.97,14.76,12.96,18.19,10.12,11.09,12.09,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5,AARTIDRUGS.NS,12.57,14.57,12.07,14.97,13.71,17.39,20.05,23.35,29.98,32.29,21.82,21.73,16.82,19.55,16.94,19.96,19.5,21.33,18.92,11.47,25.55,15.44,24.59,16.67,21.79,13.76,12.72,8.15,14.35,8.61,18.47,7.69,12.53,4.76,11.98,3.97,12.97,4.21,14.56,4.53,18.36,6.17,5
6,AARTIIND.NS,6.05,7.72,7.88,8.62,11.09,13.43,26.26,25.88,15.05,14.03,18.03,18.18,18.79,20.57,20.88,20.33,23.4,24.22,23.58,12.63,20.68,10.85,19.09,10.76,19.54,12.14,17.0,10.33,14.95,8.61,17.56,10.91,24.51,13.14,12.99,7.5,10.33,6.08,19.93,12.72,22.61,13.85,6
7,AAVAS.NS,13.16,38.75,13.0,27.45,13.15,23.39,12.7,19.95,12.05,20.24,11.87,8.77,9.57,9.25,7.82,8.28,10.21,11.04,15.78,10.25,18.8,12.86,12.77,12.55,6.47,7.54,0.01,0.29,,,,,,,,,,,,,,,7
8,ABAN.NS,9.67,12.95,-5.56,-7.97,0.95,1.63,1.78,2.52,1.54,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
9,ABBOTINDIA.NS,33.41,42.09,32.47,42.33,29.77,38.5,28.32,36.37,26.54,33.6,24.38,30.54,22.42,33.64,23.7,22.95,19.94,19.28,21.34,20.68,24.42,23.44,25.18,23.47,,,,,,,,,,,,,,,,,,,10
10,ABCAPITAL.NS,11.73,8.57,5.12,5.65,1.39,1.79,3.47,4.17,0.76,0.74,0.31,1.39,-0.13,1.2,0.5,0.76,0.09,0.09,-0.03,-0.01,-4.84,-2.24,-8.35,-3.56,,,,,,,,,,,,,,,,,,,11
11,ABFRL.NS,-1.53,0.29,-3.52,4.38,3.49,6.61,-2.8,3.77,-24.19,-4.92,-13.37,10.31,22.48,13.78,10.79,8.6,5.59,9.4,-11.08,-6.02,-66.11,-16.97,-32.42,-11.42,0.0,5.79,,,,,,,,,,,,,,,,,12
12,ABGSHIP.NS,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-85.85,-177.1,-17.31,-14.99,-4.23,7.01,3.73,12.68,5.66,15.21,7.63,21.28,7.85,20.39,8.87,23.45,15.51,21.68,14.28,19.51,15.19,45.3,24.48,13
13,ABIRLANUVO.NS,,,,,,,,,,,,,,,,,,,4.2,3.59,6.19,5.15,8.31,6.95,6.17,4.96,6.08,4.71,7.03,5.33,3.18,1.89,3.67,1.96,6.66,3.99,7.2,4.51,8.55,5.83,8.39,6.41,14
14,ACC.NS,13.27,16.14,13.25,15.86,6.19,9.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.66,12.33,15
15,ACCELYA.NS,,,,,,,,,19.69,24.0,,,,,,,,,,,,,,,,,,,,,17.43,16.63,10.58,10.25,18.76,18.07,11.5,10.44,10.5,9.28,,,16
16,ACCURACY.NS,,,0.4,7.75,6.89,16.52,16.64,23.18,10.53,13.82,5.27,10.73,11.54,16.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
17,ACE.NS,25.26,35.53,26.86,37.01,17.73,24.76,14.02,19.7,15.31,21.49,11.89,16.92,12.84,19.45,12.97,18.0,4.05,8.15,3.14,2.32,2.64,1.88,1.6,1.12,2.93,2.15,11.85,8.66,19.41,14.97,14.42,14.22,14.62,14.38,26.48,25.92,18.26,17.92,32.15,30.65,47.44,39.28,18
