Date,NIFTY SMALLCAP 250,NIFTY MIDCAP 100
2008-10-01,1874.6,4929.9
2008-10-03,1818.6,4795.3
2008-10-06,1690.4,4515.4
2008-10-07,1651.7,4433
2008-10-08,1569.5,4202.6
2008-10-10,1439.8,3908.1
2008-10-13,1489.1,4133.5
2008-10-14,1525.4,4194.2
2008-10-15,1453.3,4002.9
2008-10-16,1436.4,3996.5
2008-10-17,1398.1,3877.2
2008-10-20,1376.2,3863.3
2008-10-21,1405.4,3978.8
2008-10-22,1376,3839
2008-10-23,1328,3712.7
2008-10-24,1217.3,3411.6
2008-10-27,1155.8,3260.3
2008-10-28,1239.7,3425.2
2008-10-29,1227.2,3385.7
2008-10-31,1264.1,3506.4
2008-11-03,1320.5,3667.3
2008-11-04,1351.1,3780.2
2008-11-05,1323.8,3746.1
2008-11-06,1292.3,3657.6
2008-11-07,1301.6,3719.6
2008-11-10,1335.9,3860.5
2008-11-11,1294.6,3721.3
2008-11-12,1274.3,3661.4
2008-11-14,1255,3588.2
2008-11-17,1223.1,3493.8
2008-11-18,1191.2,3426.2
2008-11-19,1168.9,3380.7
2008-11-20,1133.2,3272.8
2008-11-21,1133,3298.2
2008-11-24,1127.4,3286.3
2008-11-25,1116.7,3271.6
2008-11-26,1111.9,3290.8
2008-11-28,1111,3309.6
2008-12-01,1099.3,3260.3
2008-12-02,1081.6,3228.6
2008-12-03,1087.8,3257.8
2008-12-04,1111.7,3406.8
2008-12-05,1108.6,3355.3
2008-12-08,1112,3327.8
2008-12-10,1126.3,3403.5
2008-12-11,1145.4,3469.8
2008-12-12,1170.3,3502.9
2008-12-15,1209.1,3627.1
2008-12-16,1249.6,3691.7
2008-12-17,1208,3599.3
2008-12-18,1224.3,3673
2008-12-19,1230.7,3769.2
2008-12-22,1221.9,3747.8
2008-12-23,1188,3658.4
2008-12-24,1175.2,3633.5
2008-12-26,1164.5,3589.4
2008-12-29,1176.7,3625.4
2008-12-30,1201.5,3705.2
2008-12-31,1214.5,3735.6
2009-01-01,1248.9,3814.5
2009-01-02,1270.8,3893.9
2009-01-05,1291,3947
2009-01-06,1293.1,3921.8
2009-01-07,1203.8,3647.2
2009-01-09,1170.3,3539.1
2009-01-12,1152.3,3490.1
2009-01-13,1135.8,3451.8
2009-01-14,1152.7,3526.1
2009-01-15,1131.3,3473.3
2009-01-16,1135.5,3506.1
2009-01-19,1146.9,3535
2009-01-20,1139.4,3491.6
2009-01-21,1114.4,3446
2009-01-22,1095.4,3375
2009-01-23,1081.6,3323.2
2009-01-27,1087.9,3321.9
2009-01-28,1096,3350.2
2009-01-29,1096.2,3330.6
2009-01-30,1108,3357.3
2009-02-02,1090.9,3310.1
2009-02-03,1086.5,3288.8
2009-02-04,1084.9,3279.9
2009-02-05,1074.9,3268.1
2009-02-06,1090.5,3339.7
2009-02-09,1105.9,3392
2009-02-10,1110.2,3447.5
2009-02-11,1117.1,3439.6
2009-02-12,1119.5,3446.1
