,Ticker,BV_Mar 24,BV_Mar 23,BV_Mar 22,BV_Mar 21,BV_Mar 20,BV_Mar 19,BV_Mar 18,BV_Mar 17,BV_Mar 16,BV_Mar 15,BV_Mar 14,BV_Mar 13,BV_Mar 12,BV_Mar 11,BV_Mar 10,BV_Mar 09,BV_Mar 08,BV_Mar 07,BV_Mar 06,BV_Mar 05
0,360ONE.NS,71.29,66.09,273.47,276.47,266.81,262.68,175.69,,,,,,,,,,,,,
1,3IINFOLTD.NS,5.16,53.67,50.6,5.03,3.02,2.21,0.64,1.86,2.55,-5.79,9.3,16.95,29.39,50.43,47.11,49.46,41.75,64.24,51.32,19.65
2,3MINDIA.NS,2104.02,1729.09,2209.28,1972.03,1841.76,1650.7,1364.1,1088.67,895.37,717.01,620.88,582.72,536.32,478.82,391.11,,,,,
3,8KMILES.NS,23.75,32.04,31.24,30.76,27.11,28.84,25.63,25.2,53.13,33.59,21.98,21.89,34.65,34.56,49.22,40.73,33.26,32.76,5.51,5.9
4,A2ZINFRA.NS,0.48,0.94,6.08,15.85,20.44,36.78,34.83,41.72,56.15,92.09,122.63,148.91,156.17,153.51,74.08,103.58,46.79,238.2,68.44,
5,AADHARHFC.NS,112.63,93.62,79.68,68.21,594.83,341.89,285.64,,,,,,,,,,,,,
6,AAKASH.NS,5.78,5.17,4.72,40.97,36.88,48.45,39.02,,,,,,,,,,,,,
7,AARTIDRUGS.NS,127.83,120.34,104.99,92.23,266.86,219.9,183.69,162.2,144.66,125.41,207.21,171.46,145.75,129.26,116.52,102.48,93.14,84.08,74.54,65.4
8,AARTIIND.NS,146.0,135.75,124.17,195.81,166.54,295.45,186.37,159.53,128.43,102.47,87.9,84.92,64.79,58.2,51.96,46.68,38.8,35.26,32.53,56.53
9,AARTIPHARM.NS,178.92,158.74,281.87,9.07,,,,,,,,,,,,,,,,
10,AAVAS.NS,476.79,413.57,355.76,305.89,267.86,235.18,172.02,97.37,52.91,30.82,18.81,10.68,9.99,,,,,,,
11,ABAN.NS,24.08,22.2,2.16,2.12,,,,,,,,,,,,,,,,
13,ABBOTINDIA.NS,1740.65,1500.49,1326.96,1224.55,1144.37,945.25,796.62,652.7,562.65,441.2,370.77,,,,,,,,,
14,ABCAPITAL.NS,53.59,41.76,41.0,39.54,39.18,33.14,32.76,37.42,17.49,13.24,9.08,,,,,,,,,
15,ABFRL.NS,49.67,39.91,30.72,29.34,14.03,18.47,14.14,12.4,12.22,37.19,62.39,-1546.0,,,,,,,,
