,Ticker,EPS_Mar 24,EPS_Mar 23,EPS_Mar 22,EPS_Mar 21,EPS_Mar 20,EPS_Mar 19,EPS_Mar 18,EPS_Mar 17,EPS_Mar 16,EPS_Mar 15,EPS_Mar 14,EPS_Mar 13,EPS_Mar 12,EPS_Mar 11,EPS_Mar 10,EPS_Mar 09,EPS_Mar 08,EPS_Mar 07,EPS_Mar 06,EPS_Mar 05
0,360ONE.NS,18.46,13.66,46.36,72.41,28.36,17.57,19.37,,,,,,,,,,,,,
1,3IINFOLTD.NS,-48.52,3.05,0.5,2.01,0.79,1.55,-0.54,0.75,-8.67,-18.25,-7.78,-5.92,-17.37,5.83,-5.9,14.12,7.32,11.41,7.41,5.68
2,3MINDIA.NS,476.05,369.41,236.28,132.53,194.38,286.72,275.66,213.72,178.36,96.17,38.16,46.4,57.5,87.71,82.41,,,,,
3,8KMILES.NS,-8.32,-0.82,-1.59,-0.01,-1.72,3.19,1.6,0.54,1.13,0.68,0.09,0.06,0.09,0.61,0.25,7.47,0.48,4.23,-0.38,-0.06
4,A2ZINFRA.NS,-0.49,-5.2,-9.78,-4.72,-16.52,1.82,-7.68,-10.75,-3.17,-15.91,-26.28,-7.25,2.66,13.72,16.56,27.57,26.29,72.24,37.68,
5,AADHARHFC.NS,18.32,13.38,10.92,8.61,5.86,64.51,53.49,,,,,,,,,,,,,
6,AAKASH.NS,0.61,0.45,0.6,4.0,5.0,4.91,4.72,,,,,,,,,,,,,
7,AARTIDRUGS.NS,15.35,16.5,21.04,27.65,58.12,37.42,30.67,30.84,27.37,32.04,50.97,37.36,17.84,18.56,21.53,12.85,11.17,10.91,10.86,12.01
8,AARTIIND.NS,11.51,15.06,32.61,29.47,30.04,59.1,38.92,37.35,30.3,21.2,16.78,14.83,11.36,8.7,9.13,11.44,5.04,3.64,6.48,12.78
9,AARTIPHARM.NS,22.14,18.95,11.78,-0.18,,,,,,,,,,,,,,,,
10,AAVAS.NS,61.93,54.32,45.02,36.62,31.49,23.08,15.24,11.24,7.96,6.31,2.64,0.69,0.01,,,,,,,
11,ABAN.NS,-1.34,0.22,0.04,0.03,,,,,,,,,,,,,,,,
13,ABBOTINDIA.NS,565.28,446.78,375.86,325.04,279.04,211.93,188.81,130.19,120.12,107.75,93.39,,,,,,,,,
14,ABCAPITAL.NS,2.77,0.58,1.43,0.3,0.13,-0.04,0.18,0.05,-0.01,-0.67,-1.68,,,,,,,,,
15,ABFRL.NS,-1.84,1.39,-0.87,-7.95,-1.88,4.15,1.52,0.69,-1.35,-24.59,-20.24,-9.89,,,,,,,,
16,ABGSHIP.NS,,,,,,,,-687.22,-686.55,-172.91,-39.14,21.04,35.41,37.08,44.96,33.6,31.55,22.84,16.43,13.77
17,ABIRLANUVO.NS,,,,,,,,,27.63,40.49,53.74,36.56,30.41,34.98,13.96,14.46,25.58,24.11,31.21,18.99
18,ABREL.NS,13.63,32.98,18.57,2.82,40.32,543.97,33.28,9.4,-5.21,1.6,0.29,-3.71,2.38,25.52,36.49,25.42,30.03,29.32,11.72,11.78
19,ABSLAMC.NS,26.81,20.46,22.86,286.58,,,,,,,,,,,,,,,,
20,ACC.NS,112.82,46.2,,,,,,,,,,,,,,,,,,21.14
21,ACCELYA.NS,,,,30.28,,,,,,,,,,,14.08,7.4,11.95,6.06,5.15,
22,ACCURACY.NS,0.03,0.44,9.92,5.73,2.57,5.73,,,,,,,,,,,,,,
23,ACE.NS,27.52,13.54,9.1,7.06,4.58,4.79,4.49,1.23,0.74,0.68,0.41,0.73,2.97,4.39,2.72,2.53,4.04,11.09,9.49,261.26
24,ACI.NS,26.14,34.69,,,,,,,,,,,,,,,,,,
25,ADANIENSOL.NS,5.33,1.35,-2.65,-2.3,0.05,0.39,-0.67,0.03,-0.51,-3.16,0.0,,,,,,,,,
26,ADANIENT.NS,24.95,14.29,6.55,3.35,6.35,4.43,1.79,2.02,4.51,3.7,-1.62,4.73,3.29,2.53,5.11,13.24,12.66,6.11,5.23,4.8
27,ADANIGREEN.NS,-3.84,-2.47,-0.76,1.93,0.46,-0.32,-0.3,-0.71,-21.32,,,,,,,,,,,
28,ADANIPORTS.NS,8.05,-2.22,1.41,9.49,9.43,12.74,11.63,14.97,14.31,10.55,9.8,8.76,5.88,4.92,17.49,11.51,5.33,5.2,3.73,4.42
29,ADANIPOWER.NS,46.24,23.32,9.95,-3.75,-5.77,-1.24,-0.06,-17.48,0.32,-0.24,2.13,-8.16,-1.35,2.4,0.78,-0.02,-0.03,-0.09,-0.01,-0.01
30,ADANITRANS.NS,5.33,1.35,-2.65,-2.3,0.05,0.39,-0.67,0.03,-0.51,-3.16,0.0,,,,,,,,,
31,ADLABS.NS,10.75,9.81,-28.51,-30.28,-45.88,-39.45,-18.72,-14.66,-11.41,-20.96,-11.29,-0.4,-0.17,-0.01,0.0,,,,,
32,ADORWELD.NS,46.46,43.6,33.23,-8.82,20.79,17.54,13.65,13.32,16.65,23.8,3.11,14.03,15.36,18.89,18.82,8.94,16.59,23.79,29.45,19.95
33,ADSL.NS,3.91,-6.67,1.02,1.45,1.57,1.92,0.99,0.35,0.45,0.08,2.77,-2.2,1.27,12.06,20.79,43.91,25.19,17.93,24.09,4.71
34,ADVANIHOTR.NS,2.7,6.19,1.41,-0.88,2.44,2.46,1.87,1.93,1.39,0.78,0.49,0.57,0.49,0.3,0.17,0.01,1.38,4.59,4.69,4.01
35,ADVANTA.NS,,,,,,,,,,,,,,,,,,,7.07,10.9
36,ADVENZYMES.NS,9.66,4.97,4.87,6.35,5.18,3.15,3.21,3.12,9.76,9.03,4.55,9.86,10.5,8.46,5.27,,,,,
37,AEGISCHEM.NS,11.73,23.29,12.87,4.44,0.7,2.65,3.02,1.99,1.61,32.28,5.81,12.0,12.29,9.96,20.75,18.47,19.64,14.47,18.52,8.04
38,AEGISLOG.NS,11.73,23.29,12.87,4.44,0.7,2.65,3.02,1.99,1.61,32.28,5.81,12.0,12.29,9.96,20.75,18.47,19.64,14.47,18.52,8.04
39,AETHER.NS,6.74,10.47,9.67,80.93,,,,,,,,,,,,,,,,
40,AFFLE.NS,5.6,5.02,4.26,11.07,13.12,6.87,3.64,0.14,3.16,1.43,,,,,,,,,,
41,AGI.NS,38.85,40.44,17.99,12.71,6.69,9.74,10.34,14.25,16.14,15.7,8.51,15.01,16.67,14.47,6.62,7.3,5.21,5.29,5.52,10.22
42,AHLUCONT.NS,56.06,28.98,121.83,11.53,9.62,17.51,17.23,12.88,12.6,10.0,3.47,-12.14,-6.47,11.28,13.03,9.2,8.23,24.85,15.41,14.0
43,AIAENG.NS,119.75,102.72,61.97,51.41,88.27,43.98,49.82,44.24,62.31,43.95,30.22,17.93,16.0,13.76,12.99,14.2,57.62,35.6,20.97,15.6
44,AIL.NS,-26.34,-65.99,-43.39,9.94,12.65,11.31,3.95,0.04,-8.6,26.34,34.31,27.33,24.95,25.2,24.95,20.13,10.94,16.32,6.91,7.15
45,AIROLAM.NS,5.52,4.93,4.53,3.64,3.18,2.82,2.51,3.44,1.52,1.46,1.35,1.3,,,,,,,,
46,AJANTPHARM.NS,64.06,43.61,83.28,77.59,50.55,44.51,48.58,56.78,47.1,34.8,62.72,43.07,56.66,39.67,24.19,18.12,15.08,11.62,8.77,-36.69
47,AJOONI.NS,0.25,1.94,1.05,0.37,0.41,0.67,0.66,8.34,1.85,1.71,0.6,-0.9,,,,,,,,
48,AJRINFRA.NS,-2.56,-13.58,-5.91,0.07,-0.12,-0.78,0.12,0.2,0.62,,,0.41,0.45,0.49,0.19,0.94,0.49,0.74,0.32,
49,AKG.NS,0.34,0.4,1.01,1.01,1.64,1.62,,,,,,,,,,,,,,
50,AKSHOPTFBR.NS,-12.88,0.95,1.05,0.14,-15.23,1.73,1.4,0.84,2.14,2.03,1.6,1.77,0.69,-3.87,-2.29,-7.15,,,6.73,-1.48
51,AKUMS.NS,,8.77,,,,,,,,,,,,,,,,,,
52,AKZOINDIA.NS,93.7,73.58,63.68,45.6,52.13,45.96,85.85,52.93,43.32,39.93,32.18,46.49,42.08,47.94,43.32,77.41,15.69,109.72,12.27,11.54
53,ALANKIT.NS,0.69,-0.26,0.7,0.7,0.89,0.92,1.49,0.93,0.99,0.58,0.28,1.02,0.84,3.34,31.44,15.91,,-0.82,-0.03,-0.31
