,Ticker,Revenue_Mar 24,Revenue_Mar 23,Revenue_Mar 22,Revenue_Mar 21,Revenue_Mar 20,Revenue_Mar 19,Revenue_Mar 18,Revenue_Mar 17,Revenue_Mar 16,Revenue_Mar 15,Revenue_Mar 14,Revenue_Mar 13,Revenue_Mar 12,Revenue_Mar 11,Revenue_Mar 10,Revenue_Mar 09,Revenue_Mar 08,Revenue_Mar 07,Revenue_Mar 06,Revenue_Mar 05
0,360ONE.NS,4.2,3.14,10.02,15.68,24.81,0.57,77.45,,,,,,,,,,,,,
1,3IINFOLTD.NS,21.12,16.4,12.63,1.29,1.22,1.76,1.47,2.36,5.39,6.64,5.7,6.39,26.78,28.66,30.81,40.32,34.26,59.04,52.04,66.78
2,3MINDIA.NS,3485.78,3314.17,2732.6,2148.55,2454.37,2493.33,2269.08,2097.61,1866.81,1633.63,1546.67,1397.35,1247.3,1057.61,965.72,,,,,
3,8KMILES.NS,15.03,17.75,13.74,13.52,13.91,18.66,16.57,12.28,19.24,11.98,7.19,3.02,3.66,2.01,0.6,0.0,1.27,0.32,0.0,0.0
4,A2ZINFRA.NS,4.88,3.95,7.72,10.67,21.87,28.81,20.3,43.78,75.76,25.33,45.34,74.81,130.53,149.28,195.18,307.7,250.31,1170.03,315.54,
5,AADHARHFC.NS,63.93,50.51,42.88,39.26,347.6,492.86,320.42,,,,,,,,,,,,,
6,AAKASH.NS,9.11,9.14,7.59,59.04,66.65,76.55,82.75,,,,,,,,,,,,,
7,AARTIDRUGS.NS,246.58,269.76,243.11,205.46,701.68,616.68,483.61,456.35,444.11,448.95,802.52,681.95,549.5,410.04,389.33,321.56,265.38,241.29,215.91,208.93
8,AARTIIND.NS,175.09,181.11,166.63,247.75,229.25,524.79,455.02,371.43,326.09,324.03,297.18,264.93,211.49,186.52,167.55,197.23,122.16,103.62,106.35,183.62
9,AARTIPHARM.NS,165.75,166.76,206.53,0.0,,,,,,,,,,,,,,,,
10,AAVAS.NS,254.93,203.44,165.24,140.52,115.2,90.9,71.35,52.46,51.31,32.3,18.9,6.38,0.11,,,,,,,
11,ABAN.NS,2.9,0.27,0.08,0.1,,,,,,,,,,,,,,,,
13,ABBOTINDIA.NS,2752.43,2517.05,2314.95,2028.24,1926.25,1731.16,1552.29,1365.95,1230.4,1077.05,1080.93,,,,,,,,,
14,ABCAPITAL.NS,3.31,0.9,1.87,0.45,0.83,0.81,0.75,0.28,0.09,0.06,0.05,,,,,,,,,
15,ABFRL.NS,121.69,123.7,83.39,56.62,112.96,104.95,92.94,85.69,78.82,199.45,179.03,25702.8,,,,,,,,
16,ABGSHIP.NS,,,,,,,,0.0,6.34,72.83,313.14,412.34,469.71,408.32,355.0,277.34,189.87,138.32,106.39,115.89
17,ABIRLANUVO.NS,,,,,,,,,419.79,686.82,616.57,811.45,742.91,567.99,468.06,503.75,413.95,366.6,441.77,311.6
18,ABREL.NS,347.33,429.33,369.72,233.73,306.59,353.08,733.23,684.46,715.16,744.68,716.46,639.45,523.73,511.61,484.18,417.25,376.36,341.73,283.68,269.71
19,ABSLAMC.NS,46.17,41.85,43.87,578.16,,,,,,,,,,,,,,,,
20,ACC.NS,1061.35,1181.44,,,,,,,,,,,,,,,,,,218.07
21,ACCELYA.NS,,,,168.16,,,,,,,,,,,91.74,76.8,64.55,60.14,48.72,
22,ACCURACY.NS,46.83,58.16,543.37,242.58,228.46,224.99,,,,,,,,,,,,,,
23,ACE.NS,244.5,181.22,136.91,108.12,101.88,114.43,92.61,64.01,54.32,60.41,62.15,67.5,86.47,74.67,47.8,49.04,45.13,136.89,123.92,5247.54
24,ACI.NS,107.75,117.11,,,,,,,,,,,,,,,,,,
25,ADANIENSOL.NS,13.6,6.17,6.73,6.87,7.8,7.57,7.59,7.36,2.5,0.21,0.0,,,,,,,,,
26,ADANIENT.NS,280.81,590.57,243.9,121.47,147.38,141.31,86.84,70.73,74.09,135.78,107.2,108.12,48.03,26.61,229.59,459.5,461.65,408.18,412.75,599.27
27,ADANIGREEN.NS,75.76,48.16,68.24,15.81,7.97,2.03,10.99,0.08,0.0,,,,,,,,,,,
28,ADANIPORTS.NS,31.51,24.24,19.91,21.54,22.85,25.77,31.55,23.56,22.3,18.89,20.99,16.78,12.39,9.41,34.83,28.39,20.43,16.12,21.37,19.44
29,ADANIPOWER.NS,101.65,95.1,71.85,1.16,2.61,6.23,21.39,28.18,38.62,36.99,37.31,26.46,18.11,9.66,1.99,0.0,0.0,0.0,0.0,0.0
30,ADANITRANS.NS,13.6,6.17,6.73,6.87,7.8,7.57,7.59,7.36,2.5,0.21,0.0,,,,,,,,,
31,ADLABS.NS,5.4,6.09,8.15,2.49,22.72,27.3,26.83,29.92,29.28,23.71,21.42,0.0,0.0,0.0,0.0,,,,,
32,ADORWELD.NS,649.88,571.15,486.38,328.88,386.57,376.58,336.57,324.6,299.14,283.04,271.26,267.8,250.69,217.08,191.77,165.39,191.7,187.9,197.09,161.6
33,ADSL.NS,51.84,38.35,22.62,18.97,18.76,14.99,14.79,15.56,20.6,27.17,32.34,51.15,87.91,112.04,101.13,214.52,172.0,122.21,186.75,196.5
34,ADVANIHOTR.NS,11.4,21.34,11.11,5.94,15.17,15.2,13.52,12.9,11.49,10.49,8.6,8.37,7.93,7.42,6.85,6.61,9.37,36.99,37.99,33.37
35,ADVANTA.NS,,,,,,,,,,,,,,,,,,,76.72,81.14
36,ADVENZYMES.NS,32.68,27.86,24.4,25.37,22.15,19.89,19.0,77.33,63.93,57.83,62.37,65.07,54.48,53.7,51.64,,,,,
37,AEGISCHEM.NS,84.9,87.6,34.98,20.08,25.31,21.17,15.02,11.63,10.7,103.34,111.02,114.89,85.11,77.52,151.67,223.99,187.81,147.4,94.75,74.01
38,AEGISLOG.NS,84.9,87.6,34.98,20.08,25.31,21.17,15.02,11.63,10.7,103.34,111.02,114.89,85.11,77.52,151.67,223.99,187.81,147.4,94.75,74.01
39,AETHER.NS,44.94,52.29,52.36,445.41,,,,,,,,,,,,,,,,
40,AFFLE.NS,40.4,37.15,29.83,104.62,71.47,49.91,34.48,27.02,45.77,24.85,,,,,,,,,,
41,AGI.NS,374.17,352.63,221.09,286.34,257.14,374.79,311.14,286.54,268.93,256.85,264.42,238.28,202.78,159.3,143.25,112.15,94.37,86.82,83.82,158.66
42,AHLUCONT.NS,575.52,423.72,401.94,295.9,281.38,261.57,245.8,212.96,186.54,158.23,153.01,221.18,217.26,269.2,249.78,185.47,140.23,533.19,331.18,960.26
43,AIAENG.NS,439.35,428.83,326.71,262.19,274.34,300.84,227.99,219.01,196.18,222.01,189.04,168.15,134.92,104.48,85.24,98.06,315.29,212.5,169.59,170.03
44,AIL.NS,241.67,267.11,389.77,497.25,363.8,283.02,199.01,296.52,254.43,315.97,387.52,414.37,277.72,234.89,304.77,341.71,230.82,181.98,141.09,123.61
45,AIROLAM.NS,136.77,132.96,112.58,88.84,70.91,74.58,62.09,128.83,115.99,121.93,116.21,100.3,,,,,,,,
