Date,NIFTY 50,NIFTY MIDCAP150 QUALITY 50,NIFTY FINANCIAL SERVICES,NIFTY MIDSMALL INDIA CONSUMPTION,NIFTY INFRASTRUCTURE,NIFTY MIDSMALL IT & TELECOM,NIFTY MNC,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,NIFTY QUALITY LOW-VOLATILITY 30,NIFTY100 ESG SECTOR LEADERS,NIFTY METAL,NIFTY REALTY,NIFTY MIDCAP 150,NIFTY MIDSMALL HEALTHCARE,NIFTY100 LOW VOLATILITY 30,NIFTY LOW VOLATILITY 50,NIFTY CONSUMER DURABLES,NIFTY CPSE,NIFTY HIGH BETA 50,NIFTY ALPHA LOW-VOLATILITY 30,NIFTY GROWTH SECTORS 15,NIFTY TATA GROUP,NIFTY FMCG,NIFTY TRANSPORTATION & LOGISTICS,NIFTY PSU BANK,NIFTY200 ALPHA 30,NIFTY SME EMERGE,NIFTY100 ENHANCED ESG,NIFTY100 LIQUID 15,NIFTY100 ESG,NIFTY SMALLCAP 100,NIFTY PSE,NIFTY NEXT 50,NIFTY PRIVATE BANK,NIFTY CORE HOUSING,NIFTY MIDCAP LIQUID 15,NIFTY50 SHARIAH,NIFTY MIDCAP150 MOMENTUM 50,NIFTY REITS & INVITS,NIFTY SMALLCAP250 QUALITY 50,NIFTY INDIA DEFENCE,NIFTY100 QUALITY 30,NIFTY 200,NIFTY ENERGY,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MEDIA,NIFTY INDIA DIGITAL,NIFTY FINANCIAL SERVICES 25/50,NIFTY INDIA CONSUMPTION,NIFTY50 VALUE 20,NIFTY MOBILITY,NIFTY TATA GROUP 25% CAP,NIFTY SHARIAH 25,NIFTY100 ALPHA 30,NIFTY MIDCAP SELECT,NIFTY50 EQUAL WEIGHT,NIFTY200 MOMENTUM 30,NIFTY OIL & GAS,NIFTY NON-CYCLICAL CONSUMER,NIFTY MICROCAP 250,NIFTY COMMODITIES,NIFTY AUTO,NIFTY PHARMA,NIFTY SMALLCAP 50,NIFTY100 EQUAL WEIGHT,NIFTY MAHINDRA GROUP,NIFTY IT,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY HOUSING,NIFTY500 VALUE 50,NIFTY HEALTHCARE INDEX,NIFTY MIDCAP 50,NIFTY SMALLCAP 250,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY SERVICES SECTOR,NIFTY 100,NIFTY MIDCAP 100,NIFTY ALPHA 50,NIFTY INDIA MANUFACTURING,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY500 MULTICAP 50:25:25,NIFTY200 QUALITY 30,NIFTY BANK,NIFTY TOTAL MARKET,NIFTY500 SHARIAH,NIFTY ADITYA BIRLA GROUP
2008-10-01,3950.7,1570.95,2500.91,1338.07,3204.7,1086.05,3041.45,1525.9,1749.1,,2470.02,448.91,1501.0,1396.98,2016.7,2279.3,1833.82,1178.4,1613.7,2102.5,,1172.6,5517.9,1301.25,2127.4,1672.48,,,,,2780.5,2835.6,6105.7,2359.0,2106.88,,957.53,1875.51,,1342.58,,,1974.1,7776.5,1748.89,1271.5,1394.32,2456.9,1283.4,,1432.3,1313.1,,1867.3,1141.31,4752.9,,2132.36,1653.94,1490.63,2044.9,1566.5,2925.25,1751.88,3941.6,2206.6,3193.0,1613.3,1645.93,3082.8,1954.66,1435.2,1560.3,1804.5,1874.6,2655.28,4644.6,3741.6,4929.9,2840.9,1593.88,1855.3,798.24,1704.0,1778.5,5982.4,1710.27,938.19,1314.6
2008-10-03,3818.3,1538.76,2404.05,1312.22,3110.3,1055.57,2955.72,1488.4,1728.5,,2289.56,435.81,1460.9,1362.03,1991.4,2249.2,1750.03,1154.1,1538.9,2050.6,,1120.9,5499.8,1287.8,2095.1,1600.49,,,,,2687.8,2778.3,5887.4,2253.1,2044.32,,919.89,1826.45,,1305.73,,,1908.9,7480.3,1705.68,1252.3,1358.13,2370.2,1257.4,,1404.8,1247.6,,1775.54,1109.64,4632.3,,2041.28,1622.37,1449.7,1960.8,1548.3,2897.44,1696.64,3834.2,2190.6,3106.5,1568.5,1596.16,2984.3,1874.66,1407.2,1546.5,1744.5,1818.6,2544.39,4489.9,3615.0,4795.3,2720.2,1541.72,1817.0,772.44,1654.8,1740.1,5793.3,1655.78,902.88,1298.7
2008-10-06,3602.3,1452.36,2282.94,1246.51,2911.2,989.02,2799.38,1414.9,1643.5,,2091.39,391.39,1366.0,1305.42,1899.3,2137.3,1581.57,1122.8,1400.0,1958.3,,1046.7,5280.5,1237.2,2030.8,1462.58,,,,,2489.3,2674.6,5513.9,2126.0,1881.14,,860.98,1701.52,,1230.39,,,1796.8,7093.1,1598.82,1178.4,1286.89,2240.4,1192.2,,1347.46,1161.4,,1643.87,1031.38,4379.3,,1928.99,1542.78,1342.66,1836.0,1493.7,2755.07,1552.02,3623.0,2088.2,2912.7,1463.6,1497.89,2809.3,1751.51,1342.6,1472.1,1622.4,1690.4,2360.74,4261.9,3407.1,4515.4,2478.9,1441.2,1732.3,733.09,1554.5,1641.3,5560.5,1558.2,844.46,1219.1
2008-10-07,3606.6,1434.24,2243.46,1223.93,2930.7,964.59,2750.93,1402.6,1616.8,,2089.78,382.18,1334.6,1295.81,1878.6,2111.4,1544.59,1123.4,1376.8,1930.6,,1015.9,5188.4,1226.23,2022.0,1434.3,,,,,2425.2,2708.8,5434.7,2060.2,1858.05,,856.33,1677.63,,1204.76,,,1786.5,7231.4,1568.38,1177.6,1263.89,2204.5,1179.3,,1336.02,1140.1,,1631.57,1018.56,4367.2,,1926.67,1524.36,1306.24,1840.9,1489.3,2692.92,1509.49,3588.0,1937.1,2806.5,1430.0,1477.52,2790.9,1745.52,1327.0,1441.1,1597.8,1651.7,2351.11,4246.7,3403.8,4433.0,2446.5,1433.49,1714.2,740.83,1535.7,1617.9,5457.5,1547.26,836.06,1191.6
2008-10-08,3513.6,1364.48,2143.47,1160.29,2872.3,917.19,2655.76,1356.7,1571.2,,2044.83,368.27,1259.0,1225.01,1836.6,2054.3,1440.03,1070.2,1310.0,1868.4,,976.57,4924.1,1191.97,1925.0,1385.44,,,,,2295.6,2651.9,5165.4,1989.1,1794.88,,836.2,1589.26,,1141.27,,,1726.8,7078.1,1489.22,1091.6,1211.47,2111.6,1145.4,,1287.64,1099.3,,1573.06,950.19,4252.5,,1857.44,1458.13,1228.89,1796.3,1452.9,2639.56,1439.72,3453.2,1908.8,2645.8,1352.4,1412.86,2693.9,1696.64,1250.3,1405.6,1510.6,1569.5,2231.03,4110.0,3305.1,4202.6,2322.8,1397.67,1665.0,716.01,1472.5,1560.1,5222.6,1492.73,809.92,1171.7
2008-10-10,3279.9,1280.36,1981.51,1084.47,2610.0,844.45,2478.06,1271.3,1461.4,,1885.21,324.26,1164.7,1154.99,1737.1,1943.2,1294.84,1013.7,1169.3,1767.7,,910.24,4673.0,1120.84,1931.7,1257.55,,,,,2089.5,2510.5,4715.4,1768.3,1631.18,,777.62,1466.87,,1065.73,,,1607.3,6635.0,1401.98,1006.6,1115.63,1955.5,1059.8,,1204.52,1018.8,,1457.05,852.98,3968.5,,1738.05,1338.02,1134.57,1674.2,1378.5,2527.45,1299.83,3206.4,1773.6,2498.8,1247.4,1311.42,2507.5,1558.95,1169.5,1347.4,1374.0,1439.8,2018.28,3818.0,3076.3,3908.1,2065.3,1304.29,1551.6,677.05,1368.8,1462.5,4938.0,1389.22,750.38,1103.7
2008-10-13,3490.7,1336.58,2183.63,1138.42,2847.0,901.58,2638.28,1305.6,1517.8,,1993.42,357.89,1218.4,1196.72,1793.1,2017.2,1395.43,1056.9,1280.9,1836.6,,969.1,4855.4,1157.09,2098.9,1331.36,,,,,2167.5,2612.2,5017.5,1999.5,1719.4,,827.9,1526.58,,1101.99,,,1704.7,6911.6,1445.32,1022.5,1200.15,2141.0,1128.1,,1253.0,1079.2,,1529.87,920.03,4208.9,,1810.32,1424.75,1180.25,1751.2,1432.4,2572.61,1338.76,3400.0,1920.7,2694.8,1299.9,1382.31,2654.3,1680.81,1223.3,1369.2,1467.1,1489.1,2110.93,4162.0,3273.8,4133.5,2158.4,1367.48,1619.8,712.24,1440.4,1518.2,5496.7,1469.99,795.84,1179.1
2008-10-14,3518.6,1348.26,2212.41,1150.98,2875.6,942.1,2681.71,1323.7,1548.8,,1938.42,366.15,1232.1,1221.47,1826.8,2046.6,1420.8,1048.1,1288.9,1881.4,,1002.0,4904.8,1173.24,2136.5,1362.31,,,,,2211.3,2570.1,5120.9,2020.1,1743.84,,845.33,1559.41,,1131.66,,,1723.7,6882.0,1465.25,1046.5,1246.41,2173.8,1159.7,,1272.85,1115.3,,1556.15,930.43,4247.4,,1812.45,1457.46,1209.94,1744.8,1448.5,2726.86,1367.96,3457.9,1938.5,2819.3,1320.3,1397.78,2685.0,1686.16,1235.2,1436.2,1489.9,1525.4,2145.5,4233.2,3305.4,4194.2,2208.9,1370.15,1650.8,713.75,1461.4,1530.7,5578.4,1487.39,813.25,1188.0
2008-10-15,3338.4,1303.13,2125.36,1103.71,2686.1,897.78,2562.97,1279.4,1488.9,,1810.66,347.99,1179.4,1168.0,1759.4,1980.9,1314.01,1032.0,1203.8,1815.0,,931.7,4725.9,1129.91,2096.4,1275.84,,,,,2100.0,2478.1,4851.2,1939.2,1658.84,,795.21,1493.02,,1087.48,,,1637.7,6570.8,1418.65,1008.4,1183.21,2087.9,1105.3,,1223.42,1040.4,,1468.98,874.24,4065.0,,1723.7,1381.61,1142.9,1659.9,1399.8,2681.59,1300.39,3298.5,1826.5,2656.0,1261.8,1332.65,2553.3,1598.15,1200.3,1404.8,1409.0,1453.3,2032.19,4014.2,3135.5,4002.9,2066.6,1304.08,1577.8,688.62,1393.2,1466.9,5425.2,1414.24,765.63,1133.9
2008-10-16,3269.3,1280.3,2143.6,1080.47,2682.9,883.46,2563.69,1255.0,1474.6,,1766.07,367.12,1168.3,1142.32,1734.0,1949.9,1331.92,1023.0,1217.5,1798.5,,890.71,4808.1,1105.74,2159.5,1255.69,,,,,2076.2,2420.3,4835.4,1924.7,1680.57,,768.91,1466.36,,1062.17,,,1611.3,6294.9,1432.93,975.7,1155.24,2111.7,1114.6,,1191.93,1003.7,,1445.04,876.75,3984.2,,1656.25,1379.49,1111.2,1614.8,1355.2,2651.15,1296.63,3257.4,1710.8,2533.6,1249.0,1315.25,2514.7,1601.32,1205.7,1392.0,1399.8,1436.4,2045.57,4010.2,3077.7,3996.5,2049.5,1261.74,1562.4,684.39,1373.0,1466.0,5481.6,1392.48,744.2,1037.7
