Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1021.63,11000.0,12021.63
2014-07-03,1034.01,11000.0,12034.01
2014-07-04,1042.35,11000.0,12042.35
2014-07-07,1042.68,11000.0,12042.68
2014-07-08,1009.13,11000.0,12009.13
2014-07-09,1011.42,11000.0,12011.42
2014-07-10,1021.33,11000.0,12021.33
2014-07-11,1008.07,11000.0,12008.07
2014-07-14,1007.98,11000.0,12007.98
2014-07-15,1023.57,11000.0,12023.57
2014-07-16,1029.18,11000.0,12029.18
2014-07-17,1064.85,11000.0,12064.85
2014-07-18,1053.87,11000.0,12053.87
2014-07-21,1055.1,11000.0,12055.1
2014-07-22,1059.94,11000.0,12059.94
2014-07-23,1100.09,11000.0,12100.09
2014-07-24,1134.43,11000.0,12134.43
2014-07-25,1093.79,11000.0,12093.79
2014-07-28,1074.04,11000.0,12074.04
2014-07-30,1056.52,11000.0,12056.52
2014-07-31,1069.21,11000.0,12069.21
2014-08-01,2050.53,10000.0,12050.53
2014-08-04,2075.65,10000.0,12075.65
2014-08-05,2124.92,10000.0,12124.92
2014-08-06,2109.43,10000.0,12109.43
2014-08-07,2106.46,10000.0,12106.46
2014-08-08,2088.44,10000.0,12088.44
2014-08-11,2100.35,10000.0,12100.35
2014-08-12,2124.15,10000.0,12124.15
2014-08-13,2127.93,10000.0,12127.93
2014-08-14,2165.72,10000.0,12165.72
2014-08-18,2201.9,10000.0,12201.9
2014-08-19,2267.14,10000.0,12267.14
2014-08-20,2303.63,10000.0,12303.63
2014-08-21,2323.39,10000.0,12323.39
2014-08-22,2308.49,10000.0,12308.49
2014-08-25,2297.35,10000.0,12297.35
2014-08-26,2345.13,10000.0,12345.13
2014-08-27,2429.97,10000.0,12429.97
2014-08-28,2385.34,10000.0,12385.34
2014-09-01,3391.75,9000.0,12391.75
2014-09-02,3395.16,9000.0,12395.16
2014-09-03,3422.9,9000.0,12422.9
2014-09-04,3406.49,9000.0,12406.49
2014-09-05,3393.16,9000.0,12393.16
2014-09-08,3496.72,9000.0,12496.72
2014-09-09,3510.11,9000.0,12510.11
2014-09-10,3493.98,9000.0,12493.98
2014-09-11,3519.11,9000.0,12519.11
2014-09-12,3549.54,9000.0,12549.54
2014-09-15,3530.49,9000.0,12530.49
2014-09-16,3411.77,9000.0,12411.77
2014-09-17,3403.93,9000.0,12403.93
2014-09-18,3471.86,9000.0,12471.86
2014-09-19,3499.43,9000.0,12499.43
2014-09-22,3519.77,9000.0,12519.77
2014-09-23,3459.01,9000.0,12459.01
2014-09-24,3426.64,9000.0,12426.64
2014-09-25,3348.11,9000.0,12348.11
2014-09-26,3377.66,9000.0,12377.66
2014-09-29,3410.82,9000.0,12410.82
2014-09-30,3449.3,9000.0,12449.3
2014-10-01,4444.29,8000.0,12444.29
2014-10-07,4422.76,8000.0,12422.76
2014-10-08,4450.92,8000.0,12450.92
2014-10-09,4500.35,8000.0,12500.35
2014-10-10,4421.54,8000.0,12421.54
2014-10-13,4426.77,8000.0,12426.77
2014-10-14,4425.05,8000.0,12425.05
2014-10-16,4342.73,8000.0,12342.73
2014-10-17,4294.21,8000.0,12294.21
2014-10-20,4370.03,8000.0,12370.03
2014-10-21,4428.41,8000.0,12428.41
2014-10-22,4445.96,8000.0,12445.96
2014-10-23,4445.96,8000.0,12445.96
2014-10-27,4493.81,8000.0,12493.81
2014-10-28,4487.99,8000.0,12487.99
2014-10-29,4519.78,8000.0,12519.78
2014-10-30,4584.8,8000.0,12584.8
2014-10-31,4650.47,8000.0,12650.47
2014-11-03,5671.7,7000.0,12671.7
2014-11-05,5706.92,7000.0,12706.92
2014-11-07,5753.79,7000.0,12753.79
2014-11-10,5808.76,7000.0,12808.76
2014-11-11,5838.73,7000.0,12838.73
2014-11-12,5882.28,7000.0,12882.28
2014-11-13,5818.63,7000.0,12818.63
2014-11-14,5850.42,7000.0,12850.42
2014-11-17,5966.62,7000.0,12966.62
2014-11-18,5906.17,7000.0,12906.17
2014-11-19,5852.18,7000.0,12852.18
2014-11-20,5897.48,7000.0,12897.48
2014-11-21,5891.3,7000.0,12891.3
2014-11-24,5850.46,7000.0,12850.46
2014-11-25,5752.4,7000.0,12752.4
2014-11-26,5748.38,7000.0,12748.38
2014-11-27,5801.13,7000.0,12801.13
2014-11-28,5893.69,7000.0,12893.69
2014-12-01,6911.62,6000.0,12911.62
2014-12-02,6914.05,6000.0,12914.05
2014-12-03,6932.48,6000.0,12932.48
2014-12-04,6965.94,6000.0,12965.94
2014-12-05,6945.28,6000.0,12945.28
2014-12-08,6913.17,6000.0,12913.17
2014-12-09,6884.19,6000.0,12884.19
2014-12-10,6822.02,6000.0,12822.02
2014-12-11,6781.29,6000.0,12781.29
2014-12-12,6732.95,6000.0,12732.95
2014-12-15,6744.58,6000.0,12744.58
2014-12-16,6537.02,6000.0,12537.02
2014-12-17,6484.53,6000.0,12484.53
2014-12-18,6629.18,6000.0,12629.18
2014-12-19,6697.99,6000.0,12697.99
2014-12-22,6693.06,6000.0,12693.06
2014-12-23,6782.24,6000.0,12782.24
2014-12-24,6721.59,6000.0,12721.59
2014-12-26,6757.02,6000.0,12757.02
2014-12-29,6799.94,6000.0,12799.94
2014-12-30,6786.51,6000.0,12786.51
2014-12-31,6806.13,6000.0,12806.13
2015-01-01,7843.33,5000.0,12843.33
2015-01-02,7905.15,5000.0,12905.15
2015-01-05,7921.11,5000.0,12921.11
2015-01-06,7751.69,5000.0,12751.69
