Month,Date,Ticker,Quantity,Current_Price,Current_Amount
Jul 2014,2014-07-01,JSWSTEEL.NS,1.969279,126.95,250.0
Jul 2014,2014-07-01,ATUL.NS,0.280978,889.75,250.0
Jul 2014,2014-07-01,HAVELLS.NS,1.066963,234.31,250.0
Jul 2014,2014-07-01,BPCL.NS,2.544098,98.27,250.0
Aug 2014,2014-08-01,JSWSTEEL.NS,1.969279,116.94,230.29
Aug 2014,2014-08-01,ATUL.NS,0.280978,1166.5,327.76
Aug 2014,2014-08-01,HAVELLS.NS,2.143945,232.13,497.67
Aug 2014,2014-08-01,BPCL.NS,2.544098,96.22,244.81
Aug 2014,2014-08-01,AARTIIND.NS,4.748816,52.64,250.0
Aug 2014,2014-08-01,BAJFINANCE.NS,11.372424,21.98,250.0
Aug 2014,2014-08-01,TCS.NS,0.198697,1258.2,250.0
Sep 2014,2014-09-01,JSWSTEEL.NS,1.969279,132.1,260.13
Sep 2014,2014-09-01,ATUL.NS,0.280978,1361.7,382.61
Sep 2014,2014-09-01,HAVELLS.NS,2.143945,279.35,598.91
Sep 2014,2014-09-01,BPCL.NS,4.67221,117.47,548.87
Sep 2014,2014-09-01,AARTIIND.NS,4.748816,67.81,322.01
Sep 2014,2014-09-01,BAJFINANCE.NS,21.630307,24.37,527.16
Sep 2014,2014-09-01,TCS.NS,0.198697,1268.57,252.06
Sep 2014,2014-09-01,AJANTPHARM.NS,0.576072,433.97,250.0
Sep 2014,2014-09-01,CHOLAFIN.NS,3.073896,81.33,250.0
Oct 2014,2014-10-01,JSWSTEEL.NS,1.969279,117.64,231.67
Oct 2014,2014-10-01,ATUL.NS,0.280978,1381.65,388.21
Oct 2014,2014-10-01,HAVELLS.NS,3.107336,259.5,806.35
Oct 2014,2014-10-01,BPCL.NS,6.969828,108.81,758.38
Oct 2014,2014-10-01,AARTIIND.NS,4.748816,68.16,323.68
Oct 2014,2014-10-01,BAJFINANCE.NS,30.655415,27.7,849.17
Oct 2014,2014-10-01,TCS.NS,0.198697,1387.8,275.75
Oct 2014,2014-10-01,AJANTPHARM.NS,0.576072,461.84,266.05
Oct 2014,2014-10-01,CHOLAFIN.NS,5.678606,95.98,545.03
Nov 2014,2014-11-03,JSWSTEEL.NS,1.969279,125.31,246.77
Nov 2014,2014-11-03,ATUL.NS,0.280978,1329.05,373.43
Nov 2014,2014-11-03,HAVELLS.NS,3.107336,290.75,903.46
Nov 2014,2014-11-03,BPCL.NS,6.969828,120.68,841.08
Nov 2014,2014-11-03,AARTIIND.NS,4.748816,75.7,359.51
Nov 2014,2014-11-03,BAJFINANCE.NS,39.616952,27.9,1105.19
Nov 2014,2014-11-03,TCS.NS,0.198697,1295.18,257.35
Nov 2014,2014-11-03,AJANTPHARM.NS,0.576072,508.8,293.11
Nov 2014,2014-11-03,CHOLAFIN.NS,8.298876,95.41,791.8
Nov 2014,2014-11-03,CANFINHOME.NS,2.834224,88.21,250.0
Nov 2014,2014-11-03,KAJARIACER.NS,0.833333,300.0,250.0
Dec 2014,2014-12-01,JSWSTEEL.NS,1.969279,117.24,230.87
Dec 2014,2014-12-01,ATUL.NS,0.280978,1270.35,356.94
Dec 2014,2014-12-01,HAVELLS.NS,3.107336,324.15,1007.24
Dec 2014,2014-12-01,BPCL.NS,6.969828,124.06,864.67
Dec 2014,2014-12-01,AARTIIND.NS,4.748816,67.67,321.37
Dec 2014,2014-12-01,BAJFINANCE.NS,47.715036,30.87,1473.03
Dec 2014,2014-12-01,TCS.NS,0.198697,1346.47,267.54
Dec 2014,2014-12-01,AJANTPHARM.NS,0.576072,642.6,370.18
Dec 2014,2014-12-01,CHOLAFIN.NS,11.012727,92.12,1014.49
Dec 2014,2014-12-01,CANFINHOME.NS,2.834224,90.39,256.2
Dec 2014,2014-12-01,KAJARIACER.NS,1.669733,298.9,499.08
Dec 2014,2014-12-01,WHEELS.NS,0.525569,475.67,250.0
Jan 2015,2015-01-01,JSWSTEEL.NS,1.969279,106.59,209.91
Jan 2015,2015-01-01,ATUL.NS,0.280978,1374.55,386.22
Jan 2015,2015-01-01,HAVELLS.NS,3.107336,276.3,858.56
Jan 2015,2015-01-01,BPCL.NS,6.969828,109.03,759.94
Jan 2015,2015-01-01,AARTIIND.NS,8.748159,62.51,546.85
Jan 2015,2015-01-01,BAJFINANCE.NS,54.858505,35.0,1919.88
Jan 2015,2015-01-01,TCS.NS,0.198697,1272.78,252.9
Jan 2015,2015-01-01,AJANTPHARM.NS,0.576072,628.83,362.25
Jan 2015,2015-01-01,CHOLAFIN.NS,11.012727,94.6,1041.8
Jan 2015,2015-01-01,CANFINHOME.NS,5.565488,91.53,509.42
Jan 2015,2015-01-01,KAJARIACER.NS,1.669733,300.6,501.92
Jan 2015,2015-01-01,WHEELS.NS,0.525569,463.65,243.68
Jan 2015,2015-01-01,ASTRAL.NS,1.427613,175.12,250.0
Feb 2015,2015-02-02,JSWSTEEL.NS,1.969279,99.7,196.34
Feb 2015,2015-02-02,ATUL.NS,0.469579,1325.55,622.45
Feb 2015,2015-02-02,HAVELLS.NS,3.107336,250.25,777.61
Feb 2015,2015-02-02,BPCL.NS,6.969828,124.78,869.66
Feb 2015,2015-02-02,AARTIIND.NS,12.213403,72.14,881.14
Feb 2015,2015-02-02,BAJFINANCE.NS,54.858505,41.6,2282.17
Feb 2015,2015-02-02,TCS.NS,0.198697,1257.1,249.78
Feb 2015,2015-02-02,AJANTPHARM.NS,0.576072,677.21,390.12
Feb 2015,2015-02-02,CHOLAFIN.NS,11.012727,108.21,1191.69
Feb 2015,2015-02-02,CANFINHOME.NS,7.563251,125.14,946.47
Feb 2015,2015-02-02,KAJARIACER.NS,1.669733,364.42,608.49
Feb 2015,2015-02-02,WHEELS.NS,0.525569,572.38,300.82
Feb 2015,2015-02-02,ASTRAL.NS,2.869116,173.43,497.59
Mar 2015,2015-03-02,JSWSTEEL.NS,1.969279,100.68,198.28
Mar 2015,2015-03-02,ATUL.NS,0.469579,1290.75,606.11
Mar 2015,2015-03-02,HAVELLS.NS,3.107336,278.55,865.55
Mar 2015,2015-03-02,BPCL.NS,6.969828,129.92,905.5
Mar 2015,2015-03-02,AARTIIND.NS,15.76477,70.4,1109.77
Mar 2015,2015-03-02,BAJFINANCE.NS,54.858505,43.71,2398.06
Mar 2015,2015-03-02,TCS.NS,0.198697,1334.7,265.2
Mar 2015,2015-03-02,AJANTPHARM.NS,0.576072,782.28,450.65
Mar 2015,2015-03-02,CHOLAFIN.NS,11.012727,116.04,1277.92
Mar 2015,2015-03-02,CANFINHOME.NS,9.564371,124.93,1194.88
Mar 2015,2015-03-02,KAJARIACER.NS,1.669733,410.55,685.51
Mar 2015,2015-03-02,WHEELS.NS,0.525569,737.2,387.45
Mar 2015,2015-03-02,ASTRAL.NS,4.133178,197.78,817.44
Mar 2015,2015-03-02,ARVIND.NS,2.150682,116.24,250.0
Apr 2015,2015-04-01,JSWSTEEL.NS,1.969279,90.96,179.14
Apr 2015,2015-04-01,ATUL.NS,0.469579,1153.05,541.45
Apr 2015,2015-04-01,HAVELLS.NS,3.107336,304.85,947.27
Apr 2015,2015-04-01,BPCL.NS,6.969828,134.03,934.19
Apr 2015,2015-04-01,AARTIIND.NS,18.774368,83.07,1559.54
Apr 2015,2015-04-01,BAJFINANCE.NS,60.89708,41.4,2521.17
Apr 2015,2015-04-01,TCS.NS,0.198697,1271.32,252.61
Apr 2015,2015-04-01,AJANTPHARM.NS,0.576072,815.53,469.81
Apr 2015,2015-04-01,CHOLAFIN.NS,11.012727,119.64,1317.56
Apr 2015,2015-04-01,CANFINHOME.NS,11.503258,128.94,1483.23
Apr 2015,2015-04-01,KAJARIACER.NS,1.669733,392.15,654.79
Apr 2015,2015-04-01,WHEELS.NS,0.525569,633.47,332.93
Apr 2015,2015-04-01,ASTRAL.NS,4.133178,201.87,834.36
Apr 2015,2015-04-01,ARVIND.NS,2.150682,98.68,212.23
Apr 2015,2015-04-01,LAOPALA.NS,1.273237,196.35,250.0
May 2015,2015-05-04,JSWSTEEL.NS,1.969279,93.79,184.71
May 2015,2015-05-04,ATUL.NS,0.469579,1164.2,546.68
May 2015,2015-05-04,HAVELLS.NS,3.107336,287.15,892.27
May 2015,2015-05-04,BPCL.NS,6.969828,130.62,910.38
May 2015,2015-05-04,AARTIIND.NS,21.908181,79.78,1747.73
May 2015,2015-05-04,BAJFINANCE.NS,60.89708,41.93,2553.2
May 2015,2015-05-04,TCS.NS,0.198697,1240.78,246.54
May 2015,2015-05-04,AJANTPHARM.NS,0.576072,884.47,509.52
May 2015,2015-05-04,CHOLAFIN.NS,13.092767,120.19,1573.62
May 2015,2015-05-04,CANFINHOME.NS,13.209393,146.53,1935.57
May 2015,2015-05-04,KAJARIACER.NS,1.669733,389.52,650.4
May 2015,2015-05-04,WHEELS.NS,0.525569,634.6,333.53
May 2015,2015-05-04,ASTRAL.NS,4.133178,202.88,838.55
May 2015,2015-05-04,ARVIND.NS,2.150682,100.56,216.28
May 2015,2015-05-04,LAOPALA.NS,2.529676,198.98,503.34
Jun 2015,2015-06-01,JSWSTEEL.NS,1.969279,90.93,179.06
Jun 2015,2015-06-01,ATUL.NS,0.469579,1181.15,554.64
Jun 2015,2015-06-01,HAVELLS.NS,3.107336,276.8,860.11
Jun 2015,2015-06-01,BPCL.NS,6.969828,143.46,999.88
Jun 2015,2015-06-01,AARTIIND.NS,25.189416,76.19,1919.2
Jun 2015,2015-06-01,BAJFINANCE.NS,66.604973,43.8,2917.23
Jun 2015,2015-06-01,TCS.NS,0.198697,1308.88,260.07
Jun 2015,2015-06-01,AJANTPHARM.NS,0.576072,1080.73,622.58
Jun 2015,2015-06-01,CHOLAFIN.NS,13.092767,118.34,1549.4
Jun 2015,2015-06-01,CANFINHOME.NS,15.043178,136.33,2050.84
Jun 2015,2015-06-01,KAJARIACER.NS,1.669733,424.9,709.47
Jun 2015,2015-06-01,WHEELS.NS,0.525569,608.8,319.97
Jun 2015,2015-06-01,ASTRAL.NS,4.133178,173.12,715.52
Jun 2015,2015-06-01,ARVIND.NS,2.150682,93.26,200.57
Jun 2015,2015-06-01,LAOPALA.NS,3.821332,193.55,739.62
Jul 2015,2015-07-01,ATUL.NS,0.436721,1207.2,527.21
Jul 2015,2015-07-01,HAVELLS.NS,2.040374,287.6,586.81
Jul 2015,2015-07-01,BPCL.NS,4.425731,147.99,654.97
Jul 2015,2015-07-01,AARTIIND.NS,25.189416,82.65,2082.02
Jul 2015,2015-07-01,BAJFINANCE.NS,72.052762,54.98,3961.6
Jul 2015,2015-07-01,TCS.NS,0.198697,1296.55,257.62
Jul 2015,2015-07-01,AJANTPHARM.NS,0.576072,1056.0,608.33
Jul 2015,2015-07-01,CHOLAFIN.NS,13.092767,128.53,1682.81
Jul 2015,2015-07-01,CANFINHOME.NS,16.986414,154.14,2618.29
Jul 2015,2015-07-01,KAJARIACER.NS,2.480096,369.62,916.71
Jul 2015,2015-07-01,WHEELS.NS,0.525569,630.6,331.42
Jul 2015,2015-07-01,ASTRAL.NS,4.133178,175.39,724.91
Jul 2015,2015-07-01,ARVIND.NS,2.150682,101.38,218.04
Jul 2015,2015-07-01,LAOPALA.NS,3.821332,169.5,647.72
Aug 2015,2015-08-03,ATUL.NS,0.436721,1248.7,545.33
Aug 2015,2015-08-03,HAVELLS.NS,0.963391,277.15,267.0
Aug 2015,2015-08-03,BPCL.NS,7.192255,151.47,1089.39
Aug 2015,2015-08-03,AARTIIND.NS,24.568101,101.52,2494.23
Aug 2015,2015-08-03,BAJFINANCE.NS,68.054686,56.82,3867.11
Aug 2015,2015-08-03,AJANTPHARM.NS,0.576072,1034.33,595.85
Aug 2015,2015-08-03,CHOLAFIN.NS,16.164205,136.43,2205.28
Aug 2015,2015-08-03,CANFINHOME.NS,16.986414,160.06,2718.85
Aug 2015,2015-08-03,KAJARIACER.NS,2.480096,373.9,927.31
Aug 2015,2015-08-03,WHEELS.NS,0.525569,643.17,338.03
Aug 2015,2015-08-03,ASTRAL.NS,4.133178,169.29,699.71
Aug 2015,2015-08-03,ARVIND.NS,2.150682,121.31,260.89
Aug 2015,2015-08-03,LAOPALA.NS,3.821332,210.18,803.15
Sep 2015,2015-09-01,ATUL.NS,0.436721,1327.15,579.59
Sep 2015,2015-09-01,HAVELLS.NS,0.963391,258.45,248.99
Sep 2015,2015-09-01,BPCL.NS,5.064143,143.89,728.69
Sep 2015,2015-09-01,AARTIIND.NS,28.931949,101.28,2930.23
Sep 2015,2015-09-01,BAJFINANCE.NS,66.752548,49.35,3294.27
Sep 2015,2015-09-01,CHOLAFIN.NS,16.758419,120.49,2019.22
Sep 2015,2015-09-01,CANFINHOME.NS,16.986414,152.89,2597.05
Sep 2015,2015-09-01,KAJARIACER.NS,2.480096,340.35,844.1
Sep 2015,2015-09-01,WHEELS.NS,0.525569,593.5,311.93
Sep 2015,2015-09-01,ASTRAL.NS,4.133178,186.55,771.03
Sep 2015,2015-09-01,ARVIND.NS,2.150682,97.42,209.53
Sep 2015,2015-09-01,LAOPALA.NS,3.821332,272.3,1040.55
Sep 2015,2015-09-01,HERITGFOOD.NS,4.548172,97.18,441.97
Oct 2015,2015-10-01,ATUL.NS,0.436721,1601.75,699.52
Oct 2015,2015-10-01,BPCL.NS,5.166862,142.52,736.36
Oct 2015,2015-10-01,AARTIIND.NS,28.931949,135.77,3928.18
Oct 2015,2015-10-01,BAJFINANCE.NS,64.425134,51.08,3290.55
Oct 2015,2015-10-01,CHOLAFIN.NS,16.792666,129.63,2176.83
Oct 2015,2015-10-01,CANFINHOME.NS,18.930759,175.94,3330.68
Oct 2015,2015-10-01,KAJARIACER.NS,2.480096,401.02,994.58
Oct 2015,2015-10-01,WHEELS.NS,0.525569,576.05,302.75
Oct 2015,2015-10-01,ASTRAL.NS,4.133178,190.78,788.52
Oct 2015,2015-10-01,ARVIND.NS,2.150682,103.24,222.03
Oct 2015,2015-10-01,LAOPALA.NS,3.821332,280.55,1072.07
Oct 2015,2015-10-01,HERITGFOOD.NS,4.548172,97.71,444.39
Nov 2015,2015-11-02,ATUL.NS,0.436721,1686.2,736.4
Nov 2015,2015-11-02,BPCL.NS,5.166862,145.3,750.75
Nov 2015,2015-11-02,AARTIIND.NS,28.931949,124.74,3609.0
Nov 2015,2015-11-02,BAJFINANCE.NS,64.425134,52.23,3365.05
Nov 2015,2015-11-02,CHOLAFIN.NS,16.792666,125.68,2110.5
Nov 2015,2015-11-02,CANFINHOME.NS,18.930759,185.82,3517.71
Nov 2015,2015-11-02,KAJARIACER.NS,2.480096,445.77,1105.56
Nov 2015,2015-11-02,WHEELS.NS,0.525569,603.03,316.93
Nov 2015,2015-11-02,ASTRAL.NS,4.133178,186.75,771.87
Nov 2015,2015-11-02,ARVIND.NS,2.150682,105.64,227.21
Nov 2015,2015-11-02,LAOPALA.NS,3.821332,273.8,1046.28
Nov 2015,2015-11-02,HERITGFOOD.NS,4.548172,119.55,543.74
Dec 2015,2015-12-01,ATUL.NS,0.932196,1649.5,1537.66
Dec 2015,2015-12-01,BPCL.NS,10.424413,155.45,1620.47
Dec 2015,2015-12-01,AARTIIND.NS,28.931949,121.8,3523.94
Dec 2015,2015-12-01,BAJFINANCE.NS,61.950014,56.04,3471.55
