Month,Date,Investment,Portfolio_Value,Bank,Equity,Holdings
Jul 2014,2014-07-01,1000.0,1000.0,11000.0,12000.0,"[{'Ticker': 'JSWSTEEL.NS', 'Quantity': 1.969279}, {'Ticker': 'ATUL.NS', 'Quantity': 0.280978}, {'Ticker': 'HAVELLS.NS', 'Quantity': 1.066963}, {'Ticker': 'BPCL.NS', 'Quantity': 2.544098}]"
Aug 2014,2014-08-01,1000.0,2050.53,10000.0,12050.53,"[{'Ticker': 'JSWSTEEL.NS', 'Quantity': 1.969279}, {'Ticker': 'ATUL.NS', 'Quantity': 0.280978}, {'Ticker': 'HAVELLS.NS', 'Quantity': 2.143945}, {'Ticker': 'BPCL.NS', 'Quantity': 2.544098}, {'Ticker': 'AARTIIND.NS', 'Quantity': 4.748816}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 11.372424}, {'Ticker': 'TCS.NS', 'Quantity': 0.198697}]"
Sep 2014,2014-09-01,1000.0,3391.75,9000.0,12391.75,"[{'Ticker': 'JSWSTEEL.NS', 'Quantity': 1.969279}, {'Ticker': 'ATUL.NS', 'Quantity': 0.280978}, {'Ticker': 'HAVELLS.NS', 'Quantity': 2.143945}, {'Ticker': 'BPCL.NS', 'Quantity': 4.67221}, {'Ticker': 'AARTIIND.NS', 'Quantity': 4.748816}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 21.630307}, {'Ticker': 'TCS.NS', 'Quantity': 0.198697}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.576072}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 3.073896}]"
Oct 2014,2014-10-01,1000.0,4444.29,8000.0,12444.29,"[{'Ticker': 'JSWSTEEL.NS', 'Quantity': 1.969279}, {'Ticker': 'ATUL.NS', 'Quantity': 0.280978}, {'Ticker': 'HAVELLS.NS', 'Quantity': 3.107336}, {'Ticker': 'BPCL.NS', 'Quantity': 6.969828}, {'Ticker': 'AARTIIND.NS', 'Quantity': 4.748816}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 30.655415}, {'Ticker': 'TCS.NS', 'Quantity': 0.198697}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.576072}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 5.678606}]"
Nov 2014,2014-11-03,1000.0,5671.7,7000.0,12671.7,"[{'Ticker': 'JSWSTEEL.NS', 'Quantity': 1.969279}, {'Ticker': 'ATUL.NS', 'Quantity': 0.280978}, {'Ticker': 'HAVELLS.NS', 'Quantity': 3.107336}, {'Ticker': 'BPCL.NS', 'Quantity': 6.969828}, {'Ticker': 'AARTIIND.NS', 'Quantity': 4.748816}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 39.616952}, {'Ticker': 'TCS.NS', 'Quantity': 0.198697}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.576072}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 8.298876}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 2.834224}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.833333}]"
Dec 2014,2014-12-01,1000.0,6911.62,6000.0,12911.62,"[{'Ticker': 'JSWSTEEL.NS', 'Quantity': 1.969279}, {'Ticker': 'ATUL.NS', 'Quantity': 0.280978}, {'Ticker': 'HAVELLS.NS', 'Quantity': 3.107336}, {'Ticker': 'BPCL.NS', 'Quantity': 6.969828}, {'Ticker': 'AARTIIND.NS', 'Quantity': 4.748816}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 47.715036}, {'Ticker': 'TCS.NS', 'Quantity': 0.198697}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.576072}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 11.012727}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 2.834224}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.669733}, {'Ticker': 'WHEELS.NS', 'Quantity': 0.525569}]"
Jan 2015,2015-01-01,1000.0,7843.33,5000.0,12843.33,"[{'Ticker': 'JSWSTEEL.NS', 'Quantity': 1.969279}, {'Ticker': 'ATUL.NS', 'Quantity': 0.280978}, {'Ticker': 'HAVELLS.NS', 'Quantity': 3.107336}, {'Ticker': 'BPCL.NS', 'Quantity': 6.969828}, {'Ticker': 'AARTIIND.NS', 'Quantity': 8.748159}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 54.858505}, {'Ticker': 'TCS.NS', 'Quantity': 0.198697}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.576072}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 11.012727}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 5.565488}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.669733}, {'Ticker': 'WHEELS.NS', 'Quantity': 0.525569}, {'Ticker': 'ASTRAL.NS', 'Quantity': 1.427613}]"
Feb 2015,2015-02-02,1000.0,9814.33,4000.0,13814.33,"[{'Ticker': 'JSWSTEEL.NS', 'Quantity': 1.969279}, {'Ticker': 'ATUL.NS', 'Quantity': 0.469579}, {'Ticker': 'HAVELLS.NS', 'Quantity': 3.107336}, {'Ticker': 'BPCL.NS', 'Quantity': 6.969828}, {'Ticker': 'AARTIIND.NS', 'Quantity': 12.213403}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 54.858505}, {'Ticker': 'TCS.NS', 'Quantity': 0.198697}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.576072}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 11.012727}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 7.563251}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.669733}, {'Ticker': 'WHEELS.NS', 'Quantity': 0.525569}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.869116}]"
Mar 2015,2015-03-02,1000.0,11412.3,3000.0,14412.3,"[{'Ticker': 'JSWSTEEL.NS', 'Quantity': 1.969279}, {'Ticker': 'ATUL.NS', 'Quantity': 0.469579}, {'Ticker': 'HAVELLS.NS', 'Quantity': 3.107336}, {'Ticker': 'BPCL.NS', 'Quantity': 6.969828}, {'Ticker': 'AARTIIND.NS', 'Quantity': 15.76477}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 54.858505}, {'Ticker': 'TCS.NS', 'Quantity': 0.198697}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.576072}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 11.012727}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 9.564371}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.669733}, {'Ticker': 'WHEELS.NS', 'Quantity': 0.525569}, {'Ticker': 'ASTRAL.NS', 'Quantity': 4.133178}, {'Ticker': 'ARVIND.NS', 'Quantity': 2.150682}]"
Apr 2015,2015-04-01,1000.0,12490.28,2000.0,14490.28,"[{'Ticker': 'JSWSTEEL.NS', 'Quantity': 1.969279}, {'Ticker': 'ATUL.NS', 'Quantity': 0.469579}, {'Ticker': 'HAVELLS.NS', 'Quantity': 3.107336}, {'Ticker': 'BPCL.NS', 'Quantity': 6.969828}, {'Ticker': 'AARTIIND.NS', 'Quantity': 18.774368}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 60.89708}, {'Ticker': 'TCS.NS', 'Quantity': 0.198697}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.576072}, {'Ticker': 'CHOLAFIN.NS', 'Quantity': 11.012727}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 11.503258}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.669733}, {'Ticker': 'WHEELS.NS', 'Quantity': 0.525569}, {'Ticker': 'ASTRAL.NS', 'Quantity': 4.133178}, {'Ticker': 'ARVIND.NS', 'Quantity': 2.150682}, {'Ticker': 'LAOPALA.NS', 'Quantity': 1.273237}]"
