Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,JSWSTEEL.NS,250.0,25.0
Aug 2014,HAVELLS.NS,497.67,24.27
Sep 2014,HAVELLS.NS,598.91,17.66
Oct 2014,BAJFINANCE.NS,849.17,19.11
Nov 2014,BAJFINANCE.NS,1105.19,19.49
Dec 2014,BAJFINANCE.NS,1473.03,21.31
Jan 2015,BAJFINANCE.NS,1919.88,24.48
Feb 2015,BAJFINANCE.NS,2282.17,23.25
Mar 2015,BAJFINANCE.NS,2398.06,21.01
Apr 2015,BAJFINANCE.NS,2521.17,20.19
May 2015,BAJFINANCE.NS,2553.2,18.72
Jun 2015,BAJFINANCE.NS,2917.23,19.98
Jul 2015,BAJFINANCE.NS,3961.6,25.04
Aug 2015,BAJFINANCE.NS,3867.11,23.0
Sep 2015,BAJFINANCE.NS,3294.27,20.57
Oct 2015,AARTIIND.NS,3928.18,21.84
Nov 2015,AARTIIND.NS,3609.0,19.94
Dec 2015,CANFINHOME.NS,3928.91,21.04
Jan 2016,CANFINHOME.NS,4315.97,21.72
Feb 2016,CANFINHOME.NS,4143.67,21.89
Mar 2016,CANFINHOME.NS,3729.83,20.7
Apr 2016,CANFINHOME.NS,4392.02,21.61
May 2016,CANFINHOME.NS,4564.59,21.25
Jun 2016,BAJFINANCE.NS,4548.15,20.53
Jul 2016,CANFINHOME.NS,4469.19,19.28
Aug 2016,BAJFINANCE.NS,6069.39,22.53
Sep 2016,CANFINHOME.NS,7048.83,25.26
Oct 2016,CANFINHOME.NS,7831.89,26.67
Nov 2016,CANFINHOME.NS,8669.21,28.58
Dec 2016,CANFINHOME.NS,7688.63,27.41
Jan 2017,CANFINHOME.NS,7340.82,26.93
Feb 2017,CANFINHOME.NS,8451.4,28.1
Mar 2017,CANFINHOME.NS,8731.4,27.94
Apr 2017,CANFINHOME.NS,9398.03,27.21
May 2017,CANFINHOME.NS,11468.04,29.9
Jun 2017,CANFINHOME.NS,10601.69,25.51
Jul 2017,CANFINHOME.NS,11171.32,25.54
Aug 2017,AVANTIFEED.NS,10721.85,23.74
Sep 2017,CANFINHOME.NS,7093.37,15.46
Oct 2017,AVANTIFEED.NS,7891.56,16.96
Nov 2017,AVANTIFEED.NS,9768.65,19.85
Dec 2017,AVANTIFEED.NS,10861.87,22.9
Jan 2018,AVANTIFEED.NS,10701.27,21.95
Feb 2018,AVANTIFEED.NS,9936.73,20.81
Mar 2018,AVANTIFEED.NS,6085.78,12.96
Apr 2018,BAJFINANCE.NS,6555.04,14.32
May 2018,BAJFINANCE.NS,6945.77,14.5
Jun 2018,BAJFINANCE.NS,8761.53,19.59
Jul 2018,BAJFINANCE.NS,9698.46,22.79
