Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,BAJFINANCE.NS,166.67,16.67
Aug 2014,BAJFINANCE.NS,382.31,18.36
Sep 2014,BAJFINANCE.NS,623.85,18.21
Oct 2014,BAJFINANCE.NS,909.07,19.82
Nov 2014,BAJFINANCE.NS,1115.51,19.71
Dec 2014,BAJFINANCE.NS,1434.45,20.54
Jan 2015,BAJFINANCE.NS,1792.81,22.59
Feb 2015,BAJFINANCE.NS,2297.79,23.86
Mar 2015,BAJFINANCE.NS,2581.14,23.33
Apr 2015,BAJFINANCE.NS,2611.23,21.64
May 2015,BAJFINANCE.NS,2811.07,21.36
Jun 2015,BAJFINANCE.NS,3103.28,21.87
Jul 2015,BAJFINANCE.NS,3830.37,24.81
Aug 2015,BAJFINANCE.NS,3738.02,22.73
Sep 2015,BAJFINANCE.NS,3104.47,20.05
Oct 2015,BAJFINANCE.NS,3056.84,17.8
Nov 2015,BAJFINANCE.NS,3126.06,18.0
Dec 2015,BAJFINANCE.NS,3074.92,17.01
Jan 2016,BAJFINANCE.NS,3328.27,17.47
Feb 2016,BAJFINANCE.NS,3277.66,18.06
Mar 2016,BAJFINANCE.NS,2904.5,16.58
Apr 2016,BAJFINANCE.NS,2940.43,15.15
May 2016,BAJFINANCE.NS,3015.78,14.67
Jun 2016,BAJFINANCE.NS,3180.26,15.0
Jul 2016,BAJFINANCE.NS,3226.43,14.54
Aug 2016,BAJFINANCE.NS,4434.9,18.0
Sep 2016,CANFINHOME.NS,4140.45,16.14
Oct 2016,CANFINHOME.NS,4988.34,18.06
Nov 2016,CANFINHOME.NS,5521.65,19.34
Dec 2016,CANFINHOME.NS,4884.41,18.45
Jan 2017,CANFINHOME.NS,4714.57,18.26
Feb 2017,CANFINHOME.NS,5427.82,19.17
Mar 2017,CANFINHOME.NS,5518.58,18.94
Apr 2017,CANFINHOME.NS,6353.1,19.9
May 2017,CANFINHOME.NS,7752.43,22.16
Jun 2017,CANFINHOME.NS,7218.36,19.17
Jul 2017,CANFINHOME.NS,8048.48,20.52
Aug 2017,AVANTIFEED.NS,7723.95,18.89
Sep 2017,CANFINHOME.NS,5374.72,13.06
Oct 2017,AVANTIFEED.NS,6258.58,14.9
Nov 2017,AVANTIFEED.NS,7747.25,17.63
Dec 2017,AVANTIFEED.NS,8223.17,19.41
Jan 2018,AVANTIFEED.NS,8101.58,18.29
Feb 2018,AVANTIFEED.NS,5726.22,13.33
Mar 2018,BAJFINANCE.NS,5876.58,13.75
Apr 2018,BAJFINANCE.NS,6440.57,15.59
May 2018,BAJFINANCE.NS,7200.64,16.68
Jun 2018,BAJFINANCE.NS,7443.47,18.59
Jul 2018,BAJFINANCE.NS,8239.45,21.54
Aug 2018,BAJFINANCE.NS,9182.12,22.34
Sep 2018,BAJFINANCE.NS,8251.92,19.67
Oct 2018,BAJFINANCE.NS,6690.17,18.62
Nov 2018,BAJFINANCE.NS,6676.56,18.16
Dec 2018,BAJFINANCE.NS,6375.95,16.82
Jan 2019,BAJFINANCE.NS,6752.61,17.81
Feb 2019,AARTIIND.NS,7702.93,20.24
Mar 2019,AARTIIND.NS,6590.13,17.74
Apr 2019,AARTIIND.NS,7345.4,18.06
May 2019,AARTIIND.NS,7460.77,18.43
Jun 2019,AARTIIND.NS,7301.55,16.44
Jul 2019,AARTIIND.NS,6983.46,15.85
Aug 2019,AARTIIND.NS,5710.06,14.82
Sep 2019,SRF.NS,4070.4,10.6
Oct 2019,BAJFINANCE.NS,4475.85,10.79
Nov 2019,BAJFINANCE.NS,5045.51,11.38
Dec 2019,BAJFINANCE.NS,4897.49,11.33
Jan 2020,BAJFINANCE.NS,4914.73,10.79
Feb 2020,BAJFINANCE.NS,5893.89,12.15
Mar 2020,BAJFINANCE.NS,7146.64,15.42
Apr 2020,BAJFINANCE.NS,3637.2,11.88
May 2020,BAJFINANCE.NS,3565.37,10.14
Jun 2020,ESCORTS.NS,3740.6,9.95
Jul 2020,BAJFINANCE.NS,5064.2,12.24
Aug 2020,BAJFINANCE.NS,5315.38,12.0
Sep 2020,BAJFINANCE.NS,6101.26,12.63
Oct 2020,ESCORTS.NS,6465.47,12.77
Nov 2020,AARTIIND.NS,6253.85,12.84
Dec 2020,AARTIIND.NS,7163.76,12.62
Jan 2021,AARTIIND.NS,7624.25,12.79
Feb 2021,GARFIBRES.NS,7187.97,11.73
Mar 2021,GARFIBRES.NS,7899.48,11.9
Apr 2021,ALKYLAMINE.NS,8171.43,11.8
May 2021,ALKYLAMINE.NS,11968.56,15.0
Jun 2021,ALKYLAMINE.NS,12764.29,15.32
Jul 2021,POLYPLEX.NS,10405.01,11.41
Aug 2021,POLYPLEX.NS,11455.44,11.53
Sep 2021,POLYPLEX.NS,12940.16,13.24
Oct 2021,POLYPLEX.NS,11479.07,11.19
Nov 2021,BAJFINANCE.NS,11118.72,10.81
Dec 2021,POLYPLEX.NS,10695.03,10.36
Jan 2022,BAJFINANCE.NS,13864.22,12.68
Feb 2022,BAJFINANCE.NS,13470.55,12.17
Mar 2022,BAJFINANCE.NS,14905.47,14.57
Apr 2022,AARTIIND.NS,16192.45,14.05
May 2022,AARTIIND.NS,14351.25,12.64
Jun 2022,AARTIIND.NS,12694.58,12.12
Jul 2022,SRF.NS,9866.67,10.51
Aug 2022,AARTIIND.NS,11215.62,10.58
Sep 2022,SRF.NS,12170.33,11.2
Oct 2022,SRF.NS,11314.73,11.06
Nov 2022,SRF.NS,11960.83,11.42
Dec 2022,SRF.NS,9028.78,8.67
Jan 2023,FACT.NS,12374.54,11.2
Feb 2023,JWL.NS,11794.9,10.96
Mar 2023,JWL.NS,9833.29,9.43
Apr 2023,JWL.NS,9762.69,9.4
May 2023,JWL.NS,10998.16,9.58
Jun 2023,REFEX.NS,18199.26,14.4
Jul 2023,REFEX.NS,18724.12,13.73
Aug 2023,REFEX.NS,30647.47,19.67
Sep 2023,REFEX.NS,23266.59,14.48
Oct 2023,REFEX.NS,22039.04,13.93
Nov 2023,REFEX.NS,18240.69,11.83
Dec 2023,REFEX.NS,22789.03,13.86
Jan 2024,REFEX.NS,26898.42,15.2
Feb 2024,REFEX.NS,17042.93,9.3
Mar 2024,REFEX.NS,16348.32,8.67
Apr 2024,REFEX.NS,17552.65,9.05
May 2024,BEL.NS,23519.03,10.99
Jun 2024,BEL.NS,31924.76,13.71
Jul 2024,BEL.NS,30822.7,12.54
Aug 2024,BEL.NS,31173.35,12.54
Sep 2024,BEL.NS,29745.68,11.51
Oct 2024,BEL.NS,28448.25,10.32
Nov 2024,JSL.NS,21769.61,8.46
Dec 2024,SARDAEN.NS,31076.18,11.45
Jan 2025,SARDAEN.NS,32774.89,11.64
Feb 2025,SARDAEN.NS,27445.07,11.17
Mar 2025,SARDAEN.NS,27651.19,12.44
Apr 2025,SARDAEN.NS,32490.46,12.9
May 2025,SARDAEN.NS,37052.45,15.28
Jun 2025,SARDAEN.NS,36311.91,13.55
Jul 2025,SARDAEN.NS,34923.7,12.53
Aug 2025,SARDAEN.NS,35091.45,12.65
Sep 2025,SARDAEN.NS,48024.09,16.86
Oct 2025,SARDAEN.NS,45779.09,15.95
Nov 2025,SARDAEN.NS,45396.73,15.53
Dec 2025,SARDAEN.NS,42284.47,14.94
Jan 2026,SARDAEN.NS,33825.34,11.98
Feb 2026,SARDAEN.NS,32942.79,11.73
Mar 2026,FIEMIND.NS,38529.5,13.72
Apr 2026,FIEMIND.NS,38529.5,13.72
