Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1010.23,11000.0,12010.23
2014-07-03,1017.62,11000.0,12017.62
2014-07-04,1017.7,11000.0,12017.7
2014-07-07,1018.03,11000.0,12018.03
2014-07-08,1002.94,11000.0,12002.94
2014-07-09,989.57,11000.0,11989.57
2014-07-10,984.4,11000.0,11984.4
2014-07-11,990.41,11000.0,11990.41
2014-07-14,980.2,11000.0,11980.2
2014-07-15,992.3,11000.0,11992.3
2014-07-16,1001.16,11000.0,12001.16
2014-07-17,1033.25,11000.0,12033.25
2014-07-18,1030.61,11000.0,12030.61
2014-07-21,1035.17,11000.0,12035.17
2014-07-22,1047.36,11000.0,12047.36
2014-07-23,1082.96,11000.0,12082.96
2014-07-24,1102.56,11000.0,12102.56
2014-07-25,1071.04,11000.0,12071.04
2014-07-28,1056.75,11000.0,12056.75
2014-07-30,1053.65,11000.0,12053.65
2014-07-31,1055.41,11000.0,12055.41
2014-08-01,2042.77,10000.0,12042.77
2014-08-04,2045.35,10000.0,12045.35
2014-08-05,2048.75,10000.0,12048.75
2014-08-06,2036.77,10000.0,12036.77
2014-08-07,2025.41,10000.0,12025.41
2014-08-08,1988.5,10000.0,11988.5
2014-08-11,2012.32,10000.0,12012.32
2014-08-12,2003.72,10000.0,12003.72
2014-08-13,1945.16,10000.0,11945.16
2014-08-14,1968.59,10000.0,11968.59
2014-08-18,1993.63,10000.0,11993.63
2014-08-19,2006.59,10000.0,12006.59
2014-08-20,2025.83,10000.0,12025.83
2014-08-21,2026.27,10000.0,12026.27
2014-08-22,2019.21,10000.0,12019.21
2014-08-25,2014.56,10000.0,12014.56
2014-08-26,2000.74,10000.0,12000.74
2014-08-27,2023.69,10000.0,12023.69
2014-08-28,2025.95,10000.0,12025.95
2014-09-01,3063.85,9000.0,12063.85
2014-09-02,3070.55,9000.0,12070.55
2014-09-03,3092.8,9000.0,12092.8
2014-09-04,3094.29,9000.0,12094.29
2014-09-05,3103.1,9000.0,12103.1
2014-09-08,3136.19,9000.0,12136.19
2014-09-09,3134.83,9000.0,12134.83
2014-09-10,3142.16,9000.0,12142.16
2014-09-11,3198.29,9000.0,12198.29
2014-09-12,3242.12,9000.0,12242.12
2014-09-15,3286.68,9000.0,12286.68
2014-09-16,3205.36,9000.0,12205.36
2014-09-17,3191.6,9000.0,12191.6
2014-09-18,3257.8,9000.0,12257.8
2014-09-19,3320.25,9000.0,12320.25
2014-09-22,3324.87,9000.0,12324.87
2014-09-23,3278.98,9000.0,12278.98
2014-09-24,3266.5,9000.0,12266.5
2014-09-25,3203.7,9000.0,12203.7
2014-09-26,3198.93,9000.0,12198.93
2014-09-29,3241.14,9000.0,12241.14
2014-09-30,3283.74,9000.0,12283.74
2014-10-01,4299.52,8000.0,12299.52
2014-10-07,4268.28,8000.0,12268.28
2014-10-08,4232.5,8000.0,12232.5
2014-10-09,4276.62,8000.0,12276.62
2014-10-10,4202.32,8000.0,12202.32
2014-10-13,4217.65,8000.0,12217.65
2014-10-14,4196.81,8000.0,12196.81
2014-10-16,4124.99,8000.0,12124.99
2014-10-17,4116.71,8000.0,12116.71
2014-10-20,4118.55,8000.0,12118.55
2014-10-21,4180.81,8000.0,12180.81
2014-10-22,4240.18,8000.0,12240.18
2014-10-23,4240.18,8000.0,12240.18
2014-10-27,4236.8,8000.0,12236.8
2014-10-28,4189.84,8000.0,12189.84
2014-10-29,4218.27,8000.0,12218.27
2014-10-30,4255.39,8000.0,12255.39
2014-10-31,4260.77,8000.0,12260.77
2014-11-03,5329.03,7000.0,12329.03
2014-11-05,5320.07,7000.0,12320.07
2014-11-07,5420.64,7000.0,12420.64
2014-11-10,5408.2,7000.0,12408.2
2014-11-11,5449.26,7000.0,12449.26
2014-11-12,5533.69,7000.0,12533.69
2014-11-13,5568.03,7000.0,12568.03
2014-11-14,5396.74,7000.0,12396.74
2014-11-17,5382.89,7000.0,12382.89
2014-11-18,5421.49,7000.0,12421.49
2014-11-19,5513.37,7000.0,12513.37
2014-11-20,5525.29,7000.0,12525.29
2014-11-21,5521.07,7000.0,12521.07
2014-11-24,5523.93,7000.0,12523.93
2014-11-25,5454.58,7000.0,12454.58
2014-11-26,5454.96,7000.0,12454.96
2014-11-27,5527.79,7000.0,12527.79
2014-11-28,5541.64,7000.0,12541.64
2014-12-01,6586.65,6000.0,12586.65
2014-12-02,6582.53,6000.0,12582.53
2014-12-03,6619.94,6000.0,12619.94
2014-12-04,6692.03,6000.0,12692.03
2014-12-05,6684.25,6000.0,12684.25
2014-12-08,6582.7,6000.0,12582.7
2014-12-09,6542.86,6000.0,12542.86
2014-12-10,6608.11,6000.0,12608.11
2014-12-11,6602.87,6000.0,12602.87
2014-12-12,6619.71,6000.0,12619.71
2014-12-15,6611.6,6000.0,12611.6
2014-12-16,6439.28,6000.0,12439.28
2014-12-17,6284.09,6000.0,12284.09
2014-12-18,6384.27,6000.0,12384.27
2014-12-19,6334.44,6000.0,12334.44
2014-12-22,6400.9,6000.0,12400.9
2014-12-23,6403.8,6000.0,12403.8
2014-12-24,6407.89,6000.0,12407.89
2014-12-26,6521.12,6000.0,12521.12
2014-12-29,6555.51,6000.0,12555.51
2014-12-30,6599.65,6000.0,12599.65
2014-12-31,6645.83,6000.0,12645.83
2015-01-01,7660.11,5000.0,12660.11
2015-01-02,7693.59,5000.0,12693.59
2015-01-05,7704.4,5000.0,12704.4
2015-01-06,7517.41,5000.0,12517.41
2015-01-07,7511.51,5000.0,12511.51
2015-01-08,7560.38,5000.0,12560.38
2015-01-09,7626.66,5000.0,12626.66
2015-01-12,7685.42,5000.0,12685.42
2015-01-13,7759.65,5000.0,12759.65
2015-01-14,7842.7,5000.0,12842.7
2015-01-15,7857.19,5000.0,12857.19
2015-01-16,7825.34,5000.0,12825.34
2015-01-19,7884.31,5000.0,12884.31
2015-01-20,7932.25,5000.0,12932.25
2015-01-21,7958.88,5000.0,12958.88
2015-01-22,8013.81,5000.0,13013.81
2015-01-23,7933.46,5000.0,12933.46
2015-01-27,7905.94,5000.0,12905.94
2015-01-28,8099.27,5000.0,13099.27
2015-01-29,7976.47,5000.0,12976.47
2015-01-30,7927.0,5000.0,12927.0
2015-02-02,8937.3,4000.0,12937.3
2015-02-03,8948.76,4000.0,12948.76
2015-02-04,8958.74,4000.0,12958.74
2015-02-05,8931.14,4000.0,12931.14
2015-02-06,8920.15,4000.0,12920.15
2015-02-09,8904.76,4000.0,12904.76
2015-02-10,8937.43,4000.0,12937.43
2015-02-11,9032.78,4000.0,13032.78
2015-02-12,9121.07,4000.0,13121.07
2015-02-13,9342.07,4000.0,13342.07
2015-02-16,9448.03,4000.0,13448.03
2015-02-18,9565.43,4000.0,13565.43
2015-02-19,9450.18,4000.0,13450.18
2015-02-20,9389.64,4000.0,13389.64
2015-02-23,9343.73,4000.0,13343.73
2015-02-24,9366.56,4000.0,13366.56
2015-02-25,9320.56,4000.0,13320.56
2015-02-26,9217.12,4000.0,13217.12
2015-02-27,9292.8,4000.0,13292.8
2015-03-02,10517.18,3000.0,13517.18
2015-03-03,10714.21,3000.0,13714.21
2015-03-04,10584.41,3000.0,13584.41
2015-03-05,10631.2,3000.0,13631.2
2015-03-09,10461.37,3000.0,13461.37
2015-03-10,10390.83,3000.0,13390.83
2015-03-11,10439.66,3000.0,13439.66
2015-03-12,10719.77,3000.0,13719.77
2015-03-13,10521.47,3000.0,13521.47
2015-03-16,10427.25,3000.0,13427.25
2015-03-17,10441.65,3000.0,13441.65
2015-03-18,10471.97,3000.0,13471.97
2015-03-19,10495.98,3000.0,13495.98
2015-03-20,10297.57,3000.0,13297.57
2015-03-23,10294.91,3000.0,13294.91
2015-03-24,10267.27,3000.0,13267.27
2015-03-25,10316.72,3000.0,13316.72
2015-03-26,10315.42,3000.0,13315.42
2015-03-27,10284.77,3000.0,13284.77
2015-03-30,10470.27,3000.0,13470.27
2015-03-31,10583.66,3000.0,13583.66
2015-04-01,11723.71,2000.0,13723.71
2015-04-06,11970.87,2000.0,13970.87
2015-04-07,12082.39,2000.0,14082.39
2015-04-08,12466.99,2000.0,14466.99
2015-04-09,12533.7,2000.0,14533.7
2015-04-10,12532.03,2000.0,14532.03
2015-04-13,12495.48,2000.0,14495.48
2015-04-15,12613.07,2000.0,14613.07
2015-04-16,12600.54,2000.0,14600.54
2015-04-17,12554.01,2000.0,14554.01
2015-04-20,12418.08,2000.0,14418.08
2015-04-21,12319.72,2000.0,14319.72
2015-04-22,12294.79,2000.0,14294.79
2015-04-23,12411.67,2000.0,14411.67
2015-04-24,12010.61,2000.0,14010.61
2015-04-27,11764.16,2000.0,13764.16
2015-04-28,11746.28,2000.0,13746.28
2015-04-29,11843.2,2000.0,13843.2
2015-04-30,11954.16,2000.0,13954.16
2015-05-04,13055.84,1000.0,14055.84
2015-05-05,13039.88,1000.0,14039.88
2015-05-06,13065.12,1000.0,14065.12
2015-05-07,12895.23,1000.0,13895.23
2015-05-08,12836.15,1000.0,13836.15
2015-05-11,12836.48,1000.0,13836.48
2015-05-12,12723.13,1000.0,13723.13
2015-05-13,12888.55,1000.0,13888.55
2015-05-14,13009.34,1000.0,14009.34
2015-05-15,12923.17,1000.0,13923.17
2015-05-18,12978.31,1000.0,13978.31
2015-05-19,13055.61,1000.0,14055.61
2015-05-20,13067.57,1000.0,14067.57
2015-05-21,13131.04,1000.0,14131.04
2015-05-22,13211.86,1000.0,14211.86
2015-05-25,13095.34,1000.0,14095.34
2015-05-26,13165.08,1000.0,14165.08
2015-05-27,13036.8,1000.0,14036.8
