Month,Date,Ticker,Quantity,Current_Price,Current_Amount
Jul 2014,2014-07-01,BALKRISIND.NS,0.459719,362.54,166.67
Jul 2014,2014-07-01,ATUL.NS,0.187319,889.75,166.67
Jul 2014,2014-07-01,KKCL.NS,0.494457,337.07,166.67
Jul 2014,2014-07-01,AJANTPHARM.NS,0.381028,437.41,166.67
Jul 2014,2014-07-01,WIPRO.NS,1.651596,100.91,166.67
Jul 2014,2014-07-01,ENGINERSIN.NS,1.040853,160.12,166.67
Aug 2014,2014-08-01,BALKRISIND.NS,0.900633,378.0,340.44
Aug 2014,2014-08-01,ATUL.NS,0.187319,1166.5,218.51
Aug 2014,2014-08-01,KKCL.NS,0.980153,343.15,336.34
Aug 2014,2014-08-01,AJANTPHARM.NS,0.754262,446.55,336.81
Aug 2014,2014-08-01,WIPRO.NS,1.651596,100.5,165.99
Aug 2014,2014-08-01,ENGINERSIN.NS,2.239894,139.0,311.35
Aug 2014,2014-08-01,ECLERX.NS,0.258198,645.5,166.67
Aug 2014,2014-08-01,ZENSARTECH.NS,2.021918,82.43,166.67
Sep 2014,2014-09-01,BALKRISIND.NS,1.362985,360.48,491.32
Sep 2014,2014-09-01,ATUL.NS,0.187319,1361.7,255.07
Sep 2014,2014-09-01,KKCL.NS,1.444367,359.03,518.57
Sep 2014,2014-09-01,AJANTPHARM.NS,1.138311,433.97,494.0
Sep 2014,2014-09-01,WIPRO.NS,1.651596,106.1,175.23
Sep 2014,2014-09-01,ENGINERSIN.NS,2.239894,119.95,268.68
Sep 2014,2014-09-01,ECLERX.NS,0.258198,687.2,177.43
Sep 2014,2014-09-01,ZENSARTECH.NS,3.857858,90.78,350.22
Sep 2014,2014-09-01,KAJARIACER.NS,0.495737,336.2,166.67
Sep 2014,2014-09-01,TORNTPHARM.NS,0.401631,414.98,166.67
Oct 2014,2014-10-01,BALKRISIND.NS,1.793566,387.07,694.24
Oct 2014,2014-10-01,ATUL.NS,0.187319,1381.65,258.81
Oct 2014,2014-10-01,KKCL.NS,1.444367,365.64,528.12
Oct 2014,2014-10-01,AJANTPHARM.NS,1.499186,461.84,692.38
Oct 2014,2014-10-01,WIPRO.NS,1.651596,115.45,190.68
Oct 2014,2014-10-01,ENGINERSIN.NS,2.239894,121.65,272.48
Oct 2014,2014-10-01,ECLERX.NS,0.258198,703.9,181.75
Oct 2014,2014-10-01,ZENSARTECH.NS,5.206949,123.54,643.27
Oct 2014,2014-10-01,KAJARIACER.NS,0.495737,323.1,160.17
Oct 2014,2014-10-01,TORNTPHARM.NS,0.778491,442.25,344.29
Oct 2014,2014-10-01,ASTRAL.NS,0.929644,179.28,166.67
Oct 2014,2014-10-01,RATNAMANI.NS,0.586923,283.97,166.67
Nov 2014,2014-11-03,BALKRISIND.NS,2.215519,394.99,875.11
Nov 2014,2014-11-03,ATUL.NS,0.187319,1329.05,248.96
Nov 2014,2014-11-03,KKCL.NS,1.444367,336.23,485.64
Nov 2014,2014-11-03,AJANTPHARM.NS,1.826754,508.8,929.45
Nov 2014,2014-11-03,WIPRO.NS,1.651596,105.92,174.93
Nov 2014,2014-11-03,ENGINERSIN.NS,2.239894,137.48,307.93
Nov 2014,2014-11-03,ECLERX.NS,0.258198,654.7,169.04
Nov 2014,2014-11-03,ZENSARTECH.NS,6.570833,122.2,802.96
Nov 2014,2014-11-03,KAJARIACER.NS,1.051292,300.0,315.39
Nov 2014,2014-11-03,TORNTPHARM.NS,0.778491,456.05,355.03
Nov 2014,2014-11-03,ASTRAL.NS,1.972794,159.77,315.2
Nov 2014,2014-11-03,RATNAMANI.NS,1.122255,311.33,349.4
Dec 2014,2014-12-01,BALKRISIND.NS,2.765615,302.98,837.92
Dec 2014,2014-12-01,ATUL.NS,0.187319,1270.35,237.96
Dec 2014,2014-12-01,KKCL.NS,1.444367,372.91,538.62
Dec 2014,2014-12-01,AJANTPHARM.NS,2.086117,642.6,1340.54
Dec 2014,2014-12-01,WIPRO.NS,1.651596,111.11,183.51
Dec 2014,2014-12-01,ENGINERSIN.NS,2.239894,113.68,254.62
Dec 2014,2014-12-01,ECLERX.NS,0.258198,627.2,161.94
Dec 2014,2014-12-01,ZENSARTECH.NS,7.968457,119.25,950.24
Dec 2014,2014-12-01,KAJARIACER.NS,1.051292,298.9,314.23
Dec 2014,2014-12-01,TORNTPHARM.NS,1.077996,556.47,599.88
Dec 2014,2014-12-01,ASTRAL.NS,2.806023,200.03,561.27
Dec 2014,2014-12-01,RATNAMANI.NS,1.548077,391.4,605.92
Jan 2015,2015-01-01,BALKRISIND.NS,2.765615,302.73,837.24
Jan 2015,2015-01-01,ATUL.NS,0.187319,1374.55,257.48
Jan 2015,2015-01-01,KKCL.NS,1.444367,382.95,553.12
Jan 2015,2015-01-01,AJANTPHARM.NS,2.351161,628.83,1478.47
Jan 2015,2015-01-01,WIPRO.NS,1.651596,103.58,171.06
Jan 2015,2015-01-01,ENGINERSIN.NS,2.239894,114.47,256.41
Jan 2015,2015-01-01,ECLERX.NS,0.258198,644.7,166.46
Jan 2015,2015-01-01,ZENSARTECH.NS,9.343822,121.18,1132.28
Jan 2015,2015-01-01,KAJARIACER.NS,1.051292,300.6,316.02
Jan 2015,2015-01-01,TORNTPHARM.NS,1.368989,572.75,784.09
Jan 2015,2015-01-01,ASTRAL.NS,3.757765,175.12,658.05
Jan 2015,2015-01-01,RATNAMANI.NS,1.548077,462.57,716.09
Jan 2015,2015-01-01,IGL.NS,3.691808,45.15,166.67
Jan 2015,2015-01-01,KSCL.NS,0.21347,780.75,166.67
Feb 2015,2015-02-02,BALKRISIND.NS,3.290703,317.41,1044.49
Feb 2015,2015-02-02,ATUL.NS,0.187319,1325.55,248.3
Feb 2015,2015-02-02,KKCL.NS,1.444367,353.8,511.02
Feb 2015,2015-02-02,AJANTPHARM.NS,2.597268,677.21,1758.9
Feb 2015,2015-02-02,WIPRO.NS,1.651596,117.21,193.58
Feb 2015,2015-02-02,ENGINERSIN.NS,2.239894,109.22,244.65
Feb 2015,2015-02-02,ECLERX.NS,0.258198,639.18,165.03
Feb 2015,2015-02-02,ZENSARTECH.NS,10.642658,128.32,1365.67
Feb 2015,2015-02-02,KAJARIACER.NS,1.051292,364.42,383.12
Feb 2015,2015-02-02,TORNTPHARM.NS,1.662779,567.3,943.29
Feb 2015,2015-02-02,ASTRAL.NS,4.718767,173.43,818.38
Feb 2015,2015-02-02,RATNAMANI.NS,1.548077,494.47,765.47
Feb 2015,2015-02-02,IGL.NS,7.283375,46.4,337.99
