Month,Date,Investment,Portfolio_Value,Bank,Equity,Holdings
Jul 2014,2014-07-01,1000.0,1000.0,11000.0,12000.0,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 0.459719}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'KKCL.NS', 'Quantity': 0.494457}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.381028}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}]"
Aug 2014,2014-08-01,1000.0,2042.77,10000.0,12042.77,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 0.900633}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'KKCL.NS', 'Quantity': 0.980153}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.754262}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.258198}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 2.021918}]"
Sep 2014,2014-09-01,1000.0,3063.85,9000.0,12063.85,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 1.362985}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.138311}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.258198}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.857858}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.495737}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.401631}]"
Oct 2014,2014-10-01,1000.0,4299.52,8000.0,12299.52,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 1.793566}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.499186}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.258198}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 5.206949}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.495737}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.778491}, {'Ticker': 'ASTRAL.NS', 'Quantity': 0.929644}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 0.586923}]"
Nov 2014,2014-11-03,1000.0,5329.03,7000.0,12329.03,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 2.215519}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.826754}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.258198}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 6.570833}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.051292}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.778491}, {'Ticker': 'ASTRAL.NS', 'Quantity': 1.972794}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.122255}]"
Dec 2014,2014-12-01,1000.0,6586.65,6000.0,12586.65,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 2.765615}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.086117}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.258198}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 7.968457}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.051292}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.077996}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.548077}]"
Jan 2015,2015-01-01,1000.0,7660.11,5000.0,12660.11,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 2.765615}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.351161}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.258198}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 9.343822}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.051292}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.368989}, {'Ticker': 'ASTRAL.NS', 'Quantity': 3.757765}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.548077}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}]"
Feb 2015,2015-02-02,1000.0,8937.3,4000.0,12937.3,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 3.290703}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.597268}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.258198}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 10.642658}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.051292}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.662779}, {'Ticker': 'ASTRAL.NS', 'Quantity': 4.718767}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.548077}, {'Ticker': 'IGL.NS', 'Quantity': 7.283375}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}]"
Mar 2015,2015-03-02,1000.0,10517.18,3000.0,13517.18,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 3.290703}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'KKCL.NS', 'Quantity': 1.89438}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.597268}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.258198}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 11.797819}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.051292}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.977645}, {'Ticker': 'ASTRAL.NS', 'Quantity': 5.561475}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.548077}, {'Ticker': 'IGL.NS', 'Quantity': 7.283375}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}, {'Ticker': 'BALMLAWRIE.NS', 'Quantity': 1.686198}, {'Ticker': 'ASIANPAINT.NS', 'Quantity': 0.201873}]"
Apr 2015,2015-04-01,1000.0,11723.71,2000.0,13723.71,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 3.290703}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'KKCL.NS', 'Quantity': 2.287026}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.597268}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.258198}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 13.024843}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.051292}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 2.256469}, {'Ticker': 'ASTRAL.NS', 'Quantity': 5.561475}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.908619}, {'Ticker': 'IGL.NS', 'Quantity': 7.283375}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}, {'Ticker': 'BALMLAWRIE.NS', 'Quantity': 1.686198}, {'Ticker': 'ASIANPAINT.NS', 'Quantity': 0.201873}, {'Ticker': 'ZYDUSWELL.NS', 'Quantity': 0.816113}, {'Ticker': 'VINATIORGA.NS', 'Quantity': 0.601739}]"
