Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,BALKRISIND.NS,166.67,16.67
Aug 2014,BALKRISIND.NS,340.44,16.67
Sep 2014,KKCL.NS,518.57,16.93
Oct 2014,BALKRISIND.NS,694.24,16.15
Nov 2014,AJANTPHARM.NS,929.45,17.44
Dec 2014,AJANTPHARM.NS,1340.54,20.35
Jan 2015,AJANTPHARM.NS,1478.47,19.3
Feb 2015,AJANTPHARM.NS,1758.9,19.68
Mar 2015,AJANTPHARM.NS,2031.79,19.32
Apr 2015,AJANTPHARM.NS,2118.16,18.07
May 2015,AJANTPHARM.NS,2297.2,17.6
Jun 2015,AJANTPHARM.NS,2806.95,19.5
Jul 2015,AJANTPHARM.NS,2340.35,16.56
Aug 2015,ZENSARTECH.NS,3169.48,20.6
Sep 2015,ZENSARTECH.NS,2587.9,17.46
Oct 2015,ZENSARTECH.NS,2647.78,17.98
Nov 2015,ZENSARTECH.NS,3161.15,20.55
Dec 2015,ZENSARTECH.NS,3228.87,21.36
Jan 2016,ZENSARTECH.NS,3233.97,20.54
Feb 2016,ZENSARTECH.NS,2670.57,18.35
Mar 2016,ZENSARTECH.NS,2494.84,18.16
Apr 2016,ZENSARTECH.NS,2674.98,18.14
May 2016,ZENSARTECH.NS,2725.91,17.88
Jun 2016,BAJFINANCE.NS,3169.24,20.61
Jul 2016,BAJFINANCE.NS,3064.72,19.17
Aug 2016,BAJFINANCE.NS,4212.62,23.57
Sep 2016,BAJFINANCE.NS,3774.81,20.19
Oct 2016,BAJFINANCE.NS,3439.06,18.17
Nov 2016,BAJFINANCE.NS,3357.1,17.54
Dec 2016,BAJFINANCE.NS,2718.78,15.21
Jan 2017,VAKRANGEE.NS,2373.14,13.66
Feb 2017,BAJFINANCE.NS,2819.48,14.46
Mar 2017,VGUARD.NS,3643.72,17.74
Apr 2017,VGUARD.NS,4039.15,18.78
May 2017,VGUARD.NS,4400.88,19.13
Jun 2017,VGUARD.NS,4038.36,16.64
Jul 2017,VGUARD.NS,3403.12,13.63
Aug 2017,VGUARD.NS,3526.99,13.34
Sep 2017,BALKRISIND.NS,4291.37,15.55
Oct 2017,AVANTIFEED.NS,5157.23,18.03
Nov 2017,AVANTIFEED.NS,6383.93,20.32
Dec 2017,AVANTIFEED.NS,7051.35,21.9
Jan 2018,AVANTIFEED.NS,6947.09,20.46
Feb 2018,AVANTIFEED.NS,6839.84,21.45
Mar 2018,AVANTIFEED.NS,6036.57,19.64
Apr 2018,AVANTIFEED.NS,5923.86,19.39
May 2018,BALKRISIND.NS,6444.48,20.77
Jun 2018,BALKRISIND.NS,5678.15,20.15
Jul 2018,BALKRISIND.NS,5430.07,19.72
Aug 2018,BAJFINANCE.NS,5373.2,18.3
Sep 2018,BAJFINANCE.NS,5000.53,16.28
Oct 2018,BAJFINANCE.NS,4054.13,14.84
Nov 2018,BAJFINANCE.NS,4377.07,15.35
Dec 2018,BAJFINANCE.NS,3972.46,14.13
Jan 2019,BAJFINANCE.NS,4207.14,14.78
Feb 2019,BAJFINANCE.NS,4443.77,15.27
Mar 2019,BAJFINANCE.NS,5147.76,17.79
Apr 2019,BAJFINANCE.NS,5806.91,19.04
May 2019,BAJFINANCE.NS,5881.7,18.71
Jun 2019,BAJFINANCE.NS,6272.53,19.5
Jul 2019,BAJFINANCE.NS,6608.3,20.73
Aug 2019,BAJFINANCE.NS,5657.01,19.04
Sep 2019,BAJFINANCE.NS,5575.39,18.21
Oct 2019,BAJFINANCE.NS,6831.11,21.34
Nov 2019,BAJFINANCE.NS,6642.95,20.19
Dec 2019,BAJFINANCE.NS,6448.07,20.21
Jan 2020,BAJFINANCE.NS,6369.83,19.44
Feb 2020,BAJFINANCE.NS,6415.31,18.87
Mar 2020,BAJFINANCE.NS,6064.56,19.17
Apr 2020,IGL.NS,4853.21,20.58
May 2020,IGL.NS,5836.77,21.78
Jun 2020,IGL.NS,5847.34,20.93
Jul 2020,IGL.NS,5370.07,18.43
Aug 2020,IGL.NS,4163.48,13.39
Sep 2020,IGL.NS,4174.07,12.94
Oct 2020,AJANTPHARM.NS,3455.41,10.43
Nov 2020,AJANTPHARM.NS,3928.48,12.29
Dec 2020,ALKYLAMINE.NS,4208.97,11.64
Jan 2021,PERSISTENT.NS,4582.36,12.0
Feb 2021,ALKYLAMINE.NS,5264.74,13.0
Mar 2021,PERSISTENT.NS,5545.58,13.64
Apr 2021,PERSISTENT.NS,6420.24,14.99
May 2021,ALKYLAMINE.NS,8948.86,18.3
Jun 2021,ALKYLAMINE.NS,9543.82,18.17
Jul 2021,ALKYLAMINE.NS,8897.69,15.71
Aug 2021,ALKYLAMINE.NS,10604.43,17.94
Sep 2021,ALKYLAMINE.NS,8875.03,15.02
Oct 2021,ALKYLAMINE.NS,6471.82,10.62
Nov 2021,PERSISTENT.NS,6191.72,10.07
Dec 2021,ASAL.NS,12143.26,18.04
Jan 2022,ASAL.NS,39485.99,39.41
Feb 2022,ASAL.NS,25811.39,31.18
Mar 2022,ASAL.NS,15889.52,23.58
Apr 2022,ASAL.NS,37227.47,40.44
May 2022,ASAL.NS,31757.13,36.94
Jun 2022,ASAL.NS,25762.83,34.18
Jul 2022,ASAL.NS,24376.53,32.56
Aug 2022,ASAL.NS,23919.25,29.89
Sep 2022,ASAL.NS,22617.83,29.45
Oct 2022,ASAL.NS,11774.67,15.76
Nov 2022,ASAL.NS,11968.11,15.95
Dec 2022,ASAL.NS,11058.11,14.6
Jan 2023,ASAL.NS,10410.43,14.15
Feb 2023,TI.NS,11914.03,16.85
Mar 2023,TI.NS,12405.11,17.94
Apr 2023,TI.NS,12277.01,17.93
May 2023,TI.NS,14444.17,19.38
Jun 2023,TI.NS,16675.38,20.87
Jul 2023,TI.NS,13788.73,16.49
Aug 2023,TI.NS,16506.56,18.06
Sep 2023,TI.NS,18569.48,18.85
Oct 2023,TI.NS,14762.65,15.36
Nov 2023,TI.NS,15450.71,16.7
Dec 2023,TI.NS,20860.75,20.35
Jan 2024,TI.NS,18520.65,17.89
Feb 2024,TI.NS,14381.31,12.07
Mar 2024,TI.NS,12950.96,10.79
Apr 2024,TI.NS,12959.94,11.42
May 2024,TI.NS,16589.21,13.64
Jun 2024,TI.NS,16891.01,13.85
Jul 2024,TI.NS,17671.97,12.85
Aug 2024,GODFRYPHLP.NS,20769.25,14.39
Sep 2024,GODFRYPHLP.NS,29232.17,18.25
Oct 2024,GODFRYPHLP.NS,29856.51,17.42
Nov 2024,GODFRYPHLP.NS,23334.96,14.56
Dec 2024,GODFRYPHLP.NS,21354.32,13.1
