Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,KKCL.NS,166.67,16.67
Aug 2014,ATUL.NS,385.17,18.8
Sep 2014,ATUL.NS,616.29,19.74
Oct 2014,KKCL.NS,694.79,15.88
Nov 2014,AJANTPHARM.NS,929.45,17.25
Dec 2014,AJANTPHARM.NS,1340.54,20.02
Jan 2015,AJANTPHARM.NS,1478.47,19.06
Feb 2015,AJANTPHARM.NS,1758.9,19.78
Mar 2015,AJANTPHARM.NS,2198.46,21.39
Apr 2015,AJANTPHARM.NS,2291.91,19.98
May 2015,AJANTPHARM.NS,2652.3,20.68
Jun 2015,AJANTPHARM.NS,3240.86,23.01
Jul 2015,AJANTPHARM.NS,2764.32,19.77
Aug 2015,AJANTPHARM.NS,2321.56,15.6
Sep 2015,RATNAMANI.NS,1928.33,13.37
Oct 2015,RATNAMANI.NS,2049.12,14.09
Nov 2015,ZENSARTECH.NS,2330.87,15.5
Dec 2015,ZENSARTECH.NS,2610.38,17.77
Jan 2016,ZENSARTECH.NS,2866.06,18.75
Feb 2016,ZENSARTECH.NS,2366.76,16.61
Mar 2016,ZENSARTECH.NS,2400.93,17.97
Apr 2016,ZENSARTECH.NS,2600.01,17.99
May 2016,ZENSARTECH.NS,2649.51,17.84
Jun 2016,BAJFINANCE.NS,3093.32,20.52
Jul 2016,BAJFINANCE.NS,2972.71,18.96
Aug 2016,BAJFINANCE.NS,4086.15,23.47
Sep 2016,BAJFINANCE.NS,3645.46,20.06
Oct 2016,BAJFINANCE.NS,3327.31,17.92
Nov 2016,BAJFINANCE.NS,3248.01,17.45
Dec 2016,BAJFINANCE.NS,2130.94,12.31
Jan 2017,VAKRANGEE.NS,2236.75,13.29
Feb 2017,VAKRANGEE.NS,2505.6,13.25
Mar 2017,VGUARD.NS,2906.79,14.68
Apr 2017,VGUARD.NS,3294.31,15.96
May 2017,VGUARD.NS,3589.34,16.37
Jun 2017,VGUARD.NS,3904.9,16.69
Jul 2017,VAKRANGEE.NS,3805.36,15.71
Aug 2017,VAKRANGEE.NS,3864.21,15.09
Sep 2017,AVANTIFEED.NS,4594.61,17.18
Oct 2017,AVANTIFEED.NS,5980.85,21.57
Nov 2017,AVANTIFEED.NS,7403.45,24.09
Dec 2017,AVANTIFEED.NS,7866.0,25.2
Jan 2018,AVANTIFEED.NS,7749.69,23.54
Feb 2018,AVANTIFEED.NS,6668.92,21.84
Mar 2018,AVANTIFEED.NS,5921.31,20.41
Apr 2018,AVANTIFEED.NS,5810.75,20.25
