Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,BAJFINANCE.NS,166.67,16.67
Aug 2014,BAJFINANCE.NS,382.31,18.36
Sep 2014,BAJFINANCE.NS,623.85,18.21
Oct 2014,BAJFINANCE.NS,909.07,19.82
Nov 2014,BAJFINANCE.NS,1115.51,19.71
Dec 2014,BAJFINANCE.NS,1434.45,20.54
Jan 2015,BAJFINANCE.NS,1792.81,22.59
Feb 2015,BAJFINANCE.NS,2297.79,23.75
Mar 2015,BAJFINANCE.NS,2581.14,23.35
Apr 2015,BAJFINANCE.NS,2611.23,21.63
May 2015,BAJFINANCE.NS,2811.07,21.36
Jun 2015,BAJFINANCE.NS,3103.28,21.93
Jul 2015,BAJFINANCE.NS,3830.37,24.84
Aug 2015,BAJFINANCE.NS,3738.02,22.91
Sep 2015,BAJFINANCE.NS,3104.47,20.29
Oct 2015,BAJFINANCE.NS,3056.84,18.11
Nov 2015,BAJFINANCE.NS,3126.06,18.35
Dec 2015,BAJFINANCE.NS,3074.92,17.46
Jan 2016,BAJFINANCE.NS,3306.86,17.85
Feb 2016,BAJFINANCE.NS,3256.57,18.49
Mar 2016,BAJFINANCE.NS,2882.68,17.06
Apr 2016,BAJFINANCE.NS,2916.26,15.48
May 2016,BAJFINANCE.NS,2991.0,15.02
Jun 2016,BAJFINANCE.NS,3119.77,15.15
Jul 2016,BAJFINANCE.NS,3161.79,14.66
Aug 2016,BAJFINANCE.NS,4346.05,18.1
Sep 2016,CANFINHOME.NS,4031.16,16.15
Oct 2016,CANFINHOME.NS,4866.48,18.35
Nov 2016,CANFINHOME.NS,5386.76,19.61
Dec 2016,CANFINHOME.NS,4761.71,18.78
Jan 2017,CANFINHOME.NS,4559.57,18.32
Feb 2017,CANFINHOME.NS,5249.38,19.12
Mar 2017,CANFINHOME.NS,5336.03,18.89
Apr 2017,CANFINHOME.NS,6155.19,19.87
May 2017,CANFINHOME.NS,7510.94,22.16
Jun 2017,CANFINHOME.NS,6928.33,18.92
Jul 2017,CANFINHOME.NS,7708.43,20.39
Aug 2017,CANFINHOME.NS,7391.86,18.61
Sep 2017,CANFINHOME.NS,5070.61,12.64
Oct 2017,AVANTIFEED.NS,5628.86,13.84
Nov 2017,AVANTIFEED.NS,6967.75,16.43
Dec 2017,AVANTIFEED.NS,7502.46,18.36
Jan 2018,AVANTIFEED.NS,7391.53,17.3
Feb 2018,AVANTIFEED.NS,5398.35,12.99
Mar 2018,BAJFINANCE.NS,5808.88,14.06
Apr 2018,BAJFINANCE.NS,6366.37,15.87
May 2018,BAJFINANCE.NS,7151.74,17.13
Jun 2018,BAJFINANCE.NS,7343.55,18.92
Jul 2018,BAJFINANCE.NS,8128.85,21.84
Aug 2018,BAJFINANCE.NS,9051.16,22.55
Sep 2018,BAJFINANCE.NS,8120.89,19.93
Oct 2018,BAJFINANCE.NS,6583.94,18.82
Nov 2018,BAJFINANCE.NS,6560.25,18.35
Dec 2018,BAJFINANCE.NS,6247.55,16.95
Jan 2019,BAJFINANCE.NS,6616.63,17.94
Feb 2019,AARTIIND.NS,7382.81,19.95
Mar 2019,AARTIIND.NS,6377.06,17.68
Apr 2019,AARTIIND.NS,7107.91,18.07
May 2019,AARTIIND.NS,7219.55,18.41
Jun 2019,AARTIIND.NS,7404.96,17.2
Jul 2019,AARTIIND.NS,7082.37,16.58
Aug 2019,AARTIIND.NS,5805.19,15.55
Sep 2019,SRF.NS,4032.55,10.82
Oct 2019,BAJFINANCE.NS,4583.18,11.43
Nov 2019,BAJFINANCE.NS,5154.92,12.01
Dec 2019,BAJFINANCE.NS,5003.69,11.9
Jan 2020,BAJFINANCE.NS,5023.83,11.26
Feb 2020,BAJFINANCE.NS,5820.71,12.21
Mar 2020,BAJFINANCE.NS,7232.29,15.79
Apr 2020,BAJFINANCE.NS,3680.79,12.03
May 2020,BAJFINANCE.NS,3736.71,10.63
Jun 2020,BAJFINANCE.NS,3882.61,10.54
Jul 2020,BAJFINANCE.NS,5307.56,13.04
Aug 2020,BAJFINANCE.NS,5570.71,12.84
Sep 2020,BAJFINANCE.NS,6394.34,13.35
Oct 2020,AARTIIND.NS,6605.01,13.36
Nov 2020,AARTIIND.NS,6572.47,13.86
Dec 2020,AARTIIND.NS,7528.74,13.47
Jan 2021,AARTIIND.NS,7969.25,13.48
Feb 2021,AARTIIND.NS,7361.04,12.05
Mar 2021,AARTIIND.NS,8023.93,12.2
Apr 2021,ALKYLAMINE.NS,10256.73,14.97
May 2021,ALKYLAMINE.NS,15022.86,18.83
Jun 2021,ALKYLAMINE.NS,16021.66,19.21
Jul 2021,ALKYLAMINE.NS,12653.72,14.11
Aug 2021,ALKYLAMINE.NS,15080.94,15.64
Sep 2021,ALKYLAMINE.NS,10748.73,11.21
Oct 2021,BAJFINANCE.NS,11284.91,11.34
Nov 2021,BAJFINANCE.NS,11121.7,11.12
Dec 2021,BAJFINANCE.NS,10558.78,10.52
Jan 2022,BAJFINANCE.NS,13799.87,12.99
Feb 2022,BAJFINANCE.NS,13408.03,12.56
Mar 2022,BAJFINANCE.NS,14304.32,14.53
Apr 2022,BAJFINANCE.NS,12580.51,11.4
May 2022,BAJFINANCE.NS,11252.59,10.32
Jun 2022,SRF.NS,10424.82,10.33
Jul 2022,SRF.NS,9399.49,10.32
Aug 2022,SRF.NS,10668.54,10.39
Sep 2022,SRF.NS,11594.08,10.98
Oct 2022,SRF.NS,10778.99,10.78
Nov 2022,SRF.NS,11394.49,11.17
Dec 2022,KEI.NS,8515.02,8.39
Jan 2023,FACT.NS,12211.06,11.34
Feb 2023,JWL.NS,11381.31,10.77
Mar 2023,JWL.NS,9488.48,9.34
Apr 2023,JWL.NS,9420.36,9.29
May 2023,JWL.NS,10612.5,9.28
Jun 2023,REFEX.NS,17522.7,14.01
Jul 2023,REFEX.NS,18028.05,13.12
Aug 2023,REFEX.NS,29508.15,18.84
Sep 2023,REFEX.NS,22401.66,14.01
Oct 2023,REFEX.NS,21219.74,13.32
Nov 2023,FACT.NS,20494.82,12.93
Dec 2023,REFEX.NS,22121.93,13.25
Jan 2024,REFEX.NS,26111.03,14.6
Feb 2024,CHOLAFIN.NS,16708.1,9.04
Mar 2024,CHOLAFIN.NS,15990.19,8.4
Apr 2024,CHOLAFIN.NS,17296.87,8.84
May 2024,BEL.NS,23489.94,10.89
Jun 2024,BEL.NS,31885.28,13.51
Jul 2024,BEL.NS,30784.58,12.43
Aug 2024,BEL.NS,31134.8,12.49
Sep 2024,BEL.NS,29708.9,11.53
Oct 2024,BEL.NS,28413.08,10.39
Nov 2024,SARDAEN.NS,23120.23,9.11
Dec 2024,SARDAEN.NS,32770.12,12.34
Jan 2025,SARDAEN.NS,34561.42,12.64
Feb 2025,SARDAEN.NS,28459.96,11.87
Mar 2025,SARDAEN.NS,28673.71,13.2
Apr 2025,SARDAEN.NS,33691.92,13.68
May 2025,SARDAEN.NS,37046.68,15.64
Jun 2025,SARDAEN.NS,36306.25,13.86
Jul 2025,SARDAEN.NS,34462.75,12.63
Aug 2025,SARDAEN.NS,34628.28,12.93
Sep 2025,SARDAEN.NS,47390.22,17.23
Oct 2025,SARDAEN.NS,45285.61,16.18
Nov 2025,SARDAEN.NS,44907.38,15.95
Dec 2025,SARDAEN.NS,40959.19,15.04
Jan 2026,SARDAEN.NS,32432.85,11.95
Feb 2026,SARDAEN.NS,30994.92,12.21
Mar 2026,TI.NS,29652.68,11.3
Apr 2026,TI.NS,30482.7,12.44
