Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1004.54,11000.0,12004.54
2014-07-03,1011.51,11000.0,12011.51
2014-07-04,1013.19,11000.0,12013.19
2014-07-07,1028.62,11000.0,12028.62
2014-07-08,1015.78,11000.0,12015.78
2014-07-09,999.4,11000.0,11999.4
2014-07-10,1006.01,11000.0,12006.01
2014-07-11,1009.23,11000.0,12009.23
2014-07-14,996.35,11000.0,11996.35
2014-07-15,1008.86,11000.0,12008.86
2014-07-16,1017.81,11000.0,12017.81
2014-07-17,1047.98,11000.0,12047.98
2014-07-18,1044.58,11000.0,12044.58
2014-07-21,1054.55,11000.0,12054.55
2014-07-22,1064.46,11000.0,12064.46
2014-07-23,1099.08,11000.0,12099.08
2014-07-24,1121.3,11000.0,12121.3
2014-07-25,1091.77,11000.0,12091.77
2014-07-28,1083.29,11000.0,12083.29
2014-07-30,1082.19,11000.0,12082.19
2014-07-31,1080.39,11000.0,12080.39
2014-08-01,2070.29,10000.0,12070.29
2014-08-04,2084.13,10000.0,12084.13
2014-08-05,2081.06,10000.0,12081.06
2014-08-06,2100.75,10000.0,12100.75
2014-08-07,2093.9,10000.0,12093.9
2014-08-08,2060.77,10000.0,12060.77
2014-08-11,2093.24,10000.0,12093.24
2014-08-12,2078.99,10000.0,12078.99
2014-08-13,2057.75,10000.0,12057.75
2014-08-14,2083.16,10000.0,12083.16
2014-08-18,2096.28,10000.0,12096.28
2014-08-19,2136.49,10000.0,12136.49
2014-08-20,2169.37,10000.0,12169.37
2014-08-21,2175.98,10000.0,12175.98
2014-08-22,2161.09,10000.0,12161.09
2014-08-25,2153.73,10000.0,12153.73
2014-08-26,2141.64,10000.0,12141.64
2014-08-27,2162.85,10000.0,12162.85
2014-08-28,2150.33,10000.0,12150.33
2014-09-01,3171.96,9000.0,12171.96
2014-09-02,3205.16,9000.0,12205.16
2014-09-03,3220.01,9000.0,12220.01
2014-09-04,3229.57,9000.0,12229.57
2014-09-05,3259.0,9000.0,12259.0
2014-09-08,3317.86,9000.0,12317.86
2014-09-09,3353.18,9000.0,12353.18
2014-09-10,3350.88,9000.0,12350.88
2014-09-11,3398.85,9000.0,12398.85
2014-09-12,3411.13,9000.0,12411.13
2014-09-15,3453.67,9000.0,12453.67
2014-09-16,3344.14,9000.0,12344.14
2014-09-17,3327.71,9000.0,12327.71
2014-09-18,3376.5,9000.0,12376.5
2014-09-19,3462.8,9000.0,12462.8
2014-09-22,3472.65,9000.0,12472.65
2014-09-23,3427.44,9000.0,12427.44
2014-09-24,3456.43,9000.0,12456.43
2014-09-25,3387.23,9000.0,12387.23
2014-09-26,3364.68,9000.0,12364.68
2014-09-29,3405.42,9000.0,12405.42
2014-09-30,3420.62,9000.0,12420.62
2014-10-01,4438.7,8000.0,12438.7
2014-10-07,4429.27,8000.0,12429.27
2014-10-08,4388.22,8000.0,12388.22
2014-10-09,4445.23,8000.0,12445.23
2014-10-10,4363.45,8000.0,12363.45
2014-10-13,4384.18,8000.0,12384.18
2014-10-14,4372.06,8000.0,12372.06
2014-10-16,4299.81,8000.0,12299.81
2014-10-17,4244.73,8000.0,12244.73
2014-10-20,4231.8,8000.0,12231.8
2014-10-21,4291.1,8000.0,12291.1
2014-10-22,4327.4,8000.0,12327.4
2014-10-23,4327.4,8000.0,12327.4
2014-10-27,4327.88,8000.0,12327.88
2014-10-28,4282.76,8000.0,12282.76
2014-10-29,4299.95,8000.0,12299.95
2014-10-30,4358.89,8000.0,12358.89
2014-10-31,4354.36,8000.0,12354.36
2014-11-03,5439.13,7000.0,12439.13
2014-11-05,5455.59,7000.0,12455.59
2014-11-07,5585.02,7000.0,12585.02
2014-11-10,5609.03,7000.0,12609.03
2014-11-11,5683.28,7000.0,12683.28
2014-11-12,5768.28,7000.0,12768.28
2014-11-13,5805.29,7000.0,12805.29
2014-11-14,5681.36,7000.0,12681.36
2014-11-17,5672.6,7000.0,12672.6
2014-11-18,5711.52,7000.0,12711.52
2014-11-19,5828.95,7000.0,12828.95
2014-11-20,5821.88,7000.0,12821.88
2014-11-21,5831.41,7000.0,12831.41
2014-11-24,5817.29,7000.0,12817.29
2014-11-25,5759.26,7000.0,12759.26
2014-11-26,5738.48,7000.0,12738.48
2014-11-27,5810.21,7000.0,12810.21
2014-11-28,5837.7,7000.0,12837.7
2014-12-01,6876.97,6000.0,12876.97
2014-12-02,6871.64,6000.0,12871.64
2014-12-03,6885.78,6000.0,12885.78
2014-12-04,6970.66,6000.0,12970.66
2014-12-05,6950.16,6000.0,12950.16
2014-12-08,6870.57,6000.0,12870.57
2014-12-09,6804.76,6000.0,12804.76
2014-12-10,6844.19,6000.0,12844.19
2014-12-11,6844.53,6000.0,12844.53
2014-12-12,6883.06,6000.0,12883.06
2014-12-15,6901.5,6000.0,12901.5
