Month,Holdings_Count,Selected_Tickers
Jul 2014,6,6
Aug 2014,7,6
Sep 2014,8,6
Oct 2014,10,6
Nov 2014,10,6
Dec 2014,10,6
Jan 2015,12,6
Feb 2015,13,6
Mar 2015,14,6
Apr 2015,16,6
May 2015,16,6
Jun 2015,16,6
Jul 2015,17,6
Aug 2015,19,6
Sep 2015,19,6
Oct 2015,20,6
Nov 2015,20,6
Dec 2015,21,6
Jan 2016,23,6
Feb 2016,23,6
Mar 2016,20,6
Apr 2016,20,6
May 2016,20,6
Jun 2016,19,6
Jul 2016,22,6
Aug 2016,22,6
Sep 2016,22,6
Oct 2016,20,6
Nov 2016,20,6
Dec 2016,19,6
Jan 2017,19,6
Feb 2017,19,6
Mar 2017,17,6
Apr 2017,17,6
May 2017,17,6
Jun 2017,12,6
Jul 2017,12,6
Aug 2017,12,6
Sep 2017,14,6
Oct 2017,14,6
Nov 2017,14,6
Dec 2017,14,6
Jan 2018,14,6
Feb 2018,15,6
Mar 2018,14,6
Apr 2018,14,6
May 2018,17,6
Jun 2018,16,6
Jul 2018,16,6
Aug 2018,18,6
Sep 2018,19,6
Oct 2018,19,6
Nov 2018,20,6
Dec 2018,18,6
Jan 2019,18,6
Feb 2019,19,6
Mar 2019,17,6
Apr 2019,17,6
May 2019,18,6
Jun 2019,16,6
Jul 2019,16,6
Aug 2019,16,6
Sep 2019,17,6
Oct 2019,17,6
Nov 2019,15,6
Dec 2019,15,6
Jan 2020,17,6
Feb 2020,16,6
Mar 2020,18,6
Apr 2020,18,6
May 2020,18,6
Jun 2020,18,6
Jul 2020,19,6
Aug 2020,16,6
Sep 2020,16,6
Oct 2020,19,6
Nov 2020,18,6
Dec 2020,18,6
Jan 2021,19,6
Feb 2021,19,6
Mar 2021,21,6
Apr 2021,23,6
May 2021,23,6
Jun 2021,23,6
Jul 2021,25,6
Aug 2021,25,6
Sep 2021,22,6
Oct 2021,24,6
Nov 2021,24,6
Dec 2021,22,6
Jan 2022,20,6
Feb 2022,20,6
Mar 2022,20,6
Apr 2022,17,6
May 2022,17,6
Jun 2022,15,6
Jul 2022,19,6
Aug 2022,19,6
Sep 2022,19,6
Oct 2022,18,6
Nov 2022,18,6
Dec 2022,20,6
Jan 2023,20,6
Feb 2023,23,6
Mar 2023,23,6
Apr 2023,21,6
May 2023,21,6
Jun 2023,20,6
Jul 2023,20,6
Aug 2023,20,6
Sep 2023,22,6
Oct 2023,22,6
Nov 2023,22,6
Dec 2023,22,6
Jan 2024,22,6
Feb 2024,24,6
Mar 2024,24,6
Apr 2024,24,6
May 2024,22,6
Jun 2024,21,6
Jul 2024,21,6
Aug 2024,23,6
Sep 2024,23,6
Oct 2024,23,6
Nov 2024,22,6
Dec 2024,21,6
Jan 2025,21,6
Feb 2025,22,6
Mar 2025,22,6
Apr 2025,22,6
May 2025,24,6
Jun 2025,24,6
Jul 2025,23,6
Aug 2025,24,6
Sep 2025,24,6
Oct 2025,24,6
Nov 2025,24,6
Dec 2025,22,6
Jan 2026,21,6
Feb 2026,21,6
Mar 2026,19,6
Apr 2026,19,6
