Month,Date,Ticker,Quantity,Current_Price,Current_Amount
Jul 2014,2014-07-01,BALKRISIND.NS,0.459719,362.54,166.67
Jul 2014,2014-07-01,ATUL.NS,0.187319,889.75,166.67
Jul 2014,2014-07-01,AJANTPHARM.NS,0.381028,437.41,166.67
Jul 2014,2014-07-01,NAUKRI.NS,1.23585,134.86,166.67
Jul 2014,2014-07-01,KKCL.NS,0.494457,337.07,166.67
Jul 2014,2014-07-01,WIPRO.NS,1.651596,100.91,166.67
Aug 2014,2014-08-01,BALKRISIND.NS,0.900633,378.0,340.44
Aug 2014,2014-08-01,ATUL.NS,0.330196,1166.5,385.17
Aug 2014,2014-08-01,AJANTPHARM.NS,0.754262,446.55,336.81
Aug 2014,2014-08-01,NAUKRI.NS,2.431965,139.34,338.87
Aug 2014,2014-08-01,KKCL.NS,0.980153,343.15,336.34
Aug 2014,2014-08-01,WIPRO.NS,1.651596,100.5,165.99
Aug 2014,2014-08-01,ZENSARTECH.NS,2.021918,82.43,166.67
Sep 2014,2014-09-01,BALKRISIND.NS,1.362985,360.48,491.32
Sep 2014,2014-09-01,ATUL.NS,0.452592,1361.7,616.29
Sep 2014,2014-09-01,AJANTPHARM.NS,1.138311,433.97,494.0
Sep 2014,2014-09-01,NAUKRI.NS,3.558928,147.89,526.33
Sep 2014,2014-09-01,KKCL.NS,1.444367,359.03,518.57
Sep 2014,2014-09-01,WIPRO.NS,1.651596,106.1,175.23
Sep 2014,2014-09-01,ZENSARTECH.NS,2.021918,90.78,183.55
Sep 2014,2014-09-01,TORNTPHARM.NS,0.401631,414.98,166.67
Oct 2014,2014-10-01,BALKRISIND.NS,1.793566,387.07,694.24
Oct 2014,2014-10-01,ATUL.NS,0.452592,1381.65,625.32
Oct 2014,2014-10-01,AJANTPHARM.NS,1.499186,461.84,692.38
Oct 2014,2014-10-01,NAUKRI.NS,3.558928,172.49,613.88
Oct 2014,2014-10-01,KKCL.NS,1.444367,365.64,528.12
Oct 2014,2014-10-01,WIPRO.NS,1.651596,115.45,190.68
Oct 2014,2014-10-01,ZENSARTECH.NS,3.371008,123.54,416.45
Oct 2014,2014-10-01,TORNTPHARM.NS,0.778491,442.25,344.29
Oct 2014,2014-10-01,ASTRAL.NS,0.929644,179.28,166.67
Oct 2014,2014-10-01,RATNAMANI.NS,0.586923,283.97,166.67
Nov 2014,2014-11-03,BALKRISIND.NS,1.793566,394.99,708.44
Nov 2014,2014-11-03,ATUL.NS,0.577995,1329.05,768.18
Nov 2014,2014-11-03,AJANTPHARM.NS,1.826754,508.8,929.45
Nov 2014,2014-11-03,NAUKRI.NS,3.558928,170.72,607.58
Nov 2014,2014-11-03,KKCL.NS,1.444367,336.23,485.64
Nov 2014,2014-11-03,WIPRO.NS,1.651596,105.92,174.93
Nov 2014,2014-11-03,ZENSARTECH.NS,4.734893,122.2,578.6
Nov 2014,2014-11-03,TORNTPHARM.NS,1.143948,456.05,521.7
Nov 2014,2014-11-03,ASTRAL.NS,1.972794,159.77,315.2
Nov 2014,2014-11-03,RATNAMANI.NS,1.122255,311.33,349.4
Dec 2014,2014-12-01,BALKRISIND.NS,2.343662,302.98,710.08
Dec 2014,2014-12-01,ATUL.NS,0.577995,1270.35,734.26
Dec 2014,2014-12-01,AJANTPHARM.NS,2.086117,642.6,1340.54
Dec 2014,2014-12-01,NAUKRI.NS,3.558928,187.76,668.22
Dec 2014,2014-12-01,KKCL.NS,1.444367,372.91,538.62
Dec 2014,2014-12-01,WIPRO.NS,1.651596,111.11,183.51
Dec 2014,2014-12-01,ZENSARTECH.NS,6.132517,119.25,731.3
Dec 2014,2014-12-01,TORNTPHARM.NS,1.443453,556.47,803.25
Dec 2014,2014-12-01,ASTRAL.NS,2.806023,200.03,561.27
Dec 2014,2014-12-01,RATNAMANI.NS,1.548077,391.4,605.92
Jan 2015,2015-01-01,BALKRISIND.NS,2.894205,302.73,876.17
Jan 2015,2015-01-01,ATUL.NS,0.577995,1374.55,794.48
Jan 2015,2015-01-01,AJANTPHARM.NS,2.351161,628.83,1478.47
Jan 2015,2015-01-01,NAUKRI.NS,3.558928,171.15,609.11
Jan 2015,2015-01-01,KKCL.NS,1.444367,382.95,553.12
Jan 2015,2015-01-01,WIPRO.NS,1.651596,103.58,171.06
Jan 2015,2015-01-01,ZENSARTECH.NS,6.132517,121.18,743.14
Jan 2015,2015-01-01,TORNTPHARM.NS,1.734446,572.75,993.4
Jan 2015,2015-01-01,ASTRAL.NS,2.806023,175.12,491.38
Jan 2015,2015-01-01,RATNAMANI.NS,1.908385,462.57,882.76
Jan 2015,2015-01-01,KSCL.NS,0.21347,780.75,166.67
Jan 2015,2015-01-01,IGL.NS,3.691808,45.15,166.67
Feb 2015,2015-02-02,BALKRISIND.NS,3.419293,317.41,1085.31
Feb 2015,2015-02-02,ATUL.NS,0.577995,1325.55,766.16
Feb 2015,2015-02-02,AJANTPHARM.NS,2.597268,677.21,1758.9
Feb 2015,2015-02-02,NAUKRI.NS,3.558928,161.9,576.19
Feb 2015,2015-02-02,KKCL.NS,1.444367,353.8,511.02
Feb 2015,2015-02-02,WIPRO.NS,1.651596,117.21,193.58
Feb 2015,2015-02-02,ZENSARTECH.NS,6.132517,128.32,786.92
Feb 2015,2015-02-02,TORNTPHARM.NS,2.028236,567.3,1150.62
Feb 2015,2015-02-02,ASTRAL.NS,2.806023,173.43,486.65
Feb 2015,2015-02-02,RATNAMANI.NS,2.245449,494.47,1110.3
Feb 2015,2015-02-02,KSCL.NS,0.21347,737.4,157.41
Feb 2015,2015-02-02,IGL.NS,7.283375,46.4,337.99
Feb 2015,2015-02-02,BERGEPAINT.NS,1.255887,132.71,166.67
Mar 2015,2015-03-02,BALKRISIND.NS,3.419293,307.84,1052.61
Mar 2015,2015-03-02,ATUL.NS,0.577995,1290.75,746.05
Mar 2015,2015-03-02,AJANTPHARM.NS,2.81032,782.28,2198.46
Mar 2015,2015-03-02,NAUKRI.NS,3.558928,161.86,576.05
Mar 2015,2015-03-02,KKCL.NS,1.444367,370.36,534.94
Mar 2015,2015-03-02,WIPRO.NS,1.651596,124.59,205.78
Mar 2015,2015-03-02,ZENSARTECH.NS,7.287678,144.28,1051.47
Mar 2015,2015-03-02,TORNTPHARM.NS,2.028236,529.33,1073.6
Mar 2015,2015-03-02,ASTRAL.NS,3.648731,197.78,721.63
Mar 2015,2015-03-02,RATNAMANI.NS,2.58395,492.37,1272.25
Mar 2015,2015-03-02,KSCL.NS,0.21347,939.25,200.5
