Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,BALKRISIND.NS,166.67,16.67
Aug 2014,ATUL.NS,385.17,18.6
Sep 2014,ATUL.NS,616.29,19.43
Oct 2014,BALKRISIND.NS,694.24,15.64
Nov 2014,AJANTPHARM.NS,929.45,17.09
Dec 2014,AJANTPHARM.NS,1340.54,19.49
Jan 2015,AJANTPHARM.NS,1478.47,18.65
Feb 2015,AJANTPHARM.NS,1758.9,19.35
Mar 2015,AJANTPHARM.NS,2198.46,21.02
Apr 2015,AJANTPHARM.NS,2291.91,19.7
May 2015,AJANTPHARM.NS,2652.3,20.51
Jun 2015,AJANTPHARM.NS,3240.86,22.72
Jul 2015,AJANTPHARM.NS,2764.32,19.57
Aug 2015,AJANTPHARM.NS,2321.56,15.36
Sep 2015,TORNTPHARM.NS,2301.22,15.63
Oct 2015,ZENSARTECH.NS,2207.46,14.98
Nov 2015,ZENSARTECH.NS,2635.46,17.17
Dec 2015,ZENSARTECH.NS,2680.02,17.87
Jan 2016,ZENSARTECH.NS,2937.94,18.88
Feb 2016,ZENSARTECH.NS,2426.11,16.77
Mar 2016,ZENSARTECH.NS,2460.65,18.06
Apr 2016,ZENSARTECH.NS,2662.45,18.08
May 2016,ZENSARTECH.NS,2713.14,17.84
Jun 2016,BAJFINANCE.NS,3164.83,20.27
Jul 2016,BAJFINANCE.NS,3037.29,18.74
Aug 2016,BAJFINANCE.NS,4174.91,23.24
Sep 2016,BAJFINANCE.NS,3734.11,19.96
Oct 2016,BAJFINANCE.NS,3426.81,17.88
Nov 2016,BAJFINANCE.NS,3345.13,17.37
Dec 2016,BAJFINANCE.NS,2689.69,15.02
Jan 2017,VAKRANGEE.NS,2331.5,13.41
Feb 2017,BAJFINANCE.NS,2835.46,14.52
Mar 2017,VGUARD.NS,3019.3,14.74
Apr 2017,VGUARD.NS,3418.72,16.1
May 2017,VGUARD.NS,3724.89,16.58
Jun 2017,VGUARD.NS,4018.57,16.93
Jul 2017,VAKRANGEE.NS,3611.35,14.67
Aug 2017,VAKRANGEE.NS,3667.19,14.04
Sep 2017,AVANTIFEED.NS,3895.01,14.24
Oct 2017,AVANTIFEED.NS,5210.06,18.36
Nov 2017,AVANTIFEED.NS,6449.33,20.7
Dec 2017,AVANTIFEED.NS,7052.78,22.2
Jan 2018,AVANTIFEED.NS,6948.5,20.67
Feb 2018,AVANTIFEED.NS,6791.65,21.62
Mar 2018,AVANTIFEED.NS,6043.33,20.1
Apr 2018,AVANTIFEED.NS,5930.49,19.77
May 2018,BALKRISIND.NS,6360.32,21.03
Jun 2018,BALKRISIND.NS,5521.06,20.2
Jul 2018,BALKRISIND.NS,5279.83,19.83
Aug 2018,BAJFINANCE.NS,5327.09,18.93
Sep 2018,BAJFINANCE.NS,4977.86,16.98
Oct 2018,BAJFINANCE.NS,4035.76,15.43
Nov 2018,BAJFINANCE.NS,4273.75,15.96
Dec 2018,BAJFINANCE.NS,3898.08,14.95
Jan 2019,BAJFINANCE.NS,4128.36,15.6
Feb 2019,BAJFINANCE.NS,4281.06,15.97
Mar 2019,BAJFINANCE.NS,4837.7,18.0
Apr 2019,BAJFINANCE.NS,5457.15,19.47
May 2019,BAJFINANCE.NS,5512.23,19.17
Jun 2019,BAJFINANCE.NS,5916.77,20.24
Jul 2019,BAJFINANCE.NS,6233.5,21.58
Aug 2019,BAJFINANCE.NS,5302.64,19.64
Sep 2019,BAJFINANCE.NS,5133.28,18.37
Oct 2019,BAJFINANCE.NS,6289.43,21.37
Nov 2019,BAJFINANCE.NS,6118.86,20.13
Dec 2019,BAJFINANCE.NS,5939.35,20.03
Jan 2020,BAJFINANCE.NS,5855.92,19.23
Feb 2020,BAJFINANCE.NS,5930.18,18.64
Mar 2020,BAJFINANCE.NS,5675.95,19.17
Apr 2020,IGL.NS,4465.03,20.34
May 2020,IGL.NS,5369.92,21.22
Jun 2020,IGL.NS,5379.64,20.3
Jul 2020,IGL.NS,4942.34,17.78
Aug 2020,IGL.NS,3709.41,12.54
Sep 2020,IGL.NS,3718.84,12.24
Oct 2020,FDC.NS,4527.39,14.53
Nov 2020,FDC.NS,4826.16,16.18
Dec 2020,FDC.NS,4896.62,14.56
Jan 2021,ALKYLAMINE.NS,5228.06,14.96
Feb 2021,ALKYLAMINE.NS,6685.4,18.71
Mar 2021,ALKYLAMINE.NS,7090.11,19.38
Apr 2021,ALKYLAMINE.NS,8037.92,20.56
May 2021,ALKYLAMINE.NS,11773.01,26.01
Jun 2021,ALKYLAMINE.NS,12555.74,25.82
Jul 2021,ALKYLAMINE.NS,10974.82,21.0
Aug 2021,ALKYLAMINE.NS,13080.0,23.62
Sep 2021,PERSISTENT.NS,9811.37,17.93
Oct 2021,PERSISTENT.NS,7523.25,13.37
Nov 2021,PERSISTENT.NS,8365.04,14.27
Dec 2021,ASAL.NS,19321.49,27.83
Jan 2022,ASAL.NS,61472.48,52.9
Feb 2022,ASAL.NS,40183.61,43.46
Mar 2022,ASAL.NS,24358.93,34.18
Apr 2022,ASAL.NS,56546.32,52.82
May 2022,ASAL.NS,48237.19,49.46
Jun 2022,ASAL.NS,34610.35,41.16
Jul 2022,ASAL.NS,36389.47,42.94
Aug 2022,ASAL.NS,35706.84,40.05
Sep 2022,ASAL.NS,23852.44,27.74
Oct 2022,ASAL.NS,13365.3,15.95
Nov 2022,ASAL.NS,13584.87,15.98
Dec 2022,ASAL.NS,12663.82,14.7
Jan 2023,TI.NS,12604.84,15.01
Feb 2023,TI.NS,14062.02,17.19
Mar 2023,TI.NS,14641.64,18.31
Apr 2023,TI.NS,14490.43,18.34
May 2023,TI.NS,17048.31,19.4
Jun 2023,TI.NS,19681.79,21.1
Jul 2023,TI.NS,17050.87,17.0
Aug 2023,TI.NS,20411.69,18.7
Sep 2023,TI.NS,22010.68,18.53
Oct 2023,TI.NS,17903.3,15.22
Nov 2023,TI.NS,18737.74,16.08
Dec 2023,TI.NS,22765.84,17.97
Jan 2024,TI.NS,20212.04,15.69
Feb 2024,TI.NS,16144.1,11.0
Mar 2024,BANCOINDIA.NS,15357.98,10.45
Apr 2024,GODFRYPHLP.NS,15055.35,10.86
May 2024,TI.NS,18641.86,12.37
Jun 2024,GODFRYPHLP.NS,20814.53,13.73
Jul 2024,GODFRYPHLP.NS,23680.32,13.98
Aug 2024,GODFRYPHLP.NS,26809.27,15.19
Sep 2024,GODFRYPHLP.NS,35353.33,17.96
Oct 2024,GODFRYPHLP.NS,36108.41,17.31
Nov 2024,GODFRYPHLP.NS,29315.87,15.08
Dec 2024,GODFRYPHLP.NS,26505.19,13.42
Jan 2025,GODFRYPHLP.NS,23181.42,12.55
Feb 2025,GODFRYPHLP.NS,25813.81,15.91
Mar 2025,GODFRYPHLP.NS,27251.5,19.16
Apr 2025,GODFRYPHLP.NS,37980.35,23.79
May 2025,GODFRYPHLP.NS,47338.66,28.45
Jun 2025,GODFRYPHLP.NS,47237.16,25.39
Jul 2025,GODFRYPHLP.NS,43761.15,22.83
Aug 2025,GODFRYPHLP.NS,36707.46,19.27
Sep 2025,GODFRYPHLP.NS,44210.38,22.36
Oct 2025,GODFRYPHLP.NS,30898.05,15.3
Nov 2025,GODFRYPHLP.NS,28444.69,14.32
Dec 2025,REDINGTON.NS,20204.32,10.26
Jan 2026,REDINGTON.NS,21540.76,11.08
Feb 2026,REDINGTON.NS,21058.94,11.97
Mar 2026,GPIL.NS,23725.22,12.86
Apr 2026,GPIL.NS,23285.52,13.32
