Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1013.93,11000.0,12013.93
2014-07-03,1018.17,11000.0,12018.17
2014-07-04,1020.8,11000.0,12020.8
2014-07-07,1020.91,11000.0,12020.91
2014-07-08,1010.7,11000.0,12010.7
2014-07-09,999.76,11000.0,11999.76
2014-07-10,990.67,11000.0,11990.67
2014-07-11,989.85,11000.0,11989.85
2014-07-14,969.12,11000.0,11969.12
2014-07-15,991.18,11000.0,11991.18
2014-07-16,999.07,11000.0,11999.07
2014-07-17,1024.9,11000.0,12024.9
2014-07-18,1022.72,11000.0,12022.72
2014-07-21,1043.54,11000.0,12043.54
2014-07-22,1055.78,11000.0,12055.78
2014-07-23,1075.19,11000.0,12075.19
2014-07-24,1085.0,11000.0,12085.0
2014-07-25,1060.88,11000.0,12060.88
2014-07-28,1060.28,11000.0,12060.28
2014-07-30,1067.13,11000.0,12067.13
2014-07-31,1064.74,11000.0,12064.74
2014-08-01,2051.73,10000.0,12051.73
2014-08-04,2094.83,10000.0,12094.83
2014-08-05,2115.91,10000.0,12115.91
2014-08-06,2136.02,10000.0,12136.02
2014-08-07,2134.57,10000.0,12134.57
2014-08-08,2102.81,10000.0,12102.81
2014-08-11,2127.01,10000.0,12127.01
2014-08-12,2126.74,10000.0,12126.74
2014-08-13,2107.04,10000.0,12107.04
2014-08-14,2171.64,10000.0,12171.64
2014-08-18,2214.91,10000.0,12214.91
2014-08-19,2277.59,10000.0,12277.59
2014-08-20,2316.93,10000.0,12316.93
2014-08-21,2301.93,10000.0,12301.93
2014-08-22,2294.14,10000.0,12294.14
2014-08-25,2298.79,10000.0,12298.79
2014-08-26,2342.53,10000.0,12342.53
2014-08-27,2374.87,10000.0,12374.87
2014-08-28,2363.23,10000.0,12363.23
2014-09-01,3369.47,9000.0,12369.47
2014-09-02,3378.58,9000.0,12378.58
2014-09-03,3417.69,9000.0,12417.69
2014-09-04,3403.35,9000.0,12403.35
2014-09-05,3433.84,9000.0,12433.84
2014-09-08,3468.93,9000.0,12468.93
2014-09-09,3437.63,9000.0,12437.63
2014-09-10,3451.16,9000.0,12451.16
2014-09-11,3534.49,9000.0,12534.49
2014-09-12,3587.12,9000.0,12587.12
2014-09-15,3595.4,9000.0,12595.4
2014-09-16,3459.78,9000.0,12459.78
2014-09-17,3446.92,9000.0,12446.92
2014-09-18,3510.83,9000.0,12510.83
2014-09-19,3555.08,9000.0,12555.08
2014-09-22,3589.19,9000.0,12589.19
2014-09-23,3535.77,9000.0,12535.77
2014-09-24,3523.27,9000.0,12523.27
2014-09-25,3423.51,9000.0,12423.51
2014-09-26,3428.59,9000.0,12428.59
2014-09-29,3466.47,9000.0,12466.47
2014-09-30,3487.84,9000.0,12487.84
2014-10-01,4490.18,8000.0,12490.18
2014-10-07,4503.5,8000.0,12503.5
2014-10-08,4478.5,8000.0,12478.5
2014-10-09,4538.09,8000.0,12538.09
2014-10-10,4454.67,8000.0,12454.67
2014-10-13,4447.9,8000.0,12447.9
2014-10-14,4470.42,8000.0,12470.42
2014-10-16,4398.1,8000.0,12398.1
2014-10-17,4338.34,8000.0,12338.34
2014-10-20,4331.12,8000.0,12331.12
2014-10-21,4391.98,8000.0,12391.98
2014-10-22,4487.62,8000.0,12487.62
2014-10-23,4487.62,8000.0,12487.62
2014-10-27,4514.14,8000.0,12514.14
2014-10-28,4464.0,8000.0,12464.0
2014-10-29,4502.7,8000.0,12502.7
2014-10-30,4566.94,8000.0,12566.94
2014-10-31,4597.88,8000.0,12597.88
2014-11-03,5683.02,7000.0,12683.02
2014-11-05,5735.17,7000.0,12735.17
2014-11-07,5749.47,7000.0,12749.47
2014-11-10,5763.98,7000.0,12763.98
2014-11-11,5756.56,7000.0,12756.56
2014-11-12,5805.73,7000.0,12805.73
2014-11-13,6009.71,7000.0,13009.71
2014-11-14,5996.9,7000.0,12996.9
2014-11-17,6131.14,7000.0,13131.14
2014-11-18,6131.41,7000.0,13131.41
2014-11-19,6268.83,7000.0,13268.83
2014-11-20,6265.83,7000.0,13265.83
2014-11-21,6223.44,7000.0,13223.44
2014-11-24,6166.68,7000.0,13166.68
2014-11-25,6124.4,7000.0,13124.4
2014-11-26,6065.66,7000.0,13065.66
2014-11-27,6109.69,7000.0,13109.69
2014-11-28,6128.24,7000.0,13128.24
2014-12-01,7167.78,6000.0,13167.78
2014-12-02,7160.35,6000.0,13160.35
2014-12-03,7177.12,6000.0,13177.12
2014-12-04,7235.59,6000.0,13235.59
2014-12-05,7208.34,6000.0,13208.34
2014-12-08,7049.31,6000.0,13049.31
2014-12-09,7040.92,6000.0,13040.92
2014-12-10,7148.67,6000.0,13148.67
2014-12-11,7143.81,6000.0,13143.81
2014-12-12,7130.78,6000.0,13130.78
2014-12-15,7218.06,6000.0,13218.06
2014-12-16,7048.39,6000.0,13048.39
2014-12-17,6850.8,6000.0,12850.8
2014-12-18,6930.46,6000.0,12930.46
2014-12-19,6941.35,6000.0,12941.35
2014-12-22,6969.96,6000.0,12969.96
2014-12-23,6984.13,6000.0,12984.13
2014-12-24,6967.94,6000.0,12967.94
2014-12-26,7073.42,6000.0,13073.42
2014-12-29,7087.72,6000.0,13087.72
2014-12-30,7143.24,6000.0,13143.24
2014-12-31,7139.15,6000.0,13139.15
2015-01-01,8159.56,5000.0,13159.56
2015-01-02,8175.72,5000.0,13175.72
2015-01-05,8132.34,5000.0,13132.34
2015-01-06,7955.22,5000.0,12955.22
2015-01-07,7969.35,5000.0,12969.35
2015-01-08,8012.2,5000.0,13012.2
2015-01-09,8134.7,5000.0,13134.7
2015-01-12,8225.82,5000.0,13225.82
2015-01-13,8235.44,5000.0,13235.44
2015-01-14,8298.52,5000.0,13298.52
2015-01-15,8355.45,5000.0,13355.45
2015-01-16,8329.05,5000.0,13329.05
2015-01-19,8362.25,5000.0,13362.25
2015-01-20,8501.9,5000.0,13501.9
2015-01-21,8491.1,5000.0,13491.1
2015-01-22,8511.35,5000.0,13511.35
2015-01-23,8388.94,5000.0,13388.94
2015-01-27,8355.19,5000.0,13355.19
2015-01-28,8529.12,5000.0,13529.12
2015-01-29,8384.01,5000.0,13384.01
2015-01-30,8265.95,5000.0,13265.95
2015-02-02,9318.88,4000.0,13318.88
2015-02-03,9340.29,4000.0,13340.29
2015-02-04,9375.03,4000.0,13375.03
2015-02-05,9378.17,4000.0,13378.17
2015-02-06,9352.67,4000.0,13352.67
2015-02-09,9263.8,4000.0,13263.8
2015-02-10,9407.37,4000.0,13407.37
