Month,Date,Ticker,Quantity,Current_Price,Current_Amount
Jul 2014,2014-07-01,KSCL.NS,0.219255,760.15,166.67
Jul 2014,2014-07-01,TORNTPHARM.NS,0.468033,356.1,166.67
Jul 2014,2014-07-01,KKCL.NS,0.494457,337.07,166.67
Jul 2014,2014-07-01,ATUL.NS,0.187319,889.75,166.67
Jul 2014,2014-07-01,AJANTPHARM.NS,0.381028,437.41,166.67
Jul 2014,2014-07-01,WHIRLPOOL.NS,0.495442,336.4,166.67
Aug 2014,2014-08-01,KSCL.NS,0.457078,700.8,320.32
Aug 2014,2014-08-01,TORNTPHARM.NS,0.468033,372.73,174.45
Aug 2014,2014-08-01,KKCL.NS,0.980153,343.15,336.34
Aug 2014,2014-08-01,ATUL.NS,0.330196,1166.5,385.17
Aug 2014,2014-08-01,AJANTPHARM.NS,0.754262,446.55,336.81
Aug 2014,2014-08-01,WHIRLPOOL.NS,0.994967,333.65,331.97
Aug 2014,2014-08-01,ZENSARTECH.NS,2.021918,82.43,166.67
Sep 2014,2014-09-01,KSCL.NS,0.644439,889.55,573.26
Sep 2014,2014-09-01,TORNTPHARM.NS,0.468033,414.98,194.22
Sep 2014,2014-09-01,KKCL.NS,1.444367,359.03,518.57
Sep 2014,2014-09-01,ATUL.NS,0.452592,1361.7,616.29
Sep 2014,2014-09-01,AJANTPHARM.NS,1.138311,433.97,494.0
Sep 2014,2014-09-01,WHIRLPOOL.NS,1.358432,458.55,622.91
Sep 2014,2014-09-01,ZENSARTECH.NS,3.857858,90.78,350.22
Oct 2014,2014-10-01,KSCL.NS,0.844076,834.85,704.68
Oct 2014,2014-10-01,TORNTPHARM.NS,0.468033,442.25,206.99
Oct 2014,2014-10-01,KKCL.NS,1.444367,365.64,528.12
Oct 2014,2014-10-01,ATUL.NS,0.573221,1381.65,791.99
Oct 2014,2014-10-01,AJANTPHARM.NS,1.499186,461.84,692.38
Oct 2014,2014-10-01,WHIRLPOOL.NS,1.742545,433.9,756.09
Oct 2014,2014-10-01,ZENSARTECH.NS,5.206949,123.54,643.27
Oct 2014,2014-10-01,ASTRAL.NS,0.929644,179.28,166.67
Nov 2014,2014-11-03,KSCL.NS,1.023066,931.15,952.63
Nov 2014,2014-11-03,TORNTPHARM.NS,0.468033,456.05,213.45
Nov 2014,2014-11-03,KKCL.NS,1.444367,336.23,485.64
Nov 2014,2014-11-03,ATUL.NS,0.698624,1329.05,928.51
Nov 2014,2014-11-03,AJANTPHARM.NS,1.826754,508.8,929.45
Nov 2014,2014-11-03,WHIRLPOOL.NS,1.742545,509.9,888.52
Nov 2014,2014-11-03,ZENSARTECH.NS,6.570833,122.2,802.96
Nov 2014,2014-11-03,ASTRAL.NS,1.972794,159.77,315.2
Nov 2014,2014-11-03,KAJARIACER.NS,0.555556,300.0,166.67
Dec 2014,2014-12-01,KSCL.NS,1.218661,852.1,1038.42
Dec 2014,2014-12-01,TORNTPHARM.NS,0.767538,556.47,427.12
Dec 2014,2014-12-01,KKCL.NS,1.444367,372.91,538.62
Dec 2014,2014-12-01,ATUL.NS,0.829821,1270.35,1054.16
Dec 2014,2014-12-01,AJANTPHARM.NS,2.086117,642.6,1340.54
Dec 2014,2014-12-01,WHIRLPOOL.NS,1.742545,626.3,1091.36
Dec 2014,2014-12-01,ZENSARTECH.NS,7.968457,119.25,950.24
Dec 2014,2014-12-01,ASTRAL.NS,2.806023,200.03,561.27
Dec 2014,2014-12-01,KAJARIACER.NS,0.555556,298.9,166.06
Jan 2015,2015-01-01,KSCL.NS,1.432131,780.75,1118.14
Jan 2015,2015-01-01,TORNTPHARM.NS,1.058531,572.75,606.27
Jan 2015,2015-01-01,KKCL.NS,1.444367,382.95,553.12
Jan 2015,2015-01-01,ATUL.NS,0.951073,1374.55,1307.3
