Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,KSCL.NS,166.67,16.67
Aug 2014,ATUL.NS,385.17,18.77
Sep 2014,WHIRLPOOL.NS,622.91,18.49
Oct 2014,ATUL.NS,791.99,17.64
Nov 2014,KSCL.NS,952.63,16.76
Dec 2014,AJANTPHARM.NS,1340.54,18.7
Jan 2015,AJANTPHARM.NS,1478.47,18.12
Feb 2015,AJANTPHARM.NS,1758.9,18.87
Mar 2015,AJANTPHARM.NS,2198.46,19.92
Apr 2015,AJANTPHARM.NS,2458.58,20.16
May 2015,AJANTPHARM.NS,2833.06,21.5
Jun 2015,AJANTPHARM.NS,3461.72,22.84
Jul 2015,AJANTPHARM.NS,3259.8,22.42
Aug 2015,ZENSARTECH.NS,3301.66,20.78
Sep 2015,ZENSARTECH.NS,2672.45,17.65
Oct 2015,ZENSARTECH.NS,2711.91,17.58
Nov 2015,ZENSARTECH.NS,3237.72,20.02
Dec 2015,ZENSARTECH.NS,3294.33,20.46
Jan 2016,ZENSARTECH.NS,3304.6,19.7
Feb 2016,ZENSARTECH.NS,2728.9,17.27
Mar 2016,ZENSARTECH.NS,2566.29,17.14
Apr 2016,ZENSARTECH.NS,2798.09,17.43
May 2016,ZENSARTECH.NS,2851.36,17.36
Jun 2016,BAJFINANCE.NS,3318.65,20.08
Jul 2016,BAJFINANCE.NS,3459.76,20.21
Aug 2016,BAJFINANCE.NS,4755.62,24.87
Sep 2016,BAJFINANCE.NS,4331.37,21.7
Oct 2016,BAJFINANCE.NS,3997.6,19.75
Nov 2016,BAJFINANCE.NS,3902.32,19.19
Dec 2016,BAJFINANCE.NS,3217.98,17.42
Jan 2017,BAJFINANCE.NS,2987.7,16.57
Feb 2017,BAJFINANCE.NS,3661.09,18.23
Mar 2017,VGUARD.NS,3233.24,15.38
Apr 2017,VGUARD.NS,3671.45,16.63
May 2017,VGUARD.NS,4000.25,16.95
Jun 2017,VGUARD.NS,4295.38,17.97
Jul 2017,VGUARD.NS,4018.63,16.48
Aug 2017,VGUARD.NS,4164.91,16.38
Sep 2017,VINATIORGA.NS,4677.66,18.31
Oct 2017,IGL.NS,4035.0,15.49
Nov 2017,IGL.NS,4328.28,15.06
Dec 2017,VGUARD.NS,3525.94,12.1
Jan 2018,VAKRANGEE.NS,4124.37,13.37
Feb 2018,BALKRISIND.NS,3708.91,13.11
Mar 2018,AVANTIFEED.NS,4166.73,16.14
Apr 2018,BALKRISIND.NS,4139.33,16.1
May 2018,BALKRISIND.NS,5025.65,19.86
Jun 2018,BALKRISIND.NS,4938.06,21.71
Jul 2018,BALKRISIND.NS,4722.31,21.88
Aug 2018,BALKRISIND.NS,4518.6,19.79
Sep 2018,BALKRISIND.NS,3423.25,14.45
Oct 2018,BALKRISIND.NS,2936.48,13.75
Nov 2018,TCS.NS,2783.91,13.13
Dec 2018,TCS.NS,3494.51,16.93
Jan 2019,TCS.NS,3354.2,16.11
Feb 2019,TCS.NS,3340.39,15.91
Mar 2019,TCS.NS,3737.0,18.21
Apr 2019,TCS.NS,3804.89,17.61
May 2019,TCS.NS,4051.82,18.54
Jun 2019,TCS.NS,4004.66,17.46
Jul 2019,TCS.NS,3999.75,17.76
Aug 2019,TCS.NS,3303.48,16.08
Sep 2019,VINATIORGA.NS,2571.37,12.09
Oct 2019,VINATIORGA.NS,2591.76,11.74
Nov 2019,ATUL.NS,2429.65,10.62
Dec 2019,ATUL.NS,2259.36,10.4
Jan 2020,TCS.NS,2355.3,10.78
Feb 2020,TCS.NS,2304.77,10.1
Mar 2020,VSTIND.NS,2518.69,11.54
Apr 2020,TCS.NS,1944.02,12.08
May 2020,TCS.NS,1993.9,10.42
Jun 2020,TCS.NS,2112.47,10.49
Jul 2020,VSTIND.NS,1946.65,9.39
Aug 2020,GARFIBRES.NS,2254.27,10.24
Sep 2020,GARFIBRES.NS,2430.54,10.35
Oct 2020,GARFIBRES.NS,3638.69,15.0
Nov 2020,GARFIBRES.NS,3478.47,14.57
Dec 2020,GARFIBRES.NS,4166.13,15.65
Jan 2021,GARFIBRES.NS,5228.87,18.35
Feb 2021,GARFIBRES.NS,5229.33,18.52
Mar 2021,GARFIBRES.NS,5787.96,19.81
Apr 2021,GARFIBRES.NS,4911.16,16.53
May 2021,GARFIBRES.NS,5035.53,15.69
Jun 2021,GARFIBRES.NS,4869.33,14.27
Jul 2021,COFORGE.NS,5762.12,15.06
Aug 2021,COFORGE.NS,7065.38,17.56
Sep 2021,COFORGE.NS,7100.35,18.05
Oct 2021,COFORGE.NS,6568.61,15.94
Nov 2021,COFORGE.NS,6317.22,15.17
Dec 2021,ASAL.NS,11673.39,24.17
Jan 2022,ASAL.NS,35810.84,46.26
Feb 2022,ASAL.NS,23409.0,37.43
Mar 2022,ASAL.NS,12298.57,25.02
Apr 2022,ASAL.NS,29231.73,42.83
May 2022,ASAL.NS,24936.31,39.54
Jun 2022,ASAL.NS,16468.99,29.76
Jul 2022,ASAL.NS,14370.68,26.37
Aug 2022,ASAL.NS,14101.1,24.52
Sep 2022,ASAL.NS,12418.44,22.02
Oct 2022,KEI.NS,8674.54,15.81
Nov 2022,KEI.NS,9834.55,17.66
Dec 2022,KEI.NS,9144.53,16.14
Jan 2023,KEI.NS,8536.07,15.72
Feb 2023,KEI.NS,7727.44,14.23
Mar 2023,TI.NS,7881.24,14.63
Apr 2023,TI.NS,7799.85,14.77
May 2023,TI.NS,9176.7,15.59
