Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,BAJFINANCE.NS,166.67,16.67
Aug 2014,BAJFINANCE.NS,382.31,18.54
Sep 2014,BAJFINANCE.NS,623.85,18.39
Oct 2014,BAJFINANCE.NS,909.07,19.86
Nov 2014,BAJFINANCE.NS,1115.51,19.75
Dec 2014,BAJFINANCE.NS,1434.45,20.54
Jan 2015,BAJFINANCE.NS,1792.81,22.65
Feb 2015,BAJFINANCE.NS,2297.79,23.63
Mar 2015,BAJFINANCE.NS,2581.14,22.95
Apr 2015,BAJFINANCE.NS,2611.23,21.18
May 2015,BAJFINANCE.NS,2811.07,21.01
Jun 2015,BAJFINANCE.NS,3103.28,21.51
Jul 2015,BAJFINANCE.NS,3817.94,24.45
Aug 2015,BAJFINANCE.NS,3725.17,22.74
Sep 2015,BAJFINANCE.NS,3093.31,20.05
Oct 2015,BAJFINANCE.NS,3048.02,17.9
Nov 2015,BAJFINANCE.NS,3117.04,18.07
Dec 2015,BAJFINANCE.NS,3065.3,17.22
Jan 2016,BAJFINANCE.NS,3322.03,17.76
Feb 2016,BAJFINANCE.NS,3271.51,18.38
Mar 2016,BAJFINANCE.NS,2898.14,16.93
Apr 2016,BAJFINANCE.NS,2933.38,15.46
May 2016,BAJFINANCE.NS,3008.56,14.98
Jun 2016,BAJFINANCE.NS,3144.23,15.13
Jul 2016,BAJFINANCE.NS,3193.41,14.71
Aug 2016,BAJFINANCE.NS,4389.52,18.07
Sep 2016,CANFINHOME.NS,4064.65,16.07
Oct 2016,CANFINHOME.NS,4925.03,18.39
Nov 2016,CANFINHOME.NS,5451.56,19.73
Dec 2016,CANFINHOME.NS,4820.64,18.98
Jan 2017,CANFINHOME.NS,4279.38,17.24
Feb 2017,CANFINHOME.NS,4926.79,18.03
Mar 2017,CANFINHOME.NS,4955.79,17.62
Apr 2017,CANFINHOME.NS,5710.94,18.61
May 2017,CANFINHOME.NS,6968.84,20.7
Jun 2017,CANFINHOME.NS,6383.22,17.6
Jul 2017,CANFINHOME.NS,6440.98,17.1
Aug 2017,AVANTIFEED.NS,7285.34,18.52
Sep 2017,BAJFINANCE.NS,4815.28,12.1
Oct 2017,AVANTIFEED.NS,5678.34,14.06
Nov 2017,AVANTIFEED.NS,7029.0,16.52
Dec 2017,AVANTIFEED.NS,7564.38,18.31
Jan 2018,AVANTIFEED.NS,7452.53,17.27
Feb 2018,AVANTIFEED.NS,5272.7,12.61
Mar 2018,BAJFINANCE.NS,5591.6,13.55
Apr 2018,BAJFINANCE.NS,6128.23,15.11
May 2018,BAJFINANCE.NS,6902.28,16.07
Jun 2018,BAJFINANCE.NS,7144.22,17.81
Jul 2018,BAJFINANCE.NS,7908.2,20.5
Aug 2018,BAJFINANCE.NS,8901.92,21.51
Sep 2018,BAJFINANCE.NS,7971.58,18.95
Oct 2018,BAJFINANCE.NS,6462.89,17.81
Nov 2018,BAJFINANCE.NS,6390.75,17.35
Dec 2018,BAJFINANCE.NS,6182.11,16.05
Jan 2019,BAJFINANCE.NS,6547.32,17.08
Feb 2019,AARTIIND.NS,7611.08,19.73
Mar 2019,AARTIIND.NS,6527.46,17.27
Apr 2019,AARTIIND.NS,7275.54,17.77
May 2019,AARTIIND.NS,7389.81,18.26
Jun 2019,AARTIIND.NS,7513.1,16.69
Jul 2019,AARTIIND.NS,7185.8,16.07
Aug 2019,AARTIIND.NS,5835.71,14.89
Sep 2019,BAJFINANCE.NS,4076.1,10.39
Oct 2019,BAJFINANCE.NS,4994.15,11.81
Nov 2019,BAJFINANCE.NS,5529.78,12.23
Dec 2019,BAJFINANCE.NS,5367.55,12.14
Jan 2020,BAJFINANCE.NS,5366.08,11.43
Feb 2020,BAJFINANCE.NS,6430.8,12.81
Mar 2020,BAJFINANCE.NS,7568.69,15.66
Apr 2020,BAJFINANCE.NS,3851.99,11.77
May 2020,BAJFINANCE.NS,3897.14,10.37
Jun 2020,BAJFINANCE.NS,4049.3,10.38
Jul 2020,BAJFINANCE.NS,5535.43,12.83
Aug 2020,BAJFINANCE.NS,5804.76,12.55
Sep 2020,BAJFINANCE.NS,6663.0,13.14
Oct 2020,AARTIIND.NS,6873.23,13.13
Nov 2020,AARTIIND.NS,6839.37,13.57
Dec 2020,AARTIIND.NS,7834.47,13.23
Jan 2021,AARTIIND.NS,8269.33,13.1
Feb 2021,GARFIBRES.NS,7643.4,11.72
Mar 2021,AARTIIND.NS,8326.07,11.8
Apr 2021,ALKYLAMINE.NS,10487.53,14.41
May 2021,ALKYLAMINE.NS,15360.92,18.27
Jun 2021,ALKYLAMINE.NS,16382.19,18.51
Jul 2021,ALKYLAMINE.NS,15288.1,15.9
Aug 2021,ALKYLAMINE.NS,18220.64,17.46
Sep 2021,ALKYLAMINE.NS,15421.94,14.89
Oct 2021,ALKYLAMINE.NS,13212.16,12.39
Nov 2021,ALKYLAMINE.NS,12208.18,11.53
Dec 2021,AARTIIND.NS,12519.96,11.93
Jan 2022,ALKYLAMINE.NS,15980.94,14.25
Feb 2022,BAJFINANCE.NS,14712.53,13.22
Mar 2022,BAJFINANCE.NS,15978.24,15.5
Apr 2022,AARTIIND.NS,15195.11,13.23
May 2022,AARTIIND.NS,13467.31,11.76
Jun 2022,BAJFINANCE.NS,12027.78,11.46
Jul 2022,POLYPLEX.NS,11513.76,12.0
Aug 2022,POLYPLEX.NS,12882.85,11.86
Sep 2022,SRF.NS,11535.81,10.48
Oct 2022,POLYPLEX.NS,12810.14,12.28
Nov 2022,POLYPLEX.NS,11350.48,10.78
Dec 2022,POLYPLEX.NS,11932.34,11.48
Jan 2023,POLYPLEX.NS,10697.91,10.44
Feb 2023,JWL.NS,11624.0,11.4
Mar 2023,JWL.NS,9690.81,9.89
Apr 2023,JWL.NS,9621.23,9.92
May 2023,JWL.NS,10838.8,10.16
Jun 2023,REFEX.NS,16192.56,13.67
Jul 2023,REFEX.NS,16659.55,13.21
Aug 2023,REFEX.NS,27268.21,19.31
Sep 2023,REFEX.NS,20701.16,14.27
Oct 2023,REFEX.NS,19608.96,13.68
Nov 2023,REFEX.NS,16229.43,11.98
Dec 2023,REFEX.NS,18147.67,12.52
Jan 2024,REFEX.NS,21420.12,13.62
Feb 2024,KEI.NS,15410.8,9.43
Mar 2024,KEI.NS,15647.92,9.32
Apr 2024,KEI.NS,17077.73,9.89
May 2024,BEL.NS,21796.05,11.49
Jun 2024,BEL.NS,29585.99,14.2
Jul 2024,BEL.NS,28564.67,13.08
Aug 2024,BEL.NS,28889.63,13.11
Sep 2024,BEL.NS,27566.55,12.0
Oct 2024,BEL.NS,26364.17,10.86
Nov 2024,HAL.NS,25307.14,11.2
Dec 2024,HAL.NS,30373.82,12.77
Jan 2025,HAL.NS,28118.08,11.63
Feb 2025,HAL.NS,23943.84,11.32
Mar 2025,HAL.NS,21626.5,11.25
Apr 2025,HAL.NS,28660.95,13.17
May 2025,SARDAEN.NS,31126.05,14.75
Jun 2025,SARDAEN.NS,30503.95,13.22
Jul 2025,SARDAEN.NS,28813.5,12.02
Aug 2025,SARDAEN.NS,28951.9,12.04
Sep 2025,SARDAEN.NS,39621.85,16.16
Oct 2025,SARDAEN.NS,38178.45,15.46
Nov 2025,SARDAEN.NS,37859.57,14.92
Dec 2025,SARDAEN.NS,33659.68,13.86
Jan 2026,SARDAEN.NS,30625.35,12.8
Feb 2026,SARDAEN.NS,29267.56,13.05
