Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1010.23,11000.0,12010.23
2014-07-03,1017.62,11000.0,12017.62
2014-07-04,1017.7,11000.0,12017.7
2014-07-07,1018.03,11000.0,12018.03
2014-07-08,1002.94,11000.0,12002.94
2014-07-09,989.57,11000.0,11989.57
2014-07-10,984.4,11000.0,11984.4
2014-07-11,990.41,11000.0,11990.41
2014-07-14,980.2,11000.0,11980.2
2014-07-15,992.3,11000.0,11992.3
2014-07-16,1001.16,11000.0,12001.16
2014-07-17,1033.25,11000.0,12033.25
2014-07-18,1030.61,11000.0,12030.61
2014-07-21,1035.17,11000.0,12035.17
2014-07-22,1047.36,11000.0,12047.36
2014-07-23,1082.96,11000.0,12082.96
2014-07-24,1102.56,11000.0,12102.56
2014-07-25,1071.04,11000.0,12071.04
2014-07-28,1056.75,11000.0,12056.75
2014-07-30,1053.65,11000.0,12053.65
2014-07-31,1055.41,11000.0,12055.41
2014-08-01,2042.77,10000.0,12042.77
2014-08-04,2045.35,10000.0,12045.35
2014-08-05,2048.75,10000.0,12048.75
2014-08-06,2036.77,10000.0,12036.77
2014-08-07,2025.41,10000.0,12025.41
2014-08-08,1988.5,10000.0,11988.5
2014-08-11,2012.32,10000.0,12012.32
2014-08-12,2003.72,10000.0,12003.72
2014-08-13,1945.16,10000.0,11945.16
2014-08-14,1968.59,10000.0,11968.59
2014-08-18,1993.63,10000.0,11993.63
2014-08-19,2006.59,10000.0,12006.59
2014-08-20,2025.83,10000.0,12025.83
2014-08-21,2026.27,10000.0,12026.27
2014-08-22,2019.21,10000.0,12019.21
2014-08-25,2014.56,10000.0,12014.56
2014-08-26,2000.74,10000.0,12000.74
2014-08-27,2023.69,10000.0,12023.69
2014-08-28,2025.95,10000.0,12025.95
2014-09-01,3063.85,9000.0,12063.85
2014-09-02,3070.55,9000.0,12070.55
2014-09-03,3092.8,9000.0,12092.8
2014-09-04,3094.29,9000.0,12094.29
2014-09-05,3103.1,9000.0,12103.1
2014-09-08,3136.19,9000.0,12136.19
2014-09-09,3134.83,9000.0,12134.83
2014-09-10,3142.16,9000.0,12142.16
2014-09-11,3198.29,9000.0,12198.29
2014-09-12,3242.12,9000.0,12242.12
2014-09-15,3286.68,9000.0,12286.68
2014-09-16,3205.36,9000.0,12205.36
2014-09-17,3191.59,9000.0,12191.59
2014-09-18,3257.8,9000.0,12257.8
2014-09-19,3320.25,9000.0,12320.25
2014-09-22,3324.87,9000.0,12324.87
2014-09-23,3278.98,9000.0,12278.98
2014-09-24,3266.5,9000.0,12266.5
2014-09-25,3203.7,9000.0,12203.7
2014-09-26,3198.93,9000.0,12198.93
2014-09-29,3241.14,9000.0,12241.14
2014-09-30,3283.74,9000.0,12283.74
2014-10-01,4299.52,8000.0,12299.52
2014-10-07,4272.22,8000.0,12272.22
2014-10-08,4238.86,8000.0,12238.86
2014-10-09,4283.48,8000.0,12283.48
2014-10-10,4205.72,8000.0,12205.72
2014-10-13,4223.34,8000.0,12223.34
2014-10-14,4195.88,8000.0,12195.88
2014-10-16,4125.02,8000.0,12125.02
2014-10-17,4126.98,8000.0,12126.98
2014-10-20,4123.52,8000.0,12123.52
2014-10-21,4184.35,8000.0,12184.35
2014-10-22,4238.53,8000.0,12238.53
2014-10-23,4238.53,8000.0,12238.53
2014-10-27,4235.54,8000.0,12235.54
2014-10-28,4186.65,8000.0,12186.65
2014-10-29,4214.38,8000.0,12214.38
2014-10-30,4249.07,8000.0,12249.07
2014-10-31,4248.97,8000.0,12248.97
2014-11-03,5310.42,7000.0,12310.42
2014-11-05,5299.15,7000.0,12299.15
2014-11-07,5395.07,7000.0,12395.07
2014-11-10,5386.95,7000.0,12386.95
2014-11-11,5423.96,7000.0,12423.96
2014-11-12,5507.28,7000.0,12507.28
2014-11-13,5541.33,7000.0,12541.33
2014-11-14,5375.54,7000.0,12375.54
2014-11-17,5354.96,7000.0,12354.96
2014-11-18,5388.16,7000.0,12388.16
2014-11-19,5476.94,7000.0,12476.94
2014-11-20,5490.48,7000.0,12490.48
2014-11-21,5499.37,7000.0,12499.37
2014-11-24,5500.7,7000.0,12500.7
2014-11-25,5422.76,7000.0,12422.76
2014-11-26,5423.25,7000.0,12423.25
2014-11-27,5503.21,7000.0,12503.21
2014-11-28,5520.87,7000.0,12520.87
2014-12-01,6546.92,6000.0,12546.92
2014-12-02,6530.84,6000.0,12530.84
2014-12-03,6566.04,6000.0,12566.04
2014-12-04,6641.44,6000.0,12641.44
2014-12-05,6630.76,6000.0,12630.76
2014-12-08,6547.72,6000.0,12547.72
2014-12-09,6511.4,6000.0,12511.4
2014-12-10,6578.6,6000.0,12578.6
2014-12-11,6580.11,6000.0,12580.11
2014-12-12,6593.22,6000.0,12593.22
2014-12-15,6576.3,6000.0,12576.3
2014-12-16,6407.94,6000.0,12407.94
2014-12-17,6243.24,6000.0,12243.24
2014-12-18,6335.45,6000.0,12335.45
2014-12-19,6291.7,6000.0,12291.7
2014-12-22,6370.79,6000.0,12370.79
2014-12-23,6377.9,6000.0,12377.9
2014-12-24,6368.0,6000.0,12368.0
2014-12-26,6466.63,6000.0,12466.63
2014-12-29,6506.66,6000.0,12506.66
2014-12-30,6555.97,6000.0,12555.97
2014-12-31,6606.54,6000.0,12606.54
2015-01-01,7617.07,5000.0,12617.07
2015-01-02,7647.72,5000.0,12647.72
2015-01-05,7657.17,5000.0,12657.17
2015-01-06,7478.66,5000.0,12478.66
2015-01-07,7475.23,5000.0,12475.23
2015-01-08,7519.71,5000.0,12519.71
2015-01-09,7573.3,5000.0,12573.3
2015-01-12,7651.92,5000.0,12651.92
2015-01-13,7720.05,5000.0,12720.05
2015-01-14,7805.32,5000.0,12805.32
2015-01-15,7819.93,5000.0,12819.93
2015-01-16,7793.08,5000.0,12793.08
2015-01-19,7856.28,5000.0,12856.28
2015-01-20,7906.96,5000.0,12906.96
2015-01-21,7938.74,5000.0,12938.74
2015-01-22,7987.33,5000.0,12987.33
2015-01-23,7899.24,5000.0,12899.24
2015-01-27,7867.35,5000.0,12867.35
2015-01-28,8060.63,5000.0,13060.63
2015-01-29,7953.51,5000.0,12953.51
2015-01-30,7915.18,5000.0,12915.18
2015-02-02,8908.64,4000.0,12908.64
2015-02-03,8926.88,4000.0,12926.88
2015-02-04,8935.85,4000.0,12935.85
2015-02-05,8921.75,4000.0,12921.75
2015-02-06,8913.47,4000.0,12913.47
2015-02-09,8882.14,4000.0,12882.14
2015-02-10,8926.67,4000.0,12926.67
2015-02-11,9024.34,4000.0,13024.34
2015-02-12,9109.23,4000.0,13109.23
2015-02-13,9339.66,4000.0,13339.66
2015-02-16,9439.41,4000.0,13439.41
2015-02-18,9541.52,4000.0,13541.52
2015-02-19,9423.68,4000.0,13423.68
2015-02-20,9355.4,4000.0,13355.4
2015-02-23,9311.11,4000.0,13311.11
2015-02-24,9341.46,4000.0,13341.46
2015-02-25,9310.3,4000.0,13310.3
2015-02-26,9207.42,4000.0,13207.42
2015-02-27,9297.09,4000.0,13297.09
2015-03-02,10528.61,3000.0,13528.61
2015-03-03,10720.65,3000.0,13720.65
2015-03-04,10596.07,3000.0,13596.07
2015-03-05,10636.25,3000.0,13636.25
2015-03-09,10483.08,3000.0,13483.08
2015-03-10,10415.27,3000.0,13415.27
2015-03-11,10478.75,3000.0,13478.75
2015-03-12,10760.33,3000.0,13760.33
2015-03-13,10576.61,3000.0,13576.61
2015-03-16,10463.22,3000.0,13463.22
2015-03-17,10477.95,3000.0,13477.95
2015-03-18,10511.83,3000.0,13511.83
2015-03-19,10541.45,3000.0,13541.45
2015-03-20,10360.35,3000.0,13360.35
2015-03-23,10350.61,3000.0,13350.61
2015-03-24,10325.39,3000.0,13325.39
2015-03-25,10364.46,3000.0,13364.46
2015-03-26,10366.52,3000.0,13366.52
2015-03-27,10327.04,3000.0,13327.04
2015-03-30,10536.17,3000.0,13536.17
2015-03-31,10654.06,3000.0,13654.06
2015-04-01,11772.62,2000.0,13772.62
2015-04-06,12002.51,2000.0,14002.51
2015-04-07,12113.74,2000.0,14113.74
2015-04-08,12478.77,2000.0,14478.77
2015-04-09,12545.98,2000.0,14545.98
2015-04-10,12529.61,2000.0,14529.61
2015-04-13,12478.03,2000.0,14478.03
2015-04-15,12603.51,2000.0,14603.51
2015-04-16,12592.08,2000.0,14592.08
2015-04-17,12546.62,2000.0,14546.62
2015-04-20,12421.66,2000.0,14421.66
2015-04-21,12336.43,2000.0,14336.43
2015-04-22,12298.97,2000.0,14298.97
2015-04-23,12412.61,2000.0,14412.61
2015-04-24,12017.7,2000.0,14017.7
2015-04-27,11764.33,2000.0,13764.33
2015-04-28,11742.27,2000.0,13742.27
2015-04-29,11855.57,2000.0,13855.57
2015-04-30,12011.81,2000.0,14011.81
2015-05-04,13100.58,1000.0,14100.58
2015-05-05,13102.34,1000.0,14102.34
2015-05-06,13118.37,1000.0,14118.37
2015-05-07,12958.72,1000.0,13958.72
2015-05-08,12896.36,1000.0,13896.36
2015-05-11,12897.09,1000.0,13897.09
2015-05-12,12787.0,1000.0,13787.0
2015-05-13,12939.44,1000.0,13939.44
2015-05-14,13057.31,1000.0,14057.31
2015-05-15,12965.77,1000.0,13965.77
2015-05-18,13029.4,1000.0,14029.4
2015-05-19,13103.2,1000.0,14103.2
2015-05-20,13118.49,1000.0,14118.49
2015-05-21,13179.71,1000.0,14179.71
2015-05-22,13251.44,1000.0,14251.44
2015-05-25,13140.4,1000.0,14140.4
2015-05-26,13202.1,1000.0,14202.1
2015-05-27,13063.79,1000.0,14063.79
