Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,WIPRO.NS,166.67,16.67
Aug 2014,BALKRISIND.NS,340.44,16.67
Sep 2014,KKCL.NS,518.57,16.93
Oct 2014,KKCL.NS,694.79,16.16
Nov 2014,AJANTPHARM.NS,929.45,17.5
Dec 2014,AJANTPHARM.NS,1340.54,20.48
Jan 2015,AJANTPHARM.NS,1478.47,19.41
Feb 2015,AJANTPHARM.NS,1758.9,19.74
Mar 2015,AJANTPHARM.NS,2031.79,19.3
Apr 2015,AJANTPHARM.NS,2118.16,17.99
May 2015,AJANTPHARM.NS,2297.2,17.54
Jun 2015,AJANTPHARM.NS,2806.95,19.47
Jul 2015,AJANTPHARM.NS,2340.35,16.55
Aug 2015,ZENSARTECH.NS,2895.75,18.92
Sep 2015,ZENSARTECH.NS,2360.78,16.04
Oct 2015,ZENSARTECH.NS,2402.46,16.35
Nov 2015,ZENSARTECH.NS,2868.26,18.79
Dec 2015,ZENSARTECH.NS,3205.61,21.37
Jan 2016,ZENSARTECH.NS,3209.97,20.64
Feb 2016,ZENSARTECH.NS,2650.75,18.52
Mar 2016,ZENSARTECH.NS,2473.03,18.31
Apr 2016,ZENSARTECH.NS,2650.88,18.27
May 2016,ZENSARTECH.NS,2701.34,18.03
Jun 2016,BAJFINANCE.NS,3127.87,20.78
Jul 2016,BAJFINANCE.NS,3262.25,20.88
Aug 2016,BAJFINANCE.NS,4484.14,25.45
Sep 2016,BAJFINANCE.NS,4010.41,21.88
Oct 2016,BAJFINANCE.NS,3682.65,19.68
Nov 2016,BAJFINANCE.NS,3594.88,19.11
Dec 2016,BAJFINANCE.NS,2394.6,13.58
Jan 2017,VAKRANGEE.NS,2344.65,13.64
Feb 2017,VGUARD.NS,2799.09,14.53
Mar 2017,VGUARD.NS,3621.87,17.81
Apr 2017,VGUARD.NS,4007.98,18.84
May 2017,VGUARD.NS,4366.92,19.15
Jun 2017,VGUARD.NS,4011.6,16.46
Jul 2017,VAKRANGEE.NS,3418.31,13.6
Aug 2017,VGUARD.NS,3516.27,13.27
Sep 2017,AVANTIFEED.NS,4676.9,16.96
Oct 2017,AVANTIFEED.NS,6080.62,21.27
Nov 2017,AVANTIFEED.NS,7526.96,23.69
Dec 2017,AVANTIFEED.NS,8167.55,25.24
Jan 2018,AVANTIFEED.NS,8046.78,23.69
Feb 2018,AVANTIFEED.NS,6848.96,21.55
Mar 2018,AVANTIFEED.NS,6044.93,19.81
Apr 2018,AVANTIFEED.NS,5932.06,19.66
May 2018,BALKRISIND.NS,6447.41,21.01
Jun 2018,BALKRISIND.NS,5684.64,20.31
Jul 2018,BALKRISIND.NS,5436.27,19.81
Aug 2018,BALKRISIND.NS,5374.02,18.36
Sep 2018,BAJFINANCE.NS,4544.41,15.14
Oct 2018,BAJFINANCE.NS,3684.34,13.73
Nov 2018,BAJFINANCE.NS,3503.28,13.06
Dec 2018,TECHM.NS,3570.77,13.49
Jan 2019,TECHM.NS,3602.83,13.47
Feb 2019,TECHM.NS,3740.61,13.86
Mar 2019,TECHM.NS,4167.48,15.39
Apr 2019,BAJFINANCE.NS,4517.55,15.86
May 2019,BAJFINANCE.NS,4929.71,16.74
Jun 2019,BAJFINANCE.NS,5251.58,17.6
Jul 2019,BAJFINANCE.NS,5532.71,18.77
Aug 2019,BAJFINANCE.NS,4716.07,17.21
Sep 2019,BAJFINANCE.NS,4632.99,16.31
Oct 2019,BAJFINANCE.NS,5676.46,19.12
Nov 2019,BAJFINANCE.NS,6214.12,20.17
Dec 2019,BAJFINANCE.NS,6031.81,20.12
Jan 2020,BAJFINANCE.NS,6086.18,19.74
Feb 2020,BAJFINANCE.NS,6067.97,18.78
Mar 2020,BAJFINANCE.NS,5745.28,19.18
Apr 2020,IGL.NS,4542.65,20.54
May 2020,IGL.NS,5463.27,21.42
Jun 2020,IGL.NS,5473.16,20.41
Jul 2020,IGL.NS,5039.32,17.96
Aug 2020,IGL.NS,4479.56,15.15
Sep 2020,IGL.NS,4490.94,14.6
Oct 2020,AVANTIFEED.NS,3303.36,10.55
Nov 2020,AVANTIFEED.NS,3124.79,10.31
Dec 2020,ALKYLAMINE.NS,4208.85,12.17
Jan 2021,ALKYLAMINE.NS,4116.97,11.3
Feb 2021,ALKYLAMINE.NS,5264.59,13.58
Mar 2021,ALKYLAMINE.NS,5389.15,13.96
Apr 2021,ALKYLAMINE.NS,6109.58,15.03
May 2021,ALKYLAMINE.NS,8948.6,19.18
