Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1008.47,11000.0,12008.47
2014-07-03,1010.57,11000.0,12010.57
2014-07-04,1005.34,11000.0,12005.34
2014-07-07,1005.24,11000.0,12005.24
2014-07-08,991.23,11000.0,11991.23
2014-07-09,979.27,11000.0,11979.27
2014-07-10,963.48,11000.0,11963.48
2014-07-11,958.32,11000.0,11958.32
2014-07-14,943.73,11000.0,11943.73
2014-07-15,961.99,11000.0,11961.99
2014-07-16,977.0,11000.0,11977.0
2014-07-17,1001.01,11000.0,12001.01
2014-07-18,1001.46,11000.0,12001.46
2014-07-21,1012.54,11000.0,12012.54
2014-07-22,1027.96,11000.0,12027.96
2014-07-23,1026.29,11000.0,12026.29
2014-07-24,1024.62,11000.0,12024.62
2014-07-25,1003.87,11000.0,12003.87
2014-07-28,998.2,11000.0,11998.2
2014-07-30,994.34,11000.0,11994.34
2014-07-31,991.58,11000.0,11991.58
2014-08-01,1977.91,10000.0,11977.91
2014-08-04,1996.7,10000.0,11996.7
2014-08-05,2000.34,10000.0,12000.34
2014-08-06,1998.56,10000.0,11998.56
2014-08-07,1991.79,10000.0,11991.79
2014-08-08,1969.45,10000.0,11969.45
2014-08-11,1991.99,10000.0,11991.99
2014-08-12,1985.99,10000.0,11985.99
2014-08-13,1936.77,10000.0,11936.77
2014-08-14,1967.54,10000.0,11967.54
2014-08-18,1975.67,10000.0,11975.67
2014-08-19,1973.3,10000.0,11973.3
2014-08-20,1975.69,10000.0,11975.69
2014-08-21,1982.3,10000.0,11982.3
2014-08-22,1983.49,10000.0,11983.49
2014-08-25,1978.82,10000.0,11978.82
2014-08-26,1979.14,10000.0,11979.14
2014-08-27,1990.24,10000.0,11990.24
2014-08-28,2009.7,10000.0,12009.7
2014-09-01,3037.94,9000.0,12037.94
2014-09-02,3042.88,9000.0,12042.88
2014-09-03,3088.2,9000.0,12088.2
2014-09-04,3105.23,9000.0,12105.23
2014-09-05,3125.93,9000.0,12125.93
