Month,Date,Investment,Portfolio_Value,Bank,Equity,Holdings
Jul 2014,2014-07-01,1000.0,1000.0,11000.0,12000.0,"[{'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'KKCL.NS', 'Quantity': 0.494457}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 0.459719}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}, {'Ticker': 'KSCL.NS', 'Quantity': 0.219255}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.381028}]"
Aug 2014,2014-08-01,1000.0,1977.91,10000.0,11977.91,"[{'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'KKCL.NS', 'Quantity': 0.980153}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 0.900633}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'KSCL.NS', 'Quantity': 0.457078}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.754262}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 2.021918}]"
Sep 2014,2014-09-01,1000.0,3037.94,9000.0,12037.94,"[{'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.362985}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'KSCL.NS', 'Quantity': 0.644439}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.138311}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.857858}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.401631}]"
Oct 2014,2014-10-01,1000.0,4236.81,8000.0,12236.81,"[{'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'KKCL.NS', 'Quantity': 1.900189}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.793566}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'KSCL.NS', 'Quantity': 0.644439}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.499186}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 5.206949}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.401631}, {'Ticker': 'ASTRAL.NS', 'Quantity': 0.929644}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 0.586923}]"
Nov 2014,2014-11-03,1000.0,5343.77,7000.0,12343.77,"[{'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'KKCL.NS', 'Quantity': 1.900189}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 2.215519}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'KSCL.NS', 'Quantity': 0.823429}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.826754}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 6.570833}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.401631}, {'Ticker': 'ASTRAL.NS', 'Quantity': 1.972794}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.122255}]"
Dec 2014,2014-12-01,1000.0,6534.43,6000.0,12534.43,"[{'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'KKCL.NS', 'Quantity': 1.900189}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 2.765615}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'KSCL.NS', 'Quantity': 1.019024}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.086117}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 6.570833}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.701135}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.548077}]"
Jan 2015,2015-01-01,1000.0,7505.1,5000.0,12505.1,"[{'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'KKCL.NS', 'Quantity': 1.900189}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 2.765615}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'KSCL.NS', 'Quantity': 1.232494}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.351161}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 7.946198}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.992129}, {'Ticker': 'ASTRAL.NS', 'Quantity': 3.757765}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.548077}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}]"
Feb 2015,2015-02-02,1000.0,8660.41,4000.0,12660.41,"[{'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'KKCL.NS', 'Quantity': 2.371265}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 3.290703}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'KSCL.NS', 'Quantity': 1.232494}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.597268}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 9.245034}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.285918}, {'Ticker': 'ASTRAL.NS', 'Quantity': 4.718767}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.548077}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}]"
Mar 2015,2015-03-02,1000.0,10404.42,3000.0,13404.42,"[{'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'KKCL.NS', 'Quantity': 2.821277}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 3.290703}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'KSCL.NS', 'Quantity': 1.232494}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.597268}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 10.400195}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.600784}, {'Ticker': 'ASTRAL.NS', 'Quantity': 5.561475}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.548077}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}, {'Ticker': 'BALMLAWRIE.NS', 'Quantity': 1.686198}, {'Ticker': 'ASIANPAINT.NS', 'Quantity': 0.201873}]"
Apr 2015,2015-04-01,1000.0,11754.65,2000.0,13754.65,"[{'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'KKCL.NS', 'Quantity': 3.213924}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 3.290703}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 2.239894}, {'Ticker': 'KSCL.NS', 'Quantity': 1.232494}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.597268}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 11.627219}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.879608}, {'Ticker': 'ASTRAL.NS', 'Quantity': 5.561475}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.908619}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}, {'Ticker': 'BALMLAWRIE.NS', 'Quantity': 1.686198}, {'Ticker': 'ASIANPAINT.NS', 'Quantity': 0.201873}, {'Ticker': 'ZYDUSWELL.NS', 'Quantity': 0.816113}, {'Ticker': 'VINATIORGA.NS', 'Quantity': 0.601739}]"
