Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,WIPRO.NS,166.67,16.67
Aug 2014,BALKRISIND.NS,340.44,17.21
Sep 2014,KSCL.NS,573.26,18.87
Oct 2014,KKCL.NS,694.79,16.4
Nov 2014,AJANTPHARM.NS,929.45,17.39
Dec 2014,AJANTPHARM.NS,1340.54,20.52
Jan 2015,AJANTPHARM.NS,1478.47,19.7
Feb 2015,AJANTPHARM.NS,1758.9,20.31
Mar 2015,AJANTPHARM.NS,2031.79,19.53
Apr 2015,AJANTPHARM.NS,2118.16,18.02
May 2015,AJANTPHARM.NS,2297.2,17.76
Jun 2015,AJANTPHARM.NS,2806.95,19.68
Jul 2015,AJANTPHARM.NS,2340.35,16.89
Aug 2015,ZENSARTECH.NS,2877.24,19.15
Sep 2015,ZENSARTECH.NS,2332.23,16.04
Oct 2015,ZENSARTECH.NS,2373.43,16.43
Nov 2015,ZENSARTECH.NS,2833.61,18.92
Dec 2015,ZENSARTECH.NS,3106.63,21.03
Jan 2016,ZENSARTECH.NS,3107.82,20.21
Feb 2016,ZENSARTECH.NS,2566.4,17.93
Mar 2016,ZENSARTECH.NS,2392.15,17.72
Apr 2016,ZENSARTECH.NS,2561.51,17.71
May 2016,ZENSARTECH.NS,2610.27,17.68
Jun 2016,BAJFINANCE.NS,3013.87,20.39
Jul 2016,BAJFINANCE.NS,3160.03,20.72
Aug 2016,BAJFINANCE.NS,4343.62,25.27
Sep 2016,BAJFINANCE.NS,3911.23,21.93
Oct 2016,BAJFINANCE.NS,3580.96,19.9
Nov 2016,BAJFINANCE.NS,3495.62,19.2
Dec 2016,BAJFINANCE.NS,2410.19,14.11
Jan 2017,VAKRANGEE.NS,2232.41,13.34
Feb 2017,VGUARD.NS,2673.85,14.36
Mar 2017,VGUARD.NS,3480.87,17.67
Apr 2017,VGUARD.NS,3858.53,18.74
May 2017,VGUARD.NS,4204.08,19.03
Jun 2017,VGUARD.NS,3848.79,16.39
Jul 2017,VGUARD.NS,3728.51,15.47
Aug 2017,VGUARD.NS,3864.23,15.25
Sep 2017,AVANTIFEED.NS,4690.51,17.75
Oct 2017,AVANTIFEED.NS,6098.15,22.2
Nov 2017,AVANTIFEED.NS,7548.66,24.42
Dec 2017,AVANTIFEED.NS,7945.92,25.14
Jan 2018,AVANTIFEED.NS,7828.43,23.51
Feb 2018,AVANTIFEED.NS,6646.2,21.37
Mar 2018,AVANTIFEED.NS,5839.56,19.45
Apr 2018,AVANTIFEED.NS,5730.53,19.36
May 2018,BALKRISIND.NS,6166.33,20.5
Jun 2018,BALKRISIND.NS,5427.47,19.83
Jul 2018,BALKRISIND.NS,5190.34,19.49
Aug 2018,BALKRISIND.NS,5667.39,20.01
Sep 2018,BALKRISIND.NS,5604.56,18.97
Oct 2018,BALKRISIND.NS,4807.61,18.14
Nov 2018,BALKRISIND.NS,4480.73,16.78
Dec 2018,TECHM.NS,3594.11,13.72
Jan 2019,TECHM.NS,3626.39,13.69
Feb 2019,TECHM.NS,3765.07,14.19
Mar 2019,TECHM.NS,4194.73,15.64
Apr 2019,BAJFINANCE.NS,4576.76,16.25
May 2019,BAJFINANCE.NS,4991.49,17.34
Jun 2019,BAJFINANCE.NS,5312.44,18.23
Jul 2019,BAJFINANCE.NS,5596.82,19.53
Aug 2019,TCS.NS,4752.26,17.97
Sep 2019,TCS.NS,4797.77,17.66
Oct 2019,BAJFINANCE.NS,5529.8,19.87
Nov 2019,BAJFINANCE.NS,6035.4,21.19
Dec 2019,BAJFINANCE.NS,5858.33,21.21
Jan 2020,BAJFINANCE.NS,5792.94,20.19
Feb 2020,BAJFINANCE.NS,5765.86,19.09
Mar 2020,BAJFINANCE.NS,5443.08,19.22
Apr 2020,IGL.NS,4273.61,20.26
May 2020,IGL.NS,5139.71,21.18
Jun 2020,IGL.NS,5149.01,20.25
Jul 2020,IGL.NS,4162.13,15.67
Aug 2020,IGL.NS,3702.23,13.02
Sep 2020,IGL.NS,3711.64,12.77
Oct 2020,AVANTIFEED.NS,3307.98,11.07
Nov 2020,AVANTIFEED.NS,3129.16,10.6
Dec 2020,AVANTIFEED.NS,3552.05,10.86
Jan 2021,TATAELXSI.NS,4466.39,12.82
Feb 2021,TATAELXSI.NS,7053.16,19.05
Mar 2021,TATAELXSI.NS,6269.73,17.23
Apr 2021,TATAELXSI.NS,6628.03,17.62
May 2021,TATAELXSI.NS,8453.49,20.35
Jun 2021,TATAELXSI.NS,8630.31,19.38
Jul 2021,TATAELXSI.NS,10147.08,20.75
Aug 2021,TATAELXSI.NS,10096.99,20.47
Sep 2021,TATAELXSI.NS,8328.4,16.46
Oct 2021,KPRMILL.NS,5022.65,9.3
Nov 2021,ASAL.NS,5668.47,10.18
Dec 2021,ASAL.NS,14115.12,22.22
Jan 2022,ASAL.NS,45185.78,45.29
Feb 2022,ASAL.NS,29537.25,36.23
Mar 2022,ASAL.NS,15149.66,23.04
Apr 2022,ASAL.NS,35458.46,39.45
May 2022,ASAL.NS,30248.06,36.06
Jun 2022,ASAL.NS,24402.87,32.9
