Month,Date,Investment,Portfolio_Value,Bank,Equity,Holdings
Jul 2014,2014-07-01,1000.0,1000.0,11000.0,12000.0,"[{'Ticker': 'ENGINERSIN.NS', 'Quantity': 0.520427}, {'Ticker': 'BPCL.NS', 'Quantity': 0.848033}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 0.229859}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.284839}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.311818}, {'Ticker': 'ATUL.NS', 'Quantity': 0.093659}, {'Ticker': 'NAUKRI.NS', 'Quantity': 0.617925}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.190514}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.234017}, {'Ticker': 'ARVIND.NS', 'Quantity': 0.96018}, {'Ticker': 'KKCL.NS', 'Quantity': 0.247229}, {'Ticker': 'WIPRO.NS', 'Quantity': 0.825798}]"
Aug 2014,2014-08-01,1000.0,2044.56,10000.0,12044.56,"[{'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.119947}, {'Ticker': 'BPCL.NS', 'Quantity': 1.714058}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 0.450316}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.543037}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.578357}, {'Ticker': 'ATUL.NS', 'Quantity': 0.165098}, {'Ticker': 'NAUKRI.NS', 'Quantity': 1.215982}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.377131}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.234017}, {'Ticker': 'ARVIND.NS', 'Quantity': 1.975215}, {'Ticker': 'KKCL.NS', 'Quantity': 0.490077}, {'Ticker': 'WIPRO.NS', 'Quantity': 0.825798}, {'Ticker': 'AARTIIND.NS', 'Quantity': 1.582939}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 1.010959}]"
Sep 2014,2014-09-01,1000.0,3220.49,9000.0,12220.49,"[{'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.119947}, {'Ticker': 'BPCL.NS', 'Quantity': 2.423429}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 0.681492}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.543037}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.826225}, {'Ticker': 'ATUL.NS', 'Quantity': 0.226296}, {'Ticker': 'NAUKRI.NS', 'Quantity': 1.779464}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.569155}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.434832}, {'Ticker': 'ARVIND.NS', 'Quantity': 2.746774}, {'Ticker': 'KKCL.NS', 'Quantity': 0.722184}, {'Ticker': 'WIPRO.NS', 'Quantity': 0.825798}, {'Ticker': 'AARTIIND.NS', 'Quantity': 2.811907}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 1.928929}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 0.811007}]"
Oct 2014,2014-10-01,1000.0,4381.84,8000.0,12381.84,"[{'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.119947}, {'Ticker': 'BPCL.NS', 'Quantity': 2.423429}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 0.896783}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.543037}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.826225}, {'Ticker': 'ATUL.NS', 'Quantity': 0.28661}, {'Ticker': 'NAUKRI.NS', 'Quantity': 2.262584}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.749593}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.623262}, {'Ticker': 'ARVIND.NS', 'Quantity': 3.511275}, {'Ticker': 'KKCL.NS', 'Quantity': 0.950094}, {'Ticker': 'WIPRO.NS', 'Quantity': 0.825798}, {'Ticker': 'AARTIIND.NS', 'Quantity': 4.034523}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 2.603474}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 0.811007}, {'Ticker': 'ASTRAL.NS', 'Quantity': 0.464822}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 0.293462}, {'Ticker': 'IGL.NS', 'Quantity': 1.997683}]"
Nov 2014,2014-11-03,1000.0,5418.22,7000.0,12418.22,"[{'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.119947}, {'Ticker': 'BPCL.NS', 'Quantity': 3.113989}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.107759}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.543037}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.826225}, {'Ticker': 'ATUL.NS', 'Quantity': 0.349312}, {'Ticker': 'NAUKRI.NS', 'Quantity': 2.262584}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.913377}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.805991}, {'Ticker': 'ARVIND.NS', 'Quantity': 4.261291}, {'Ticker': 'KKCL.NS', 'Quantity': 0.950094}, {'Ticker': 'WIPRO.NS', 'Quantity': 0.825798}, {'Ticker': 'AARTIIND.NS', 'Quantity': 5.135289}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.285417}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 1.523837}, {'Ticker': 'ASTRAL.NS', 'Quantity': 0.986397}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 0.561128}, {'Ticker': 'IGL.NS', 'Quantity': 1.997683}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 0.944741}]"
Dec 2014,2014-12-01,1000.0,6579.64,6000.0,12579.64,"[{'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.119947}, {'Ticker': 'BPCL.NS', 'Quantity': 3.785716}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.382807}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.543037}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.826225}, {'Ticker': 'ATUL.NS', 'Quantity': 0.414911}, {'Ticker': 'NAUKRI.NS', 'Quantity': 2.262584}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.043059}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.955743}, {'Ticker': 'ARVIND.NS', 'Quantity': 4.261291}, {'Ticker': 'KKCL.NS', 'Quantity': 0.950094}, {'Ticker': 'WIPRO.NS', 'Quantity': 0.825798}, {'Ticker': 'AARTIIND.NS', 'Quantity': 6.366684}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.984229}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 1.523837}, {'Ticker': 'ASTRAL.NS', 'Quantity': 1.403011}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 0.774039}, {'Ticker': 'IGL.NS', 'Quantity': 3.895936}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 1.866634}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 2.699361}]"
Jan 2015,2015-01-01,1000.0,7545.83,5000.0,12545.83,"[{'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.119947}, {'Ticker': 'BPCL.NS', 'Quantity': 3.785716}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.658079}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.543037}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.826225}, {'Ticker': 'ATUL.NS', 'Quantity': 0.475536}, {'Ticker': 'NAUKRI.NS', 'Quantity': 2.262584}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.175581}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.10124}, {'Ticker': 'ARVIND.NS', 'Quantity': 4.261291}, {'Ticker': 'KKCL.NS', 'Quantity': 0.950094}, {'Ticker': 'WIPRO.NS', 'Quantity': 0.825798}, {'Ticker': 'AARTIIND.NS', 'Quantity': 7.699799}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.984229}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 1.523837}, {'Ticker': 'ASTRAL.NS', 'Quantity': 1.878882}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 0.954193}, {'Ticker': 'IGL.NS', 'Quantity': 5.74184}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 2.777056}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 2.699361}, {'Ticker': 'GSPL.NS', 'Quantity': 0.733568}, {'Ticker': 'KSCL.NS', 'Quantity': 0.106735}, {'Ticker': 'LICHSGFIN.NS', 'Quantity': 0.190215}]"
Feb 2015,2015-02-02,1000.0,8941.49,4000.0,12941.49,"[{'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.119947}, {'Ticker': 'BPCL.NS', 'Quantity': 3.785716}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.658079}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.543037}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.826225}, {'Ticker': 'ATUL.NS', 'Quantity': 0.538403}, {'Ticker': 'NAUKRI.NS', 'Quantity': 2.262584}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.298634}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.248135}, {'Ticker': 'ARVIND.NS', 'Quantity': 4.261291}, {'Ticker': 'KKCL.NS', 'Quantity': 0.950094}, {'Ticker': 'WIPRO.NS', 'Quantity': 0.825798}, {'Ticker': 'AARTIIND.NS', 'Quantity': 8.85488}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.984229}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 2.151781}, {'Ticker': 'ASTRAL.NS', 'Quantity': 1.878882}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.122724}, {'Ticker': 'IGL.NS', 'Quantity': 7.537624}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 3.442977}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 4.702518}, {'Ticker': 'GSPL.NS', 'Quantity': 1.442788}, {'Ticker': 'KSCL.NS', 'Quantity': 0.106735}, {'Ticker': 'LICHSGFIN.NS', 'Quantity': 0.363863}, {'Ticker': 'WHEELS.NS', 'Quantity': 0.145592}]"
Mar 2015,2015-03-02,1000.0,10271.86,3000.0,13271.86,"[{'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.119947}, {'Ticker': 'BPCL.NS', 'Quantity': 3.785716}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.658079}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.543037}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.029205}, {'Ticker': 'ATUL.NS', 'Quantity': 0.602965}, {'Ticker': 'NAUKRI.NS', 'Quantity': 2.262584}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.40516}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.405568}, {'Ticker': 'ARVIND.NS', 'Quantity': 4.261291}, {'Ticker': 'KKCL.NS', 'Quantity': 0.950094}, {'Ticker': 'WIPRO.NS', 'Quantity': 0.825798}, {'Ticker': 'AARTIIND.NS', 'Quantity': 10.038669}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.984229}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 2.777899}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.300236}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.291975}, {'Ticker': 'IGL.NS', 'Quantity': 9.412389}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 4.110017}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 6.608871}, {'Ticker': 'GSPL.NS', 'Quantity': 1.442788}, {'Ticker': 'KSCL.NS', 'Quantity': 0.106735}, {'Ticker': 'LICHSGFIN.NS', 'Quantity': 0.363863}, {'Ticker': 'WHEELS.NS', 'Quantity': 0.258633}]"
Apr 2015,2015-04-01,1000.0,11366.62,2000.0,13366.62,"[{'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.119947}, {'Ticker': 'BPCL.NS', 'Quantity': 3.785716}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.658079}, {'Ticker': 'ECLERX.NS', 'Quantity': 0.543037}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.241708}, {'Ticker': 'ATUL.NS', 'Quantity': 0.675237}, {'Ticker': 'NAUKRI.NS', 'Quantity': 2.262584}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.507343}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.544979}, {'Ticker': 'ARVIND.NS', 'Quantity': 4.261291}, {'Ticker': 'KKCL.NS', 'Quantity': 0.950094}, {'Ticker': 'WIPRO.NS', 'Quantity': 0.825798}, {'Ticker': 'AARTIIND.NS', 'Quantity': 11.041868}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.984229}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 2.777899}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.300236}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.472246}, {'Ticker': 'IGL.NS', 'Quantity': 9.412389}, {'Ticker': 'CANFINHOME.NS', 'Quantity': 4.756312}, {'Ticker': 'BAJFINANCE.NS', 'Quantity': 8.621729}, {'Ticker': 'GSPL.NS', 'Quantity': 1.442788}, {'Ticker': 'KSCL.NS', 'Quantity': 0.106735}, {'Ticker': 'LICHSGFIN.NS', 'Quantity': 0.363863}, {'Ticker': 'WHEELS.NS', 'Quantity': 0.390182}, {'Ticker': 'LAOPALA.NS', 'Quantity': 0.424412}, {'Ticker': 'ZYDUSWELL.NS', 'Quantity': 0.408057}, {'Ticker': 'INFY.NS', 'Quantity': 0.153331}]"
