Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,BAJFINANCE.NS,166.67,16.67
Aug 2014,BAJFINANCE.NS,382.31,18.54
Sep 2014,BAJFINANCE.NS,623.85,18.39
Oct 2014,BAJFINANCE.NS,909.07,19.86
Nov 2014,BAJFINANCE.NS,1115.51,19.75
Dec 2014,BAJFINANCE.NS,1434.45,20.54
Jan 2015,BAJFINANCE.NS,1792.81,22.65
Feb 2015,BAJFINANCE.NS,2297.79,23.71
Mar 2015,BAJFINANCE.NS,2581.14,23.05
Apr 2015,BAJFINANCE.NS,2611.23,21.27
May 2015,BAJFINANCE.NS,2811.07,21.08
Jun 2015,BAJFINANCE.NS,3103.28,21.52
Jul 2015,BAJFINANCE.NS,3817.94,24.57
Aug 2015,BAJFINANCE.NS,3725.17,22.73
Sep 2015,BAJFINANCE.NS,3093.31,19.91
Oct 2015,BAJFINANCE.NS,3048.02,17.7
Nov 2015,BAJFINANCE.NS,3117.04,17.84
Dec 2015,BAJFINANCE.NS,3065.3,16.91
Jan 2016,BAJFINANCE.NS,3324.23,17.4
Feb 2016,BAJFINANCE.NS,3273.68,17.98
Mar 2016,BAJFINANCE.NS,2900.38,16.51
Apr 2016,BAJFINANCE.NS,2935.86,15.12
May 2016,BAJFINANCE.NS,3011.1,14.64
Jun 2016,BAJFINANCE.NS,3172.67,14.99
Jul 2016,BAJFINANCE.NS,3223.81,14.55
Aug 2016,BAJFINANCE.NS,4431.3,18.06
Sep 2016,CANFINHOME.NS,4136.51,16.04
Oct 2016,CANFINHOME.NS,5005.14,17.88
Nov 2016,CANFINHOME.NS,5540.24,19.21
Dec 2016,CANFINHOME.NS,4901.3,18.41
Jan 2017,CANFINHOME.NS,4729.98,18.16
Feb 2017,CANFINHOME.NS,5445.56,19.04
Mar 2017,CANFINHOME.NS,5526.51,18.82
Apr 2017,CANFINHOME.NS,6362.36,19.82
May 2017,CANFINHOME.NS,7763.73,21.9
Jun 2017,CANFINHOME.NS,7229.63,18.9
Jul 2017,CANFINHOME.NS,7433.39,18.68
Aug 2017,AVANTIFEED.NS,7741.64,18.69
Sep 2017,AVANTIFEED.NS,5181.08,12.44
Oct 2017,AVANTIFEED.NS,6281.99,14.86
Nov 2017,AVANTIFEED.NS,7776.23,17.55
Dec 2017,AVANTIFEED.NS,8267.77,19.32
Jan 2018,AVANTIFEED.NS,8145.52,18.33
Feb 2018,AVANTIFEED.NS,5724.91,13.19
Mar 2018,BAJFINANCE.NS,5870.23,13.73
Apr 2018,BAJFINANCE.NS,6433.6,15.39
May 2018,BAJFINANCE.NS,7195.74,16.42
Jun 2018,BAJFINANCE.NS,7348.28,17.99
Jul 2018,BAJFINANCE.NS,8134.07,20.74
Aug 2018,BAJFINANCE.NS,9169.37,21.72
Sep 2018,BAJFINANCE.NS,8239.16,19.15
Oct 2018,BAJFINANCE.NS,6679.83,17.87
Nov 2018,BAJFINANCE.NS,6628.27,17.43
Dec 2018,BAJFINANCE.NS,6428.53,16.22
Jan 2019,BAJFINANCE.NS,6808.3,17.26
Feb 2019,AARTIIND.NS,7928.89,19.96
Mar 2019,AARTIIND.NS,6784.8,17.2
Apr 2019,AARTIIND.NS,7562.37,17.64
May 2019,AARTIIND.NS,7681.15,18.01
Jun 2019,AARTIIND.NS,7708.96,16.28
Jul 2019,AARTIIND.NS,7373.13,15.76
Aug 2019,AARTIIND.NS,6015.9,14.64
Sep 2019,SRF.NS,4180.21,10.21
Oct 2019,BAJFINANCE.NS,5019.84,11.32
Nov 2019,BAJFINANCE.NS,5555.97,11.76
Dec 2019,BAJFINANCE.NS,5392.97,11.69
Jan 2020,BAJFINANCE.NS,5393.31,11.08
Feb 2020,BAJFINANCE.NS,6555.18,12.65
Mar 2020,BAJFINANCE.NS,7774.63,15.7
Apr 2020,BAJFINANCE.NS,3956.8,12.01
May 2020,BAJFINANCE.NS,3896.89,10.47
Jun 2020,BAJFINANCE.NS,4049.04,10.5
Jul 2020,BAJFINANCE.NS,5535.07,12.97
Aug 2020,BAJFINANCE.NS,5797.75,12.72
Sep 2020,BAJFINANCE.NS,6654.94,13.3
Oct 2020,AARTIIND.NS,6813.04,13.2
Nov 2020,AARTIIND.NS,6779.48,13.58
Dec 2020,AARTIIND.NS,7765.86,13.2
Jan 2021,AARTIIND.NS,8194.58,13.06
Feb 2021,GARFIBRES.NS,7852.36,12.2
Mar 2021,GARFIBRES.NS,8556.76,12.21
Apr 2021,ALKYLAMINE.NS,10440.9,14.38
May 2021,ALKYLAMINE.NS,15292.62,18.0
Jun 2021,ALKYLAMINE.NS,17204.47,19.34
Jul 2021,ALKYLAMINE.NS,16240.19,16.73
Aug 2021,ALKYLAMINE.NS,19355.36,18.41
Sep 2021,ALKYLAMINE.NS,16413.7,15.91
Oct 2021,ALKYLAMINE.NS,14120.64,13.36
Nov 2021,ALKYLAMINE.NS,13047.63,12.58
Dec 2021,POLYPLEX.NS,11427.93,11.29
Jan 2022,ALKYLAMINE.NS,15904.62,14.86
Feb 2022,ALKYLAMINE.NS,14195.21,13.35
Mar 2022,BAJFINANCE.NS,15391.21,15.6
Apr 2022,BAJFINANCE.NS,14126.68,12.84
May 2022,ALKYLAMINE.NS,12952.48,11.68
Jun 2022,BAJFINANCE.NS,11460.9,11.23
Jul 2022,POLYPLEX.NS,11763.98,12.76
Aug 2022,POLYPLEX.NS,13162.82,12.54
Sep 2022,BAJFINANCE.NS,11056.08,10.48
Oct 2022,POLYPLEX.NS,13038.98,13.1
Nov 2022,POLYPLEX.NS,11553.25,11.5
Dec 2022,POLYPLEX.NS,12145.5,12.25
Jan 2023,POLYPLEX.NS,10889.02,11.18
Feb 2023,JWL.NS,11258.72,11.7
Mar 2023,JWL.NS,9386.28,10.21
Apr 2023,JWL.NS,9318.89,10.31
May 2023,JWL.NS,10498.19,10.6
Jun 2023,REFEX.NS,14056.65,12.84
Jul 2023,REFEX.NS,14462.04,12.71
Aug 2023,REFEX.NS,23671.33,18.68
Sep 2023,JWL.NS,19606.77,14.97
Oct 2023,REFEX.NS,17022.4,13.15
Nov 2023,REFEX.NS,14088.65,11.52
Dec 2023,REFEX.NS,15842.32,12.29
Jan 2024,REFEX.NS,18699.06,13.57
Feb 2024,KEI.NS,14693.17,10.28
Mar 2024,KEI.NS,14919.25,10.18
Apr 2024,KEI.NS,16282.48,10.82
May 2024,KEI.NS,16859.1,10.23
Jun 2024,BEL.NS,21189.24,11.68
Jul 2024,BEL.NS,20457.78,10.69
Aug 2024,BEL.NS,20690.52,10.67
Sep 2024,BEL.NS,19742.94,9.97
Oct 2024,BEL.NS,18881.8,9.17
Nov 2024,HAL.NS,20427.04,10.78
Dec 2024,HAL.NS,24886.98,12.42
Jan 2025,HAL.NS,23038.72,11.3
Feb 2025,HAL.NS,19573.93,10.83
Mar 2025,HAL.NS,17679.53,10.9
Apr 2025,HAL.NS,23430.14,12.78
May 2025,SARDAEN.NS,25570.46,14.25
Jun 2025,SARDAEN.NS,25059.4,12.75
Jul 2025,SARDAEN.NS,23631.72,11.59
Aug 2025,TI.NS,24686.77,12.12
Sep 2025,SARDAEN.NS,32496.32,15.64
Oct 2025,SARDAEN.NS,31760.41,15.29
Nov 2025,SARDAEN.NS,31495.14,14.71
Dec 2025,SARDAEN.NS,27798.91,13.49
Jan 2026,SARDAEN.NS,24948.69,12.3
Feb 2026,SARDAEN.NS,23842.58,12.53
