year,total_return,annualized_return,downside_volatility,sharpe,days
2014,5.91514,55.105701066915714,0.050654541427384646,2.5836045829651133,121
2015,1.3752000625077185,1.4171603582237946,0.16063965683324907,2.3560889882664124,247
2016,0.3349520142369746,0.34439160816938696,0.18381524174882743,1.6021561544132763,246
2017,0.712564111899618,0.7274891812815389,0.1047362257863554,3.5673982295199944,248
2018,-0.14321573603774373,-0.14643971346874385,0.13620880494104148,-0.6817562381176111,246
2019,0.1949605381473365,0.20195925537833825,0.10628653643581577,1.1117209865718798,244
2020,0.29244429046569254,0.29509947401396075,0.3598359478160024,0.9452811964767172,250
2021,0.8149788236233761,0.8370115093006916,0.14398574243270773,3.082528602399397,247
2022,0.003821696932548413,0.003899209850814822,0.19187395994242773,0.18464474257861993,247
2023,0.5919809210886113,0.6132716862708978,0.1308711658845225,2.9020132943826833,245
2024,0.5707702211834151,0.5822524130821356,0.23814000319136489,1.9318590186295372,248
2025,0.00453861170427583,0.004630698832893465,0.17891128167216896,0.19573166492659555,247
2026,-0.10093535261741837,-0.32980885177984365,0.16605709744716576,-1.8042008900921318,67
