Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1006.3,11000.0,12006.3
2014-07-03,1005.5,11000.0,12005.5
2014-07-04,1007.71,11000.0,12007.71
2014-07-07,1020.58,11000.0,12020.58
2014-07-08,1003.87,11000.0,12003.87
2014-07-09,988.17,11000.0,11988.17
2014-07-10,989.77,11000.0,11989.77
2014-07-11,986.74,11000.0,11986.74
2014-07-14,980.47,11000.0,11980.47
2014-07-15,996.97,11000.0,11996.97
2014-07-16,1008.01,11000.0,12008.01
2014-07-17,1039.81,11000.0,12039.81
2014-07-18,1030.94,11000.0,12030.94
2014-07-21,1039.78,11000.0,12039.78
2014-07-22,1046.95,11000.0,12046.95
2014-07-23,1077.4,11000.0,12077.4
2014-07-24,1096.89,11000.0,12096.89
2014-07-25,1072.33,11000.0,12072.33
2014-07-28,1057.39,11000.0,12057.39
2014-07-30,1057.3,11000.0,12057.3
2014-07-31,1057.42,11000.0,12057.42
2014-08-01,2048.98,10000.0,12048.98
2014-08-04,2057.24,10000.0,12057.24
2014-08-05,2056.39,10000.0,12056.39
2014-08-06,2073.16,10000.0,12073.16
2014-08-07,2066.76,10000.0,12066.76
2014-08-08,2033.34,10000.0,12033.34
2014-08-11,2068.67,10000.0,12068.67
2014-08-12,2054.76,10000.0,12054.76
2014-08-13,2011.53,10000.0,12011.53
2014-08-14,2043.66,10000.0,12043.66
2014-08-18,2056.51,10000.0,12056.51
2014-08-19,2093.15,10000.0,12093.15
2014-08-20,2123.89,10000.0,12123.89
2014-08-21,2128.69,10000.0,12128.69
2014-08-22,2113.08,10000.0,12113.08
2014-08-25,2105.18,10000.0,12105.18
2014-08-26,2093.27,10000.0,12093.27
2014-08-27,2111.17,10000.0,12111.17
2014-08-28,2097.04,10000.0,12097.04
2014-09-01,3121.58,9000.0,12121.58
2014-09-02,3158.49,9000.0,12158.49
2014-09-03,3165.98,9000.0,12165.98
2014-09-04,3173.3,9000.0,12173.3
2014-09-05,3198.24,9000.0,12198.24
2014-09-08,3260.0,9000.0,12260.0
2014-09-09,3296.75,9000.0,12296.75
2014-09-10,3295.35,9000.0,12295.35
2014-09-11,3344.57,9000.0,12344.57
2014-09-12,3358.23,9000.0,12358.23
2014-09-15,3400.98,9000.0,12400.98
2014-09-16,3292.36,9000.0,12292.36
2014-09-17,3274.73,9000.0,12274.73
2014-09-18,3322.43,9000.0,12322.43
2014-09-19,3409.79,9000.0,12409.79
2014-09-22,3423.38,9000.0,12423.38
2014-09-23,3375.1,9000.0,12375.1
2014-09-24,3399.1,9000.0,12399.1
2014-09-25,3332.02,9000.0,12332.02
2014-09-26,3309.23,9000.0,12309.23
2014-09-29,3349.31,9000.0,12349.31
2014-09-30,3363.05,9000.0,12363.05
2014-10-01,4374.64,8000.0,12374.64
2014-10-07,4368.74,8000.0,12368.74
2014-10-08,4334.33,8000.0,12334.33
2014-10-09,4392.72,8000.0,12392.72
2014-10-10,4307.23,8000.0,12307.23
