Month,Date,Investment,Portfolio_Value,Bank,Equity,Holdings
Jul 2014,2014-07-01,1000.0,1000.0,11000.0,12000.0,"[{'Ticker': 'KKCL.NS', 'Quantity': 0.494457}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 0.459719}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.381028}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'NAUKRI.NS', 'Quantity': 1.23585}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}]"
Aug 2014,2014-08-01,1000.0,2048.98,10000.0,12048.98,"[{'Ticker': 'KKCL.NS', 'Quantity': 0.980153}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 0.900633}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.754262}, {'Ticker': 'ATUL.NS', 'Quantity': 0.330196}, {'Ticker': 'NAUKRI.NS', 'Quantity': 2.431965}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 2.021918}]"
Sep 2014,2014-09-01,1000.0,3121.58,9000.0,12121.58,"[{'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.362985}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.138311}, {'Ticker': 'ATUL.NS', 'Quantity': 0.452592}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 2.021918}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.401631}]"
Oct 2014,2014-10-01,1000.0,4374.64,8000.0,12374.64,"[{'Ticker': 'KKCL.NS', 'Quantity': 1.900189}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 1.793566}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.499186}, {'Ticker': 'ATUL.NS', 'Quantity': 0.452592}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.371008}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.401631}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 0.586923}, {'Ticker': 'ASTRAL.NS', 'Quantity': 0.929644}]"
Nov 2014,2014-11-03,1000.0,5388.68,7000.0,12388.68,"[{'Ticker': 'KKCL.NS', 'Quantity': 1.900189}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 2.215519}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.826754}, {'Ticker': 'ATUL.NS', 'Quantity': 0.577995}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 4.734893}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.401631}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.122255}, {'Ticker': 'ASTRAL.NS', 'Quantity': 1.972794}]"
Dec 2014,2014-12-01,1000.0,6696.52,6000.0,12696.52,"[{'Ticker': 'KKCL.NS', 'Quantity': 1.900189}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 2.765615}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.086117}, {'Ticker': 'ATUL.NS', 'Quantity': 0.577995}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 4.734893}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.701135}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.548077}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'LICHSGFIN.NS', 'Quantity': 0.394851}]"
Jan 2015,2015-01-01,1000.0,7755.27,5000.0,12755.27,"[{'Ticker': 'KKCL.NS', 'Quantity': 1.900189}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 3.316158}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.351161}, {'Ticker': 'ATUL.NS', 'Quantity': 0.577995}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 4.734893}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.992129}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.908385}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'LICHSGFIN.NS', 'Quantity': 0.394851}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}]"
Feb 2015,2015-02-02,1000.0,8892.05,4000.0,12892.05,"[{'Ticker': 'KKCL.NS', 'Quantity': 2.371265}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 3.841245}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.597268}, {'Ticker': 'ATUL.NS', 'Quantity': 0.577995}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 4.734893}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.285918}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 2.245449}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'LICHSGFIN.NS', 'Quantity': 0.394851}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 1.255887}]"
Mar 2015,2015-03-02,1000.0,10275.92,3000.0,13275.92,"[{'Ticker': 'KKCL.NS', 'Quantity': 2.371265}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 3.841245}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.81032}, {'Ticker': 'ATUL.NS', 'Quantity': 0.577995}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 5.890054}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.285918}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 2.58395}, {'Ticker': 'ASTRAL.NS', 'Quantity': 3.648731}, {'Ticker': 'LICHSGFIN.NS', 'Quantity': 0.394851}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 2.508123}, {'Ticker': 'GSPL.NS', 'Quantity': 1.428776}]"
Apr 2015,2015-04-01,1000.0,11470.2,2000.0,13470.2,"[{'Ticker': 'KKCL.NS', 'Quantity': 2.763911}, {'Ticker': 'BALKRISIND.NS', 'Quantity': 3.841245}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.81032}, {'Ticker': 'ATUL.NS', 'Quantity': 0.722539}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'ENGINERSIN.NS', 'Quantity': 1.040853}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 7.117078}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.564741}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 2.944492}, {'Ticker': 'ASTRAL.NS', 'Quantity': 3.648731}, {'Ticker': 'LICHSGFIN.NS', 'Quantity': 0.394851}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 3.809541}, {'Ticker': 'GSPL.NS', 'Quantity': 1.428776}]"
