Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1008.48,11000.0,12008.48
2014-07-03,1010.44,11000.0,12010.44
2014-07-04,1012.04,11000.0,12012.04
2014-07-07,1019.84,11000.0,12019.84
2014-07-08,998.66,11000.0,11998.66
2014-07-09,988.74,11000.0,11988.74
2014-07-10,989.17,11000.0,11989.17
2014-07-11,980.32,11000.0,11980.32
2014-07-14,974.05,11000.0,11974.05
2014-07-15,988.87,11000.0,11988.87
2014-07-16,998.39,11000.0,11998.39
2014-07-17,1020.91,11000.0,12020.91
2014-07-18,1015.82,11000.0,12015.82
2014-07-21,1019.57,11000.0,12019.57
2014-07-22,1028.6,11000.0,12028.6
2014-07-23,1055.91,11000.0,12055.91
2014-07-24,1067.19,11000.0,12067.19
2014-07-25,1048.43,11000.0,12048.43
2014-07-28,1039.05,11000.0,12039.05
2014-07-30,1051.2,11000.0,12051.2
2014-07-31,1053.36,11000.0,12053.36
2014-08-01,2044.56,10000.0,12044.56
2014-08-04,2067.05,10000.0,12067.05
2014-08-05,2081.23,10000.0,12081.23
2014-08-06,2075.94,10000.0,12075.94
2014-08-07,2070.29,10000.0,12070.29
2014-08-08,2032.11,10000.0,12032.11
2014-08-11,2060.57,10000.0,12060.57
2014-08-12,2062.77,10000.0,12062.77
2014-08-13,2028.39,10000.0,12028.39
2014-08-14,2054.39,10000.0,12054.39
2014-08-18,2085.49,10000.0,12085.49
2014-08-19,2118.72,10000.0,12118.72
2014-08-20,2147.78,10000.0,12147.78
2014-08-21,2165.93,10000.0,12165.93
2014-08-22,2154.11,10000.0,12154.11
2014-08-25,2160.34,10000.0,12160.34
2014-08-26,2160.26,10000.0,12160.26
2014-08-27,2188.15,10000.0,12188.15
2014-08-28,2193.23,10000.0,12193.23
2014-09-01,3220.49,9000.0,12220.49
2014-09-02,3246.96,9000.0,12246.96
2014-09-03,3267.43,9000.0,12267.43
2014-09-04,3292.1,9000.0,12292.1
2014-09-05,3301.33,9000.0,12301.33
2014-09-08,3333.1,9000.0,12333.1
2014-09-09,3355.5,9000.0,12355.5
2014-09-10,3344.03,9000.0,12344.03
2014-09-11,3371.52,9000.0,12371.52
2014-09-12,3411.71,9000.0,12411.71
2014-09-15,3443.84,9000.0,12443.84
2014-09-16,3324.1,9000.0,12324.1
2014-09-17,3319.94,9000.0,12319.94
2014-09-18,3377.11,9000.0,12377.11
2014-09-19,3415.69,9000.0,12415.69
2014-09-22,3428.15,9000.0,12428.15
2014-09-23,3369.36,9000.0,12369.36
2014-09-24,3355.99,9000.0,12355.99
2014-09-25,3301.63,9000.0,12301.63
2014-09-26,3303.66,9000.0,12303.66
2014-09-29,3341.96,9000.0,12341.96
2014-09-30,3359.25,9000.0,12359.25
2014-10-01,4373.72,8000.0,12373.72
2014-10-07,4369.34,8000.0,12369.34
2014-10-08,4348.89,8000.0,12348.89
2014-10-09,4394.93,8000.0,12394.93
2014-10-10,4320.07,8000.0,12320.07
2014-10-13,4340.53,8000.0,12340.53
2014-10-14,4311.66,8000.0,12311.66
2014-10-16,4211.74,8000.0,12211.74
2014-10-17,4177.18,8000.0,12177.18
2014-10-20,4208.08,8000.0,12208.08
2014-10-21,4249.93,8000.0,12249.93
2014-10-22,4300.34,8000.0,12300.34
2014-10-23,4300.34,8000.0,12300.34
2014-10-27,4283.72,8000.0,12283.72
2014-10-28,4242.23,8000.0,12242.23
2014-10-29,4283.04,8000.0,12283.04
2014-10-30,4330.52,8000.0,12330.52
2014-10-31,4350.99,8000.0,12350.99
2014-11-03,5410.76,7000.0,12410.76
2014-11-05,5425.41,7000.0,12425.41
2014-11-07,5480.86,7000.0,12480.86
2014-11-10,5465.06,7000.0,12465.06
2014-11-11,5499.1,7000.0,12499.1
2014-11-12,5542.41,7000.0,12542.41
2014-11-13,5511.39,7000.0,12511.39
2014-11-14,5442.0,7000.0,12442.0
2014-11-17,5452.94,7000.0,12452.94
2014-11-18,5473.17,7000.0,12473.17
2014-11-19,5522.75,7000.0,12522.75
2014-11-20,5501.34,7000.0,12501.34
2014-11-21,5518.35,7000.0,12518.35
2014-11-24,5488.31,7000.0,12488.31
2014-11-25,5431.33,7000.0,12431.33
2014-11-26,5435.98,7000.0,12435.98
2014-11-27,5473.84,7000.0,12473.84
2014-11-28,5518.95,7000.0,12518.95
2014-12-01,6540.33,6000.0,12540.33
2014-12-02,6544.79,6000.0,12544.79
2014-12-03,6579.08,6000.0,12579.08
2014-12-04,6640.62,6000.0,12640.62
2014-12-05,6599.94,6000.0,12599.94
2014-12-08,6506.41,6000.0,12506.41
2014-12-09,6421.25,6000.0,12421.25
2014-12-10,6440.4,6000.0,12440.4
2014-12-11,6425.75,6000.0,12425.75
2014-12-12,6422.11,6000.0,12422.11
2014-12-15,6396.55,6000.0,12396.55
2014-12-16,6255.08,6000.0,12255.08
2014-12-17,6144.02,6000.0,12144.02
2014-12-18,6270.2,6000.0,12270.2
2014-12-19,6300.81,6000.0,12300.81
2014-12-22,6348.83,6000.0,12348.83
2014-12-23,6364.23,6000.0,12364.23
2014-12-24,6347.86,6000.0,12347.86
2014-12-26,6406.75,6000.0,12406.75
2014-12-29,6428.61,6000.0,12428.61
2014-12-30,6453.85,6000.0,12453.85
2014-12-31,6489.55,6000.0,12489.55
2015-01-01,7508.81,5000.0,12508.81
2015-01-02,7601.91,5000.0,12601.91
2015-01-05,7597.83,5000.0,12597.83
2015-01-06,7395.28,5000.0,12395.28
2015-01-07,7406.84,5000.0,12406.84
2015-01-08,7519.91,5000.0,12519.91
2015-01-09,7616.02,5000.0,12616.02
2015-01-12,7608.91,5000.0,12608.91
2015-01-13,7662.91,5000.0,12662.91
2015-01-14,7670.81,5000.0,12670.81
2015-01-15,7721.98,5000.0,12721.98
2015-01-16,7724.58,5000.0,12724.58
2015-01-19,7735.16,5000.0,12735.16
2015-01-20,7825.58,5000.0,12825.58
2015-01-21,7844.0,5000.0,12844.0
2015-01-22,7881.23,5000.0,12881.23
2015-01-23,7813.5,5000.0,12813.5
2015-01-27,7838.32,5000.0,12838.32
2015-01-28,7961.87,5000.0,12961.87
2015-01-29,7962.61,5000.0,12962.61
2015-01-30,7906.32,5000.0,12906.32
2015-02-02,8932.2,4000.0,12932.2
2015-02-03,8964.66,4000.0,12964.66
2015-02-04,8911.93,4000.0,12911.93
2015-02-05,8926.88,4000.0,12926.88
2015-02-06,8832.14,4000.0,12832.14
2015-02-09,8781.54,4000.0,12781.54
2015-02-10,8842.97,4000.0,12842.97
2015-02-11,8942.92,4000.0,12942.92
2015-02-12,9048.82,4000.0,13048.82
2015-02-13,9146.21,4000.0,13146.21
2015-02-16,9123.58,4000.0,13123.58
2015-02-18,9186.4,4000.0,13186.4
2015-02-19,9112.18,4000.0,13112.18
2015-02-20,9108.21,4000.0,13108.21
2015-02-23,9056.31,4000.0,13056.31
2015-02-24,9075.49,4000.0,13075.49
2015-02-25,9119.73,4000.0,13119.73
2015-02-26,9016.71,4000.0,13016.71
2015-02-27,9119.23,4000.0,13119.23
