Month,Date,Investment_Amount,M_Universe_Size,Value_Filter_2_50%_Stocks,Momentum_Filter_2_50%_Stocks,Current_Portfolio_Stocks,Stocks_Selected,Optimization,Iteration_Count,Optimization_Time_Sec
Jul 2014,2014-07-01,1000.0,32,29,6,0,12,CrossEntropy_Portfolio_Sharpe,16,5.856
Aug 2014,2014-08-01,1000.0,34,28,5,12,12,CrossEntropy_Portfolio_Sharpe,20,7.502
Sep 2014,2014-09-01,1000.0,36,29,5,14,12,CrossEntropy_Portfolio_Sharpe,20,6.718
Oct 2014,2014-10-01,1000.0,39,31,5,15,12,CrossEntropy_Portfolio_Sharpe,20,6.891
Nov 2014,2014-11-03,1000.0,37,30,5,18,12,CrossEntropy_Portfolio_Sharpe,16,5.313
Dec 2014,2014-12-01,1000.0,39,30,5,19,12,CrossEntropy_Portfolio_Sharpe,12,4.453
Jan 2015,2015-01-01,1000.0,41,29,7,21,12,CrossEntropy_Portfolio_Sharpe,19,6.403
Feb 2015,2015-02-02,1000.0,40,29,7,24,12,CrossEntropy_Portfolio_Sharpe,16,5.655
Mar 2015,2015-03-02,1000.0,43,30,7,25,12,CrossEntropy_Portfolio_Sharpe,15,5.332
Apr 2015,2015-04-01,1000.0,42,27,8,25,12,CrossEntropy_Portfolio_Sharpe,20,9.484
May 2015,2015-05-04,1000.0,42,27,6,28,12,CrossEntropy_Portfolio_Sharpe,10,4.13
Jun 2015,2015-06-01,1000.0,41,26,6,26,12,CrossEntropy_Portfolio_Sharpe,20,7.625
Jul 2015,2015-07-01,1009.54,37,24,4,23,12,CrossEntropy_Portfolio_Sharpe,20,7.307
Aug 2015,2015-08-03,1028.82,38,25,6,26,12,CrossEntropy_Portfolio_Sharpe,12,4.465
Sep 2015,2015-09-01,1108.52,38,25,6,24,12,CrossEntropy_Portfolio_Sharpe,20,7.125
Oct 2015,2015-10-01,1079.78,39,27,6,24,12,CrossEntropy_Portfolio_Sharpe,19,6.985
Nov 2015,2015-11-02,1145.45,36,25,5,22,12,CrossEntropy_Portfolio_Sharpe,19,7.494
Dec 2015,2015-12-01,1177.02,38,27,6,22,12,CrossEntropy_Portfolio_Sharpe,13,4.89
Jan 2016,2016-01-01,1189.17,37,25,7,23,12,CrossEntropy_Portfolio_Sharpe,19,8.006
Feb 2016,2016-02-01,1248.92,34,24,4,20,12,CrossEntropy_Portfolio_Sharpe,19,7.077
Mar 2016,2016-03-01,1173.11,34,25,6,18,12,CrossEntropy_Portfolio_Sharpe,18,6.971
Apr 2016,2016-04-01,1110.76,35,24,6,17,12,CrossEntropy_Portfolio_Sharpe,20,7.203
May 2016,2016-05-02,1220.84,35,25,8,17,12,CrossEntropy_Portfolio_Sharpe,20,6.855
Jun 2016,2016-06-01,1256.22,39,25,10,16,12,CrossEntropy_Portfolio_Sharpe,20,7.588
Jul 2016,2016-07-01,1246.12,36,28,7,15,12,CrossEntropy_Portfolio_Sharpe,12,4.383
Aug 2016,2016-08-01,1295.1,40,29,7,19,12,CrossEntropy_Portfolio_Sharpe,18,6.418
Sep 2016,2016-09-01,1463.29,42,31,6,22,12,CrossEntropy_Portfolio_Sharpe,20,7.246
Oct 2016,2016-10-03,1538.55,40,29,6,23,12,CrossEntropy_Portfolio_Sharpe,20,7.671
Nov 2016,2016-11-01,1569.83,41,30,7,21,12,CrossEntropy_Portfolio_Sharpe,16,6.405
Dec 2016,2016-12-01,1623.91,44,31,9,20,12,CrossEntropy_Portfolio_Sharpe,14,4.963
Jan 2017,2017-01-02,1524.29,40,31,9,18,12,CrossEntropy_Portfolio_Sharpe,18,6.554
Feb 2017,2017-02-01,1503.41,43,30,10,21,12,CrossEntropy_Portfolio_Sharpe,20,7.222
Mar 2017,2017-03-01,1647.54,43,31,11,22,12,CrossEntropy_Portfolio_Sharpe,20,7.739
Apr 2017,2017-04-03,1728.86,40,31,9,21,12,CrossEntropy_Portfolio_Sharpe,20,7.38
May 2017,2017-05-02,1793.99,40,32,9,21,12,CrossEntropy_Portfolio_Sharpe,10,11.88
Jun 2017,2017-06-01,1898.14,43,31,11,20,12,CrossEntropy_Portfolio_Sharpe,20,21.191
Jul 2017,2017-07-03,2003.35,50,35,7,22,12,CrossEntropy_Portfolio_Sharpe,20,21.666
Aug 2017,2017-08-01,2060.82,45,34,6,19,12,CrossEntropy_Portfolio_Sharpe,15,15.83
Sep 2017,2017-09-01,2203.97,46,34,7,17,12,CrossEntropy_Portfolio_Sharpe,16,18.293
Oct 2017,2017-10-03,2254.98,45,35,6,19,12,CrossEntropy_Portfolio_Sharpe,20,21.63
Nov 2017,2017-11-01,2306.24,43,32,6,19,12,CrossEntropy_Portfolio_Sharpe,20,21.277
Dec 2017,2017-12-01,2445.4,46,34,10,21,12,CrossEntropy_Portfolio_Sharpe,20,21.361
Jan 2018,2018-01-01,2420.19,43,32,10,21,12,CrossEntropy_Portfolio_Sharpe,20,21.651
Feb 2018,2018-02-01,2530.57,42,34,5,21,12,CrossEntropy_Portfolio_Sharpe,11,12.42
Mar 2018,2018-03-01,2443.96,44,34,8,21,12,CrossEntropy_Portfolio_Sharpe,14,15.237
Apr 2018,2018-04-02,2391.52,43,33,11,19,12,CrossEntropy_Portfolio_Sharpe,20,21.697
May 2018,2018-05-02,2341.49,43,34,8,19,12,CrossEntropy_Portfolio_Sharpe,17,18.217
Jun 2018,2018-06-01,2403.0,42,34,8,20,12,CrossEntropy_Portfolio_Sharpe,20,21.487
Jul 2018,2018-07-02,2385.64,44,33,11,17,12,CrossEntropy_Portfolio_Sharpe,20,21.863
Aug 2018,2018-08-01,2370.68,41,32,7,18,12,CrossEntropy_Portfolio_Sharpe,20,21.496
Sep 2018,2018-09-03,2643.04,39,31,6,19,12,CrossEntropy_Portfolio_Sharpe,17,17.819
Oct 2018,2018-10-01,2660.53,41,34,7,18,12,CrossEntropy_Portfolio_Sharpe,20,22.608
Nov 2018,2018-11-01,2391.83,40,34,6,22,12,CrossEntropy_Portfolio_Sharpe,20,22.126
Dec 2018,2018-12-03,2386.34,42,34,8,21,12,CrossEntropy_Portfolio_Sharpe,20,9.992
Jan 2019,2019-01-01,2390.76,41,34,6,21,12,CrossEntropy_Portfolio_Sharpe,20,9.252
Feb 2019,2019-02-01,2462.59,43,34,7,21,12,CrossEntropy_Portfolio_Sharpe,20,10.562
Mar 2019,2019-03-01,2510.47,39,33,5,20,12,CrossEntropy_Portfolio_Sharpe,12,4.566
Apr 2019,2019-04-01,2482.66,44,33,8,21,12,CrossEntropy_Portfolio_Sharpe,20,8.689
May 2019,2019-05-02,2676.99,44,34,7,22,12,CrossEntropy_Portfolio_Sharpe,20,8.123
Jun 2019,2019-06-03,2715.42,48,34,10,23,12,CrossEntropy_Portfolio_Sharpe,14,6.462
Jul 2019,2019-07-01,2896.24,49,36,8,24,12,CrossEntropy_Portfolio_Sharpe,20,8.648
