Month,Date,Max_Liquidation_Target,Total_Holdings,Loss_Stocks_Count,Protected_Stocks_Count,Eligible_Stocks_Count,Filter1_Liquidated,Filter1_Reason,Filter2_Liquidated,Filter2_Reason,Filter3_Liquidated,Filter3_Reason,Final_Liquidated,Final_Reason,Profit_Margin_Liquidated,Profit_Margin_Reason,Total_Liquidated,Achievement_Percent
Jun 2015,2015-06-01,995.43,29,14,10,4,995.43,,0.0,,0.0,,0.0,,0.0,,995.43,100.0
Jul 2015,2015-07-01,1009.54,27,12,11,1,646.45,,0.0,,363.09,,0.0,,0.0,,1009.54,100.0
Aug 2015,2015-08-03,1028.82,26,3,3,0,0.0,,0.0,,0.0,,1028.82,,0.0,,1028.82,100.0
Sep 2015,2015-09-01,1108.52,27,10,7,3,828.49,,0.0,,0.0,,280.03,,0.0,,1108.52,100.0
Oct 2015,2015-10-01,1079.78,26,8,8,0,253.6,,0.0,,90.66,,735.52,,0.0,,1079.78,100.0
Nov 2015,2015-11-02,1145.45,24,6,6,0,147.92,,0.0,,0.0,,997.53,,0.0,,1145.45,100.0
Dec 2015,2015-12-01,1177.02,23,6,6,0,0.0,,0.0,,0.0,,1177.02,,0.0,,1177.02,100.0
Jan 2016,2016-01-01,1189.17,25,5,5,0,178.54,,0.0,,0.0,,1010.64,,0.0,,1189.17,100.0
Feb 2016,2016-02-01,1248.92,25,10,8,2,926.53,,0.0,,322.39,,0.0,,0.0,,1248.92,100.0
Mar 2016,2016-03-01,1173.11,20,8,7,1,321.83,,0.0,,273.59,,577.68,,0.0,,1173.11,100.0
Apr 2016,2016-04-01,1110.76,20,5,4,1,323.74,,0.0,,0.0,,787.02,,0.0,,1110.76,100.0
May 2016,2016-05-02,1220.84,19,6,6,0,0.0,,0.0,,0.0,,1220.84,,0.0,,1220.84,100.0
Jun 2016,2016-06-01,1256.22,18,5,3,2,718.67,,0.0,,0.0,,537.55,,0.0,,1256.22,100.0
Jul 2016,2016-07-01,1246.12,19,4,3,1,171.17,,0.0,,101.54,,973.41,,0.0,,1246.12,100.0
Aug 2016,2016-08-01,1295.1,20,2,2,0,0.0,,0.0,,0.0,,1295.1,,0.0,,1295.1,100.0
Sep 2016,2016-09-01,1463.29,22,1,1,0,0.0,,0.0,,0.0,,1463.29,,0.0,,1463.29,100.0
Oct 2016,2016-10-03,1538.55,23,1,1,0,0.0,,0.0,,0.0,,1538.55,,0.0,,1538.55,100.0
Nov 2016,2016-11-01,1569.83,24,4,3,1,449.13,,0.0,,0.0,,1120.7,,0.0,,1569.83,100.0
Dec 2016,2016-12-01,1623.91,23,9,6,3,1211.87,,0.0,,412.04,,0.0,,0.0,,1623.91,100.0
Jan 2017,2017-01-02,1524.29,25,12,9,3,500.67,,0.0,,188.58,,835.04,,0.0,,1524.29,100.0
Feb 2017,2017-02-01,1503.41,21,3,3,0,0.0,,0.0,,0.0,,1503.41,,0.0,,1503.41,100.0
Mar 2017,2017-03-01,1647.54,24,4,2,2,249.05,,0.0,,0.0,,1398.49,,0.0,,1647.54,100.0
Apr 2017,2017-04-03,1728.86,24,3,2,1,256.84,,0.0,,0.0,,1472.01,,0.0,,1728.86,100.0
May 2017,2017-05-02,1793.99,23,2,1,1,69.77,,0.0,,0.0,,1724.22,,0.0,,1793.99,100.0
Jun 2017,2017-06-01,1898.14,22,3,2,1,46.22,,0.0,,0.0,,1851.92,,0.0,,1898.14,100.0
Jul 2017,2017-07-03,2003.35,24,4,2,2,575.98,,0.0,,0.0,,1427.37,,0.0,,2003.35,100.0
Aug 2017,2017-08-01,2060.82,24,5,3,2,485.96,,0.0,,252.67,,1322.19,,0.0,,2060.82,100.0
Sep 2017,2017-09-01,2203.97,20,5,4,1,466.97,,0.0,,169.16,,1567.84,,0.0,,2203.97,100.0
Oct 2017,2017-10-03,2254.98,21,7,5,2,1394.58,,0.0,,0.0,,860.4,,0.0,,2254.98,100.0
Nov 2017,2017-11-01,2306.24,21,3,2,1,1167.16,,0.0,,0.0,,1139.08,,0.0,,2306.24,100.0
Dec 2017,2017-12-01,2445.4,23,9,8,1,1065.84,,0.0,,0.0,,1379.56,,0.0,,2445.4,100.0
Jan 2018,2018-01-01,2420.19,22,4,4,0,512.34,,0.0,,0.0,,1907.85,,0.0,,2420.19,100.0
Feb 2018,2018-02-01,2530.57,25,9,6,3,938.1,,0.0,,0.0,,1592.47,,0.0,,2530.57,100.0
Mar 2018,2018-03-01,2443.96,25,10,9,1,176.55,,0.0,,204.95,,2062.46,,0.0,,2443.96,100.0
Apr 2018,2018-04-02,2391.52,23,10,8,2,1385.17,,0.0,,346.65,,659.69,,0.0,,2391.52,100.0
May 2018,2018-05-02,2341.49,21,7,6,1,196.12,,0.0,,1157.56,,987.81,,0.0,,2341.49,100.0
Jun 2018,2018-06-01,2403.0,22,9,7,2,1831.68,,0.0,,0.0,,571.31,,0.0,,2403.0,100.0
Jul 2018,2018-07-02,2385.64,21,9,6,3,827.91,,0.0,,763.45,,794.28,,0.0,,2385.64,100.0
Aug 2018,2018-08-01,2370.68,20,5,5,0,0.0,,0.0,,0.0,,2370.68,,0.0,,2370.68,100.0
Sep 2018,2018-09-03,2643.04,21,6,5,1,188.43,,0.0,,0.0,,2454.6,,0.0,,2643.04,100.0
