Month,Holdings_Count,M_Universe_Size,Optimization_Type
Jul 2014,12,32,CrossEntropy_Portfolio_Sharpe
Aug 2014,14,34,CrossEntropy_Portfolio_Sharpe
Sep 2014,15,36,CrossEntropy_Portfolio_Sharpe
Oct 2014,18,39,CrossEntropy_Portfolio_Sharpe
Nov 2014,19,37,CrossEntropy_Portfolio_Sharpe
Dec 2014,21,39,CrossEntropy_Portfolio_Sharpe
Jan 2015,24,41,CrossEntropy_Portfolio_Sharpe
Feb 2015,25,40,CrossEntropy_Portfolio_Sharpe
Mar 2015,25,43,CrossEntropy_Portfolio_Sharpe
Apr 2015,28,42,CrossEntropy_Portfolio_Sharpe
May 2015,29,42,CrossEntropy_Portfolio_Sharpe
Jun 2015,27,41,CrossEntropy_Portfolio_Sharpe
Jul 2015,26,37,CrossEntropy_Portfolio_Sharpe
Aug 2015,27,38,CrossEntropy_Portfolio_Sharpe
Sep 2015,26,38,CrossEntropy_Portfolio_Sharpe
Oct 2015,24,39,CrossEntropy_Portfolio_Sharpe
Nov 2015,23,36,CrossEntropy_Portfolio_Sharpe
Dec 2015,25,38,CrossEntropy_Portfolio_Sharpe
Jan 2016,25,37,CrossEntropy_Portfolio_Sharpe
Feb 2016,20,34,CrossEntropy_Portfolio_Sharpe
Mar 2016,20,34,CrossEntropy_Portfolio_Sharpe
Apr 2016,19,35,CrossEntropy_Portfolio_Sharpe
May 2016,18,35,CrossEntropy_Portfolio_Sharpe
Jun 2016,19,39,CrossEntropy_Portfolio_Sharpe
Jul 2016,20,36,CrossEntropy_Portfolio_Sharpe
Aug 2016,22,40,CrossEntropy_Portfolio_Sharpe
Sep 2016,23,42,CrossEntropy_Portfolio_Sharpe
Oct 2016,24,40,CrossEntropy_Portfolio_Sharpe
Nov 2016,23,41,CrossEntropy_Portfolio_Sharpe
Dec 2016,25,44,CrossEntropy_Portfolio_Sharpe
Jan 2017,21,40,CrossEntropy_Portfolio_Sharpe
Feb 2017,24,43,CrossEntropy_Portfolio_Sharpe
Mar 2017,24,43,CrossEntropy_Portfolio_Sharpe
Apr 2017,23,40,CrossEntropy_Portfolio_Sharpe
May 2017,22,40,CrossEntropy_Portfolio_Sharpe
Jun 2017,24,43,CrossEntropy_Portfolio_Sharpe
Jul 2017,24,50,CrossEntropy_Portfolio_Sharpe
Aug 2017,20,45,CrossEntropy_Portfolio_Sharpe
Sep 2017,21,46,CrossEntropy_Portfolio_Sharpe
Oct 2017,21,45,CrossEntropy_Portfolio_Sharpe
Nov 2017,23,43,CrossEntropy_Portfolio_Sharpe
Dec 2017,22,46,CrossEntropy_Portfolio_Sharpe
Jan 2018,25,43,CrossEntropy_Portfolio_Sharpe
Feb 2018,25,42,CrossEntropy_Portfolio_Sharpe
Mar 2018,23,44,CrossEntropy_Portfolio_Sharpe
Apr 2018,21,43,CrossEntropy_Portfolio_Sharpe
May 2018,22,43,CrossEntropy_Portfolio_Sharpe
Jun 2018,21,42,CrossEntropy_Portfolio_Sharpe
Jul 2018,20,44,CrossEntropy_Portfolio_Sharpe
Aug 2018,21,41,CrossEntropy_Portfolio_Sharpe
Sep 2018,21,39,CrossEntropy_Portfolio_Sharpe
Oct 2018,22,41,CrossEntropy_Portfolio_Sharpe
Nov 2018,22,40,CrossEntropy_Portfolio_Sharpe
