Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,TORNTPHARM.NS,83.33,8.33
Aug 2014,ATUL.NS,192.59,9.42
Sep 2014,ATUL.NS,308.15,9.57
Oct 2014,ATUL.NS,396.0,9.05
Nov 2014,ARVIND.NS,473.47,8.75
Dec 2014,AJANTPHARM.NS,565.02,8.64
Jan 2015,ATUL.NS,653.65,8.71
Feb 2015,AJANTPHARM.NS,768.54,8.6
Mar 2015,AJANTPHARM.NS,971.1,9.46
Apr 2015,AJANTPHARM.NS,1095.72,9.68
May 2015,AJANTPHARM.NS,1271.67,10.22
Jun 2015,AJANTPHARM.NS,1637.19,12.97
Jul 2015,AJANTPHARM.NS,1683.85,13.09
Aug 2015,TORNTPHARM.NS,1477.0,10.66
Sep 2015,TORNTPHARM.NS,1506.17,11.16
Oct 2015,AARTIIND.NS,1861.51,13.0
Nov 2015,AARTIIND.NS,1805.71,12.27
Dec 2015,AARTIIND.NS,1861.23,12.52
Jan 2016,CANFINHOME.NS,2107.86,13.5
Feb 2016,CANFINHOME.NS,2127.79,14.51
Mar 2016,CANFINHOME.NS,2107.27,15.18
Apr 2016,CANFINHOME.NS,2602.2,17.05
May 2016,CANFINHOME.NS,2806.18,17.87
Jun 2016,CANFINHOME.NS,2859.25,18.36
Jul 2016,CANFINHOME.NS,2884.33,17.82
Aug 2016,BAJFINANCE.NS,3470.36,18.97
Sep 2016,BAJFINANCE.NS,3572.08,18.57
Oct 2016,BAJFINANCE.NS,3606.25,18.38
Nov 2016,BAJFINANCE.NS,3651.11,17.99
Dec 2016,AARTIIND.NS,3389.08,17.79
Jan 2017,IGL.NS,3108.94,16.54
Feb 2017,BAJFINANCE.NS,3669.53,17.82
Mar 2017,BAJFINANCE.NS,3702.91,17.13
Apr 2017,BAJFINANCE.NS,4067.41,18.14
May 2017,BAJFINANCE.NS,4366.33,18.4
Jun 2017,BAJFINANCE.NS,4568.54,18.24
Jul 2017,BAJFINANCE.NS,4774.36,18.53
Aug 2017,BAJFINANCE.NS,5907.07,21.44
Sep 2017,BAJFINANCE.NS,6195.16,21.98
Oct 2017,BAJFINANCE.NS,6428.69,22.3
Nov 2017,BAJFINANCE.NS,6218.56,20.34
Dec 2017,BAJFINANCE.NS,6094.85,20.15
Jan 2018,IGL.NS,6278.54,19.85
Feb 2018,BAJFINANCE.NS,6369.3,20.85
Mar 2018,BAJFINANCE.NS,6111.13,20.44
Apr 2018,BAJFINANCE.NS,6697.62,22.88
May 2018,BAJFINANCE.NS,7211.31,24.01
Jun 2018,BAJFINANCE.NS,8063.76,27.04
Jul 2018,BAJFINANCE.NS,9124.88,30.79
Aug 2018,BAJFINANCE.NS,9881.15,29.91
Sep 2018,BAJFINANCE.NS,9084.6,27.32
Oct 2018,BAJFINANCE.NS,6967.61,23.3
Nov 2018,BAJFINANCE.NS,5436.37,18.23
Dec 2018,BAJFINANCE.NS,5838.81,19.54
Jan 2019,BAJFINANCE.NS,6382.97,20.74
Feb 2019,BAJFINANCE.NS,6519.84,20.78
Mar 2019,BAJFINANCE.NS,6809.29,21.94
Apr 2019,BAJFINANCE.NS,7186.69,21.48
May 2019,IGL.NS,5919.68,17.44
Jun 2019,IGL.NS,6480.63,17.9
Jul 2019,BAJFINANCE.NS,6667.79,18.93
Aug 2019,BAJFINANCE.NS,6043.0,18.85
Sep 2019,BAJFINANCE.NS,6325.02,18.96
Oct 2019,BAJFINANCE.NS,7971.93,22.15
Nov 2019,BAJFINANCE.NS,8366.48,22.12
Dec 2019,BAJFINANCE.NS,8373.21,22.61
Jan 2020,BAJFINANCE.NS,9215.37,24.27
Feb 2020,BAJFINANCE.NS,9747.4,24.2
Mar 2020,BAJFINANCE.NS,10019.01,25.72
Apr 2020,BAJFINANCE.NS,5099.05,19.6
May 2020,AARTIIND.NS,5818.18,19.36
Jun 2020,BAJFINANCE.NS,4964.64,16.11
Jul 2020,BAJFINANCE.NS,6786.71,20.55
Aug 2020,BAJFINANCE.NS,7293.55,20.34
Sep 2020,BAJFINANCE.NS,8371.9,22.14
Oct 2020,BAJFINANCE.NS,7909.98,20.4
Nov 2020,BAJFINANCE.NS,7857.14,20.85
Dec 2020,BAJFINANCE.NS,10804.11,24.59
Jan 2021,BAJFINANCE.NS,11735.47,25.33
Feb 2021,BAJFINANCE.NS,9424.15,20.52
Mar 2021,BAJFINANCE.NS,9812.02,20.41
Apr 2021,BAJFINANCE.NS,8441.56,16.93
May 2021,BAJFINANCE.NS,8888.28,16.48
Jun 2021,ALKYLAMINE.NS,7461.13,13.2
Jul 2021,ALKYLAMINE.NS,8056.35,12.94
Aug 2021,PERSISTENT.NS,6832.83,10.35
Sep 2021,BAJFINANCE.NS,7854.41,11.83
Oct 2021,BAJFINANCE.NS,7857.7,11.53
Nov 2021,BAJFINANCE.NS,7744.06,11.27
Dec 2021,ASAL.NS,11505.0,15.41
Jan 2022,ASAL.NS,35792.07,33.84
Feb 2022,ASAL.NS,24101.94,26.77
Mar 2022,ASAL.NS,14981.26,19.89
Apr 2022,ASAL.NS,28601.13,28.78
May 2022,ASAL.NS,25060.79,26.58
Jun 2022,ASAL.NS,20649.47,24.48
Jul 2022,ASAL.NS,24520.77,30.24
Aug 2022,ASAL.NS,24601.38,27.82
Sep 2022,ASAL.NS,22255.32,25.97
Oct 2022,ASAL.NS,21900.17,26.72
Nov 2022,ASAL.NS,21270.35,25.67
Dec 2022,ASAL.NS,21140.33,25.51
Jan 2023,ASAL.NS,19902.13,24.79
Feb 2023,ASAL.NS,18195.93,23.52
Mar 2023,ASAL.NS,15861.26,21.49
Apr 2023,ASAL.NS,15760.78,21.8
May 2023,ASAL.NS,12004.46,14.99
Jun 2023,TI.NS,9313.14,11.09
Jul 2023,KPRMILL.NS,9752.4,10.47
Aug 2023,TI.NS,11647.84,11.4
Sep 2023,TI.NS,15158.65,13.55
Oct 2023,TI.NS,15132.15,13.41
Nov 2023,TI.NS,16589.7,14.54
Dec 2023,TI.NS,21725.12,17.49
Jan 2024,TI.NS,20116.29,15.5
Feb 2024,TI.NS,20091.21,14.35
Mar 2024,TI.NS,18092.96,12.83
Apr 2024,TI.NS,18105.5,13.26
May 2024,TI.NS,20128.83,13.56
Jun 2024,TI.NS,19710.79,13.4
Jul 2024,TI.NS,20622.12,12.9
Aug 2024,TI.NS,20780.98,12.69
Sep 2024,TI.NS,23644.58,13.55
Oct 2024,REFEX.NS,36605.48,18.45
Nov 2024,REFEX.NS,33632.68,18.45
Dec 2024,REFEX.NS,39400.38,20.37
Jan 2025,REFEX.NS,36202.45,18.83
Feb 2025,REFEX.NS,35166.89,20.37
Mar 2025,REFEX.NS,30702.29,21.95
Apr 2025,REFEX.NS,32564.48,21.44
May 2025,REFEX.NS,34505.31,21.98
Jun 2025,REFEX.NS,42892.96,24.26
Jul 2025,REFEX.NS,40028.83,22.87
Aug 2025,TI.NS,45036.8,25.05
Sep 2025,TI.NS,44042.88,24.78
Oct 2025,TI.NS,42644.4,23.65
Nov 2025,TI.NS,50866.75,27.53
Dec 2025,TI.NS,45568.23,25.79
Jan 2026,TI.NS,43893.75,25.67
Feb 2026,TI.NS,40419.31,25.9
Mar 2026,TI.NS,42415.26,26.97
Apr 2026,TI.NS,44650.86,29.82
