Month,Date,Investment_Amount,M_Universe_Size,Value_Filter_2_50%_Stocks,Momentum_Filter_2_50%_Stocks,Current_Portfolio_Stocks,Stocks_Selected,Optimization,Iteration_Count
Jul 2014,2014-07-01,1000.0,32,29,6,0,12,Greedy_Portfolio_Sharpe,0
Aug 2014,2014-08-01,1000.0,34,28,5,12,12,Greedy_Portfolio_Sharpe,0
Sep 2014,2014-09-01,1000.0,36,29,5,14,12,Greedy_Portfolio_Sharpe,0
Oct 2014,2014-10-01,1000.0,39,31,5,15,12,Greedy_Portfolio_Sharpe,0
Nov 2014,2014-11-03,1000.0,37,30,5,18,12,Greedy_Portfolio_Sharpe,0
Dec 2014,2014-12-01,1000.0,39,30,5,19,12,Greedy_Portfolio_Sharpe,0
Jan 2015,2015-01-01,1000.0,41,29,7,20,12,Greedy_Portfolio_Sharpe,0
Feb 2015,2015-02-02,1000.0,40,29,7,23,12,Greedy_Portfolio_Sharpe,0
Mar 2015,2015-03-02,1000.0,43,30,7,24,12,Greedy_Portfolio_Sharpe,0
Apr 2015,2015-04-01,1000.0,42,27,8,24,12,Greedy_Portfolio_Sharpe,0
May 2015,2015-05-04,1000.0,42,27,6,27,12,Greedy_Portfolio_Sharpe,0
Jun 2015,2015-06-01,1000.0,40,26,6,24,12,Greedy_Portfolio_Sharpe,0
Jul 2015,2015-07-01,1014.75,37,24,4,22,12,Greedy_Portfolio_Sharpe,0
Aug 2015,2015-08-03,1029.48,37,25,6,25,12,Greedy_Portfolio_Sharpe,0
Sep 2015,2015-09-01,1099.57,39,25,6,24,12,Greedy_Portfolio_Sharpe,0
Oct 2015,2015-10-01,1081.18,40,27,6,24,12,Greedy_Portfolio_Sharpe,0
Nov 2015,2015-11-02,1145.41,36,25,5,21,12,Greedy_Portfolio_Sharpe,0
Dec 2015,2015-12-01,1178.2,38,27,6,22,12,Greedy_Portfolio_Sharpe,0
Jan 2016,2016-01-01,1178.63,37,25,7,22,12,Greedy_Portfolio_Sharpe,0
Feb 2016,2016-02-01,1236.06,36,24,4,21,12,Greedy_Portfolio_Sharpe,0
Mar 2016,2016-03-01,1159.14,34,25,6,17,12,Greedy_Portfolio_Sharpe,0
Apr 2016,2016-04-01,1097.85,35,24,6,16,12,Greedy_Portfolio_Sharpe,0
May 2016,2016-05-02,1202.99,34,25,8,16,12,Greedy_Portfolio_Sharpe,0
Jun 2016,2016-06-01,1239.08,38,25,10,14,12,Greedy_Portfolio_Sharpe,0
Jul 2016,2016-07-01,1227.89,36,28,7,13,12,Greedy_Portfolio_Sharpe,0
Aug 2016,2016-08-01,1274.37,40,29,7,18,12,Greedy_Portfolio_Sharpe,0
Sep 2016,2016-09-01,1432.53,42,31,6,20,12,Greedy_Portfolio_Sharpe,0
Oct 2016,2016-10-03,1514.51,40,29,6,22,12,Greedy_Portfolio_Sharpe,0
