Month,Date,Max_Liquidation_Target,Total_Holdings,Loss_Stocks_Count,Protected_Stocks_Count,Eligible_Stocks_Count,Filter1_Liquidated,Filter1_Reason,Filter2_Liquidated,Filter2_Reason,Filter3_Liquidated,Filter3_Reason,Final_Liquidated,Final_Reason,Profit_Margin_Liquidated,Profit_Margin_Reason,Total_Liquidated,Achievement_Percent
Jun 2015,2015-06-01,1003.06,28,11,8,3,1003.06,,0.0,,0.0,,0.0,,0.0,,1003.06,100.0
Jul 2015,2015-07-01,1014.75,25,10,9,1,554.14,,0.0,,460.61,,0.0,,0.0,,1014.75,100.0
Aug 2015,2015-08-03,1029.48,26,4,3,1,568.14,,0.0,,0.0,,461.34,,0.0,,1029.48,100.0
Sep 2015,2015-09-01,1099.57,25,7,6,1,79.27,,0.0,,0.0,,1020.3,,0.0,,1099.57,100.0
Oct 2015,2015-10-01,1081.18,26,7,7,0,417.22,,0.0,,89.93,,574.03,,0.0,,1081.18,100.0
Nov 2015,2015-11-02,1145.41,24,5,5,0,147.92,,0.0,,0.0,,997.49,,0.0,,1145.41,100.0
Dec 2015,2015-12-01,1178.2,23,6,6,0,0.0,,0.0,,0.0,,1178.2,,0.0,,1178.2,100.0
Jan 2016,2016-01-01,1178.63,23,5,5,0,177.89,,0.0,,0.0,,1000.74,,0.0,,1178.63,100.0
Feb 2016,2016-02-01,1236.06,24,8,7,1,972.97,,0.0,,263.08,,0.0,,0.0,,1236.06,100.0
Mar 2016,2016-03-01,1159.14,21,9,8,1,404.74,,0.0,,553.82,,200.59,,0.0,,1159.14,100.0
Apr 2016,2016-04-01,1097.85,19,5,4,1,403.97,,0.0,,0.0,,693.88,,0.0,,1097.85,100.0
May 2016,2016-05-02,1202.99,18,4,4,0,0.0,,0.0,,0.0,,1202.99,,0.0,,1202.99,100.0
Jun 2016,2016-06-01,1239.08,16,5,3,2,710.15,,0.0,,0.0,,528.92,,0.0,,1239.08,100.0
Jul 2016,2016-07-01,1227.89,17,3,2,1,107.04,,0.0,,100.16,,1020.69,,0.0,,1227.89,100.0
Aug 2016,2016-08-01,1274.37,19,2,2,0,0.0,,0.0,,0.0,,1274.37,,0.0,,1274.37,100.0
Sep 2016,2016-09-01,1432.53,20,2,2,0,0.0,,0.0,,0.0,,1432.53,,0.0,,1432.53,100.0
Oct 2016,2016-10-03,1514.51,22,3,3,0,0.0,,0.0,,0.0,,1514.51,,0.0,,1514.51,100.0
Nov 2016,2016-11-01,1549.02,23,6,5,1,1033.81,,0.0,,0.0,,515.21,,0.0,,1549.02,100.0
Dec 2016,2016-12-01,1598.79,22,9,7,2,1075.32,,0.0,,483.61,,39.86,,0.0,,1598.79,100.0
Jan 2017,2017-01-02,1498.23,22,9,8,1,231.61,,0.0,,105.84,,1160.77,,0.0,,1498.23,100.0
Feb 2017,2017-02-01,1479.16,20,4,4,0,0.0,,0.0,,0.0,,1479.16,,0.0,,1479.16,100.0
Mar 2017,2017-03-01,1620.92,24,5,3,2,245.03,,0.0,,0.0,,1375.89,,0.0,,1620.92,100.0
Apr 2017,2017-04-03,1697.25,25,3,2,1,252.7,,0.0,,0.0,,1444.55,,0.0,,1697.25,100.0
May 2017,2017-05-02,1757.22,24,2,1,1,68.49,,0.0,,0.0,,1688.73,,0.0,,1757.22,100.0
Jun 2017,2017-06-01,1850.4,24,3,2,1,45.27,,0.0,,0.0,,1805.13,,0.0,,1850.4,100.0
Jul 2017,2017-07-03,1925.48,24,4,1,3,1200.65,,0.0,,0.0,,724.83,,0.0,,1925.48,100.0
Aug 2017,2017-08-01,2000.3,22,2,1,1,155.28,,0.0,,0.0,,1845.02,,0.0,,2000.3,100.0
Sep 2017,2017-09-01,2134.88,22,7,4,3,1626.97,,0.0,,278.33,,229.58,,0.0,,2134.88,100.0
Oct 2017,2017-10-03,2180.92,20,5,4,1,161.34,,0.0,,0.0,,2019.58,,0.0,,2180.92,100.0
Nov 2017,2017-11-01,2297.35,20,2,1,1,974.66,,0.0,,0.0,,1322.68,,0.0,,2297.35,100.0
Dec 2017,2017-12-01,2465.01,22,7,6,1,1041.63,,0.0,,0.0,,1423.38,,0.0,,2465.01,100.0
Jan 2018,2018-01-01,2442.5,22,2,2,0,502.12,,0.0,,0.0,,1940.38,,0.0,,2442.5,100.0
Feb 2018,2018-02-01,2566.2,23,6,4,2,964.01,,0.0,,0.0,,1602.2,,0.0,,2566.2,100.0
Mar 2018,2018-03-01,2483.46,25,10,9,1,523.68,,0.0,,416.56,,1543.22,,0.0,,2483.46,100.0
Apr 2018,2018-04-02,2423.97,22,10,8,2,1585.2,,0.0,,163.84,,674.93,,0.0,,2423.97,100.0
May 2018,2018-05-02,2383.29,19,5,5,0,0.0,,0.0,,814.55,,1568.74,,0.0,,2383.29,100.0
