Month,Date,Ticker,Quantity,Current_Price,Current_Amount
Jul 2014,2014-07-01,ATUL.NS,0.093659,889.75,83.33
Jul 2014,2014-07-01,TORNTPHARM.NS,0.234017,356.1,83.33
Jul 2014,2014-07-01,ARVIND.NS,0.96018,86.79,83.33
Jul 2014,2014-07-01,AJANTPHARM.NS,0.190514,437.41,83.33
Jul 2014,2014-07-01,ENGINERSIN.NS,0.520427,160.12,83.33
Jul 2014,2014-07-01,BPCL.NS,0.848033,98.27,83.33
Jul 2014,2014-07-01,WIPRO.NS,0.825798,100.91,83.33
Jul 2014,2014-07-01,BALKRISIND.NS,0.229859,362.54,83.33
Jul 2014,2014-07-01,ECLERX.NS,0.284839,292.56,83.33
Jul 2014,2014-07-01,KAJARIACER.NS,0.311818,267.25,83.33
Jul 2014,2014-07-01,NAUKRI.NS,0.617925,134.86,83.33
Jul 2014,2014-07-01,KKCL.NS,0.247229,337.07,83.33
Aug 2014,2014-08-01,ATUL.NS,0.165098,1166.5,192.59
Aug 2014,2014-08-01,TORNTPHARM.NS,0.234017,372.73,87.22
Aug 2014,2014-08-01,ARVIND.NS,1.975215,82.1,162.16
Aug 2014,2014-08-01,AJANTPHARM.NS,0.377131,446.55,168.41
Aug 2014,2014-08-01,ENGINERSIN.NS,1.119947,139.0,155.67
Aug 2014,2014-08-01,BPCL.NS,1.714058,96.22,164.94
Aug 2014,2014-08-01,WIPRO.NS,0.825798,100.5,82.99
Aug 2014,2014-08-01,BALKRISIND.NS,0.450316,378.0,170.22
Aug 2014,2014-08-01,ECLERX.NS,0.543037,322.75,175.27
Aug 2014,2014-08-01,KAJARIACER.NS,0.578357,312.65,180.82
Aug 2014,2014-08-01,NAUKRI.NS,1.215982,139.34,169.43
Aug 2014,2014-08-01,KKCL.NS,0.490077,343.15,168.17
Aug 2014,2014-08-01,AARTIIND.NS,1.582939,52.64,83.33
Aug 2014,2014-08-01,ZENSARTECH.NS,1.010959,82.43,83.33
Sep 2014,2014-09-01,ATUL.NS,0.226296,1361.7,308.15
Sep 2014,2014-09-01,TORNTPHARM.NS,0.434832,414.98,180.44
Sep 2014,2014-09-01,ARVIND.NS,2.746774,108.01,296.67
Sep 2014,2014-09-01,AJANTPHARM.NS,0.569155,433.97,247.0
Sep 2014,2014-09-01,ENGINERSIN.NS,1.119947,119.95,134.34
Sep 2014,2014-09-01,BPCL.NS,2.423429,117.47,284.69
Sep 2014,2014-09-01,WIPRO.NS,0.825798,106.1,87.61
Sep 2014,2014-09-01,BALKRISIND.NS,0.681492,360.48,245.66
Sep 2014,2014-09-01,ECLERX.NS,0.543037,343.6,186.59
Sep 2014,2014-09-01,KAJARIACER.NS,0.826225,336.2,277.78
Sep 2014,2014-09-01,NAUKRI.NS,1.779464,147.89,263.16
Sep 2014,2014-09-01,KKCL.NS,0.722184,359.03,259.29
Sep 2014,2014-09-01,AARTIIND.NS,2.811907,67.81,190.67
Sep 2014,2014-09-01,ZENSARTECH.NS,1.928929,90.78,175.11
Sep 2014,2014-09-01,BERGEPAINT.NS,0.811007,102.75,83.33
Oct 2014,2014-10-01,ATUL.NS,0.28661,1381.65,396.0
Oct 2014,2014-10-01,TORNTPHARM.NS,0.623262,442.25,275.64
Oct 2014,2014-10-01,ARVIND.NS,3.511275,109.0,382.74
Oct 2014,2014-10-01,AJANTPHARM.NS,0.749593,461.84,346.19
Oct 2014,2014-10-01,ENGINERSIN.NS,1.119947,121.65,136.24
Oct 2014,2014-10-01,BPCL.NS,2.423429,108.81,263.69
Oct 2014,2014-10-01,WIPRO.NS,0.825798,115.45,95.34
Oct 2014,2014-10-01,BALKRISIND.NS,0.896783,387.07,347.12
Oct 2014,2014-10-01,ECLERX.NS,0.543037,351.95,191.12
Oct 2014,2014-10-01,KAJARIACER.NS,0.826225,323.1,266.95
Oct 2014,2014-10-01,NAUKRI.NS,2.262584,172.49,390.27
Oct 2014,2014-10-01,KKCL.NS,0.950094,365.64,347.39
Oct 2014,2014-10-01,AARTIIND.NS,4.034523,68.16,274.99
Oct 2014,2014-10-01,ZENSARTECH.NS,2.603474,123.54,321.63
Oct 2014,2014-10-01,BERGEPAINT.NS,0.811007,119.0,96.51
Oct 2014,2014-10-01,ASTRAL.NS,0.464822,179.28,83.33
Oct 2014,2014-10-01,RATNAMANI.NS,0.293462,283.97,83.33
Oct 2014,2014-10-01,IGL.NS,1.997683,41.72,83.33
Nov 2014,2014-11-03,ATUL.NS,0.349312,1329.05,464.25
Nov 2014,2014-11-03,TORNTPHARM.NS,0.805991,456.05,367.57
Nov 2014,2014-11-03,ARVIND.NS,4.261291,111.11,473.47
Nov 2014,2014-11-03,AJANTPHARM.NS,0.913377,508.8,464.73
Nov 2014,2014-11-03,ENGINERSIN.NS,1.119947,137.48,153.96
Nov 2014,2014-11-03,BPCL.NS,3.113989,120.68,375.78
Nov 2014,2014-11-03,WIPRO.NS,0.825798,105.92,87.47
Nov 2014,2014-11-03,BALKRISIND.NS,1.107759,394.99,437.55
Nov 2014,2014-11-03,ECLERX.NS,0.543037,327.35,177.76
Nov 2014,2014-11-03,KAJARIACER.NS,0.826225,300.0,247.87
Nov 2014,2014-11-03,NAUKRI.NS,2.262584,170.72,386.27
Nov 2014,2014-11-03,KKCL.NS,0.950094,336.23,319.45
Nov 2014,2014-11-03,AARTIIND.NS,5.135289,75.7,388.77
Nov 2014,2014-11-03,ZENSARTECH.NS,3.285417,122.2,401.48
