Month,Top_Ticker,Top_Amount,Top_Weight_Percent
Jul 2014,ATUL.NS,83.33,8.33
Aug 2014,ATUL.NS,192.59,9.42
Sep 2014,ATUL.NS,308.15,9.57
Oct 2014,ATUL.NS,396.0,9.04
Nov 2014,ARVIND.NS,473.47,8.74
Dec 2014,AJANTPHARM.NS,670.27,10.19
Jan 2015,AJANTPHARM.NS,739.24,9.8
Feb 2015,AJANTPHARM.NS,879.45,9.84
Mar 2015,AJANTPHARM.NS,1099.23,10.7
Apr 2015,AJANTPHARM.NS,1229.29,10.81
May 2015,AJANTPHARM.NS,1416.53,11.3
Jun 2015,AJANTPHARM.NS,1814.19,14.3
Jul 2015,AJANTPHARM.NS,1857.24,14.43
Aug 2015,TORNTPHARM.NS,1477.53,10.75
Sep 2015,AJANTPHARM.NS,1509.07,11.17
Oct 2015,AARTIIND.NS,1731.12,12.09
Nov 2015,AARTIIND.NS,1685.91,11.45
Dec 2015,CANFINHOME.NS,1769.54,12.01
Jan 2016,CANFINHOME.NS,2106.86,13.64
Feb 2016,CANFINHOME.NS,2125.75,14.67
Mar 2016,CANFINHOME.NS,2104.19,15.33
Apr 2016,CANFINHOME.NS,2597.45,17.27
May 2016,CANFINHOME.NS,2799.76,18.08
Jun 2016,CANFINHOME.NS,2851.52,18.58
Jul 2016,CANFINHOME.NS,2876.52,18.06
Aug 2016,BAJFINANCE.NS,3233.29,18.06
Sep 2016,BAJFINANCE.NS,3333.83,17.61
Oct 2016,BAJFINANCE.NS,3372.27,17.42
Nov 2016,AARTIIND.NS,3620.32,18.12
Dec 2016,AARTIIND.NS,3499.48,18.69
Jan 2017,IGL.NS,3208.68,17.35
Feb 2017,BAJFINANCE.NS,3593.61,17.74
Mar 2017,IGL.NS,3799.89,17.91
Apr 2017,BAJFINANCE.NS,3983.26,18.13
May 2017,BAJFINANCE.NS,4276.0,18.49
Jun 2017,BAJFINANCE.NS,4474.02,18.59
Jul 2017,BAJFINANCE.NS,4675.58,18.7
Aug 2017,BAJFINANCE.NS,5784.86,21.68
Sep 2017,BAJFINANCE.NS,6066.99,22.25
Oct 2017,BAJFINANCE.NS,6295.68,21.92
Nov 2017,BAJFINANCE.NS,6089.91,19.76
Dec 2017,IGL.NS,5979.61,19.59
Jan 2018,IGL.NS,6398.65,19.95
Feb 2018,BAJFINANCE.NS,5829.36,18.78
Mar 2018,IGL.NS,5765.85,19.03
Apr 2018,BAJFINANCE.NS,6331.85,21.25
May 2018,BAJFINANCE.NS,6633.01,21.41
Jun 2018,BAJFINANCE.NS,7439.44,24.46
Jul 2018,BAJFINANCE.NS,8437.75,28.01
Aug 2018,BAJFINANCE.NS,10191.63,30.43
Sep 2018,BAJFINANCE.NS,10196.31,30.28
Oct 2018,BAJFINANCE.NS,8266.57,27.46
Nov 2018,BAJFINANCE.NS,9251.81,30.49
Dec 2018,BAJFINANCE.NS,9800.55,32.24
Jan 2019,BAJFINANCE.NS,10582.19,33.91
Feb 2019,BAJFINANCE.NS,10676.95,33.46
Mar 2019,BAJFINANCE.NS,11021.09,34.93
Apr 2019,BAJFINANCE.NS,12270.24,35.79
May 2019,BAJFINANCE.NS,10288.67,29.32
Jun 2019,BAJFINANCE.NS,11768.73,31.43
Jul 2019,BAJFINANCE.NS,12648.38,34.13
Aug 2019,BAJFINANCE.NS,11264.71,33.72
Sep 2019,BAJFINANCE.NS,11614.7,33.26
Oct 2019,BAJFINANCE.NS,14463.42,38.07
Nov 2019,BAJFINANCE.NS,14997.3,38.68
Dec 2019,BAJFINANCE.NS,14815.8,39.4
Jan 2020,BAJFINANCE.NS,16119.77,41.19
Feb 2020,BAJFINANCE.NS,16868.47,41.48
Mar 2020,BAJFINANCE.NS,17145.03,42.63
Apr 2020,BAJFINANCE.NS,8993.9,35.67
May 2020,BAJFINANCE.NS,8427.77,30.81
Jun 2020,BAJFINANCE.NS,8756.83,30.72
Jul 2020,BAJFINANCE.NS,11970.66,36.96
Aug 2020,BAJFINANCE.NS,12864.64,36.76
Sep 2020,BAJFINANCE.NS,14766.67,39.13
Oct 2020,BAJFINANCE.NS,13951.92,36.14
Nov 2020,BAJFINANCE.NS,11689.39,31.23
Dec 2020,BAJFINANCE.NS,14125.82,31.53
Jan 2021,BAJFINANCE.NS,15343.53,32.39
Feb 2021,BAJFINANCE.NS,12334.84,26.35
Mar 2021,BAJFINANCE.NS,12623.29,25.64
Apr 2021,BAJFINANCE.NS,12130.58,23.79
May 2021,BAJFINANCE.NS,12772.52,23.06
Jun 2021,BAJFINANCE.NS,10917.44,18.82
Jul 2021,BAJFINANCE.NS,11261.58,17.65
Aug 2021,BAJFINANCE.NS,11701.97,17.3
Sep 2021,BAJFINANCE.NS,14191.46,20.47
Oct 2021,BAJFINANCE.NS,14197.41,20.06
Nov 2021,BAJFINANCE.NS,13992.07,19.56
Dec 2021,BAJFINANCE.NS,13283.88,17.16
Jan 2022,ASAL.NS,36844.95,33.76
Feb 2022,ASAL.NS,24812.63,26.65
Mar 2022,ASAL.NS,15425.87,19.7
Apr 2022,ASAL.NS,29388.21,28.44
May 2022,ASAL.NS,25758.61,26.39
Jun 2022,ASAL.NS,21229.04,24.16
Jul 2022,ASAL.NS,25216.63,29.86
Aug 2022,ASAL.NS,24772.17,26.93
Sep 2022,ASAL.NS,16371.5,18.28
Oct 2022,ASAL.NS,16287.23,19.06
Nov 2022,ASAL.NS,17124.37,20.04
Dec 2022,ASAL.NS,17144.56,19.96
Jan 2023,ASAL.NS,16140.39,19.42
Feb 2023,ASAL.NS,14756.68,18.37
Mar 2023,ASAL.NS,12863.3,16.54
Apr 2023,ASAL.NS,12468.41,16.48
May 2023,BAJFINANCE.NS,11793.79,14.1
Jun 2023,BAJFINANCE.NS,13287.28,15.01
Jul 2023,BAJFINANCE.NS,13839.3,14.07
Aug 2023,BAJFINANCE.NS,13719.84,12.82
Sep 2023,TI.NS,15814.7,13.39
Oct 2023,TI.NS,15796.16,13.23
Nov 2023,TI.NS,17328.55,14.32
Dec 2023,TI.NS,22705.05,17.4
Jan 2024,TI.NS,21028.05,15.53
Feb 2024,TI.NS,21001.83,14.46
Mar 2024,TI.NS,18913.01,13.12
Apr 2024,TI.NS,18926.12,13.42
May 2024,TI.NS,21041.16,13.89
Jun 2024,TI.NS,20604.17,13.83
Jul 2024,TI.NS,21556.81,13.56
Aug 2024,REFEX.NS,22273.17,13.65
Sep 2024,REFEX.NS,27432.83,15.95
Oct 2024,REFEX.NS,45268.82,22.9
Nov 2024,REFEX.NS,41274.19,22.71
Dec 2024,REFEX.NS,48072.73,24.63
Jan 2025,REFEX.NS,43898.49,22.79
Feb 2025,REFEX.NS,42372.66,24.11
Mar 2025,REFEX.NS,36778.17,25.47
Apr 2025,REFEX.NS,38854.68,24.86
May 2025,REFEX.NS,41004.02,25.26
Jun 2025,REFEX.NS,50809.68,27.82
Jul 2025,REFEX.NS,48190.18,26.93
Aug 2025,REFEX.NS,44616.78,24.43
Sep 2025,TI.NS,39173.73,21.59
Oct 2025,TI.NS,38085.25,20.69
Nov 2025,TI.NS,45582.36,24.15
Dec 2025,TI.NS,40834.29,22.74
Jan 2026,TI.NS,39333.76,22.98
Feb 2026,TI.NS,36220.27,23.19
Mar 2026,TI.NS,38117.67,24.03
Apr 2026,TI.NS,40242.32,26.77
