Ticker,Avg_Holding_Days,Avg_Holding_Months,Avg_Return_Pct
JSWSTEEL.NS,58.8,1.93,10.49
BPCL.NS,65.0,2.13,-0.09
ATUL.NS,108.4,3.56,2.5
HAVELLS.NS,66.5,2.18,17.44
AARTIIND.NS,169.5,5.57,25.07
TCS.NS,60.0,1.97,8.75
AJANTPHARM.NS,127.5,4.19,0.97
CANFINHOME.NS,460.4,15.12,76.05
CHOLAFIN.NS,139.2,4.57,4.39
WHEELS.NS,60.0,1.97,17.73
BAJFINANCE.NS,155.2,5.1,12.34
KAJARIACER.NS,143.9,4.73,25.97
ARVIND.NS,60.0,1.97,-19.27
ASTRAL.NS,82.2,2.7,-0.28
LAOPALA.NS,97.2,3.19,8.85
HERITGFOOD.NS,91.9,3.02,11.11
ZENSARTECH.NS,67.0,2.2,-14.16
HINDPETRO.NS,69.3,2.28,9.16
AVANTIFEED.NS,70.9,2.33,40.96
CEATLTD.NS,113.8,3.74,-25.11
FINPIPE.NS,68.8,2.26,9.26
BALKRISIND.NS,58.0,1.91,19.59
KPRMILL.NS,82.9,2.72,-0.4
KRBL.NS,58.0,1.91,8.81
MRF.NS,75.9,2.49,6.87
SHILPI.NS,60.0,1.97,-66.76
DCMSHRIRAM.NS,58.5,1.92,14.0
FINCABLES.NS,183.0,6.01,21.93
IOC.NS,71.4,2.35,4.21
JKTYRE.NS,60.1,1.97,-15.88
APLAPOLLO.NS,81.8,2.69,4.44
TRIDENT.NS,114.9,3.77,-4.7
IGL.NS,58.9,1.93,-7.9
PIDILITIND.NS,55.0,1.81,2.09
SONATSOFTW.NS,89.6,2.94,15.63
NAVINFLUOR.NS,129.3,4.25,-8.83
NAUKRI.NS,58.0,1.91,3.61
KNRCON.NS,68.3,2.24,-2.66
NILKAMAL.NS,90.0,2.96,-20.0
IIFL.NS,90.0,2.96,-34.53
DCAL.NS,60.0,1.97,0.28
BRITANNIA.NS,91.0,2.99,14.55
SRF.NS,104.6,3.44,5.51
MUTHOOTFIN.NS,71.5,2.35,8.4
CHAMBLFERT.NS,86.1,2.83,6.97
HONAUT.NS,60.0,1.97,16.04
DEEPAKNTR.NS,88.8,2.92,8.97
MANAPPURAM.NS,94.1,3.09,-5.6
HINDUNILVR.NS,90.0,2.96,2.29
JKPAPER.NS,85.4,2.8,-0.9
RELIANCE.NS,74.1,2.43,7.37
GARFIBRES.NS,125.2,4.11,34.53
KEI.NS,268.9,8.83,1.53
ITI.NS,78.8,2.59,-0.41
GAEL.NS,68.9,2.26,12.91
BHARATRAS.NS,104.9,3.45,9.5
POLYPLEX.NS,92.1,3.03,12.16
ALKYLAMINE.NS,251.6,8.27,22.59
AARTIDRUGS.NS,59.6,1.96,5.57
ESCORTS.NS,117.0,3.84,6.73
TATACHEM.NS,73.5,2.41,5.38
ULTRACEMCO.NS,60.0,1.97,6.71
RATNAMANI.NS,59.0,1.94,12.04
VENKEYS.NS,61.0,2.0,-20.47
REDINGTON.NS,86.5,2.84,-2.65
TATASTEEL.NS,60.0,1.97,-8.59
PNCINFRA.NS,89.9,2.95,-15.41
FACT.NS,90.7,2.98,-1.84
COFORGE.NS,58.9,1.93,4.36
RADICO.NS,60.0,1.97,-0.55
GHCL.NS,60.0,1.97,-5.87
RHIM.NS,60.0,1.97,30.58
MAITHANALL.NS,90.0,2.96,-10.0
ESTER.NS,60.0,1.97,-13.66
JWL.NS,121.5,3.99,62.02
ACE.NS,84.7,2.78,18.03
JINDALSTEL.NS,63.7,2.09,-6.77
GPIL.NS,58.0,1.91,-13.71
REFEX.NS,59.2,1.95,38.77
ADANIPOWER.NS,83.1,2.73,55.48
WSTCSTPAPR.NS,60.0,1.97,-0.7
UTTAMSUGAR.NS,60.0,1.97,22.73
WELCORP.NS,59.2,1.94,2.08
SKFINDIA.NS,60.0,1.97,20.44
NACLIND.NS,91.0,2.99,-17.18
DLINKINDIA.NS,96.1,3.16,21.66
HCC.NS,59.5,1.96,15.91
UGARSUGAR.NS,79.9,2.62,-20.04
USHAMART.NS,75.1,2.47,-14.43
CAPLIPOINT.NS,59.7,1.96,-1.87
VOLTAMP.NS,60.1,1.98,19.86
PERSISTENT.NS,58.0,1.91,18.97
INDRAMEDCO.NS,61.0,2.0,-9.82
SUPREMEIND.NS,59.0,1.94,-7.27
BEL.NS,78.7,2.59,15.95
SARDAEN.NS,103.5,3.4,35.98
JINDALSAW.NS,60.0,1.97,13.71
JSL.NS,145.2,4.77,11.15
HAL.NS,177.8,5.84,20.92
ELECON.NS,60.0,1.97,-6.42
POLYCAB.NS,60.0,1.97,1.15
GRAVITA.NS,66.5,2.18,37.95
GABRIEL.NS,60.0,1.97,7.92
TVSMOTOR.NS,60.0,1.97,9.89
JYOTHYLAB.NS,60.0,1.97,-5.33
RCF.NS,120.0,3.94,-17.25
ECLERX.NS,89.2,2.93,25.26
SCHNEIDER.NS,65.6,2.16,-3.38
BANCOINDIA.NS,66.5,2.19,5.86
TIMETECHNO.NS,61.0,2.0,-10.94
ELECTCAST.NS,174.2,5.72,-56.79
PGEL.NS,115.2,3.78,17.69
IMAGICAA.NS,119.0,3.91,-18.68
M&M.NS,76.2,2.5,-2.07
WELENT.NS,78.3,2.57,-11.5
KIRLOSBROS.NS,90.0,2.96,38.67
PNBHOUSING.NS,60.0,1.97,9.82
PCBL.NS,74.0,2.43,3.63
TI.NS,85.6,2.81,11.38
