Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1021.63,11000.0,12021.63
2014-07-03,1034.01,11000.0,12034.01
2014-07-04,1042.35,11000.0,12042.35
2014-07-07,1042.68,11000.0,12042.68
2014-07-08,1009.13,11000.0,12009.13
2014-07-09,1011.42,11000.0,12011.42
2014-07-10,1021.33,11000.0,12021.33
2014-07-11,1008.07,11000.0,12008.07
2014-07-14,1007.98,11000.0,12007.98
2014-07-15,1023.57,11000.0,12023.57
2014-07-16,1029.18,11000.0,12029.18
2014-07-17,1064.85,11000.0,12064.85
2014-07-18,1053.87,11000.0,12053.869999999999
2014-07-21,1055.1,11000.0,12055.1
2014-07-22,1059.94,11000.0,12059.94
2014-07-23,1100.09,11000.0,12100.09
2014-07-24,1134.43,11000.0,12134.43
2014-07-25,1093.79,11000.0,12093.79
2014-07-28,1074.04,11000.0,12074.04
2014-07-30,1056.52,11000.0,12056.52
2014-07-31,1069.21,11000.0,12069.21
2014-08-01,2114.73,10000.0,12114.73
2014-08-04,2132.76,10000.0,12132.76
2014-08-05,2198.45,10000.0,12198.45
2014-08-06,2191.76,10000.0,12191.76
2014-08-07,2183.98,10000.0,12183.98
2014-08-08,2180.2,10000.0,12180.2
2014-08-11,2193.07,10000.0,12193.07
2014-08-12,2213.95,10000.0,12213.95
2014-08-13,2212.59,10000.0,12212.59
2014-08-14,2228.81,10000.0,12228.81
2014-08-18,2258.43,10000.0,12258.43
2014-08-19,2314.94,10000.0,12314.94
2014-08-20,2360.92,10000.0,12360.92
2014-08-21,2386.71,10000.0,12386.71
2014-08-22,2373.49,10000.0,12373.49
2014-08-25,2380.73,10000.0,12380.73
2014-08-26,2442.28,10000.0,12442.28
2014-08-27,2535.59,10000.0,12535.59
2014-08-28,2472.51,10000.0,12472.51
2014-09-01,3452.27,9000.0,12452.27
2014-09-02,3448.11,9000.0,12448.11
2014-09-03,3491.4,9000.0,12491.4
2014-09-04,3461.69,9000.0,12461.69
2014-09-05,3464.82,9000.0,12464.82
2014-09-08,3601.66,9000.0,12601.66
2014-09-09,3663.8,9000.0,12663.8
2014-09-10,3657.41,9000.0,12657.41
2014-09-11,3718.28,9000.0,12718.28
2014-09-12,3747.18,9000.0,12747.18
2014-09-15,3714.23,9000.0,12714.23
2014-09-16,3619.07,9000.0,12619.07
2014-09-17,3616.7,9000.0,12616.7
2014-09-18,3685.11,9000.0,12685.11
2014-09-19,3754.83,9000.0,12754.83
2014-09-22,3763.22,9000.0,12763.22
2014-09-23,3725.15,9000.0,12725.15
2014-09-24,3672.22,9000.0,12672.22
2014-09-25,3590.63,9000.0,12590.630000000001
2014-09-26,3608.07,9000.0,12608.07
2014-09-29,3663.17,9000.0,12663.17
2014-09-30,3751.67,9000.0,12751.67
2014-10-01,4820.76,8000.0,12820.76
2014-10-07,4730.82,8000.0,12730.82
2014-10-08,4806.79,8000.0,12806.79
2014-10-09,4853.24,8000.0,12853.24
2014-10-10,4787.85,8000.0,12787.85
2014-10-13,4748.31,8000.0,12748.310000000001
2014-10-14,4740.38,8000.0,12740.380000000001
2014-10-16,4694.85,8000.0,12694.85
2014-10-17,4656.5,8000.0,12656.5
2014-10-20,4748.15,8000.0,12748.15
2014-10-21,4809.03,8000.0,12809.029999999999
2014-10-22,4856.37,8000.0,12856.369999999999
2014-10-23,4856.37,8000.0,12856.369999999999
2014-10-27,4945.53,8000.0,12945.529999999999
2014-10-28,4974.31,8000.0,12974.310000000001
2014-10-29,4967.46,8000.0,12967.46
2014-10-30,5005.99,8000.0,13005.99
2014-10-31,5036.29,8000.0,13036.29
2014-11-03,6101.86,7000.0,13101.86
2014-11-05,6190.1,7000.0,13190.1
2014-11-07,6285.63,7000.0,13285.630000000001
2014-11-10,6263.71,7000.0,13263.71
2014-11-11,6298.46,7000.0,13298.46
2014-11-12,6382.48,7000.0,13382.48
2014-11-13,6330.91,7000.0,13330.91
2014-11-14,6343.85,7000.0,13343.85
2014-11-17,6606.16,7000.0,13606.16
2014-11-18,6485.38,7000.0,13485.380000000001
2014-11-19,6313.79,7000.0,13313.79
2014-11-20,6365.15,7000.0,13365.15
2014-11-21,6338.77,7000.0,13338.77
2014-11-24,6322.97,7000.0,13322.970000000001
2014-11-25,6223.01,7000.0,13223.01
2014-11-26,6199.73,7000.0,13199.73
2014-11-27,6223.74,7000.0,13223.74
2014-11-28,6285.9,7000.0,13285.9
2014-12-01,7329.96,6000.0,13329.96
2014-12-02,7439.32,6000.0,13439.32
2014-12-03,7388.14,6000.0,13388.14
2014-12-04,7405.78,6000.0,13405.779999999999
2014-12-05,7473.96,6000.0,13473.96
2014-12-08,7456.78,6000.0,13456.779999999999
2014-12-09,7397.49,6000.0,13397.49
2014-12-10,7395.6,6000.0,13395.6
2014-12-11,7526.29,6000.0,13526.29
2014-12-12,7522.83,6000.0,13522.83
2014-12-15,7617.55,6000.0,13617.55
2014-12-16,7300.24,6000.0,13300.24
2014-12-17,7264.7,6000.0,13264.7
2014-12-18,7430.32,6000.0,13430.32
2014-12-19,7542.54,6000.0,13542.54
2014-12-22,7522.9,6000.0,13522.9
2014-12-23,7704.45,6000.0,13704.45
2014-12-24,7692.02,6000.0,13692.02
2014-12-26,7692.5,6000.0,13692.5
2014-12-29,7790.24,6000.0,13790.24
2014-12-30,7732.62,6000.0,13732.619999999999
2014-12-31,7793.19,6000.0,13793.189999999999
2015-01-01,9290.98,5000.0,14290.98
2015-01-02,9380.84,5000.0,14380.84
