Month,Date,Stock,Liquidated_Qty,Liquidated_Amount,Reason,Remaining_Qty,Portfolio_Value_After
Aug 2014,2014-08-28,JSWSTEEL.NS,1.969279,244.9,Not in good list (full),0.0,684.41
Aug 2014,2014-08-28,BPCL.NS,2.544098,294.39,Not in good list (full),0.0,684.41
Sep 2014,2014-09-30,ATUL.NS,0.280978,390.45,Not in good list (full),0.0,476.38
Sep 2014,2014-09-30,HAVELLS.NS,2.724756,721.65,Not in good list (full),0.0,476.38
Sep 2014,2014-09-30,AARTIIND.NS,7.309825,495.04,Not in good list (full),0.0,476.38
Sep 2014,2014-09-30,TCS.NS,0.305852,418.5,Not in good list (full),0.0,476.38
Oct 2014,2014-10-31,AJANTPHARM.NS,1.742985,882.86,Not in good list (full),0.0,3043.12
Nov 2014,2014-11-28,BPCL.NS,10.764978,1338.89,Not in good list (full),0.0,3307.95
Nov 2014,2014-11-28,HAVELLS.NS,1.813927,579.46,Not in good list (full),0.0,3307.95
Dec 2014,2014-12-31,CANFINHOME.NS,8.271266,759.52,Not in good list (full),0.0,5985.33
Jan 2015,2015-01-30,CHOLAFIN.NS,26.626742,2892.2,Not in good list (full),0.0,5711.06
Jan 2015,2015-01-30,WHEELS.NS,0.92475,517.88,Not in good list (full),0.0,5711.06
Mar 2015,2015-03-31,BAJFINANCE.NS,137.440072,5646.66,Not in good list (full),0.0,5277.6
Mar 2015,2015-03-31,KAJARIACER.NS,3.903626,1575.5,Not in good list (full),0.0,5277.6
Apr 2015,2015-04-30,ARVIND.NS,17.683248,1659.45,Not in good list (full),0.0,12023.56
May 2015,2015-05-29,ASTRAL.NS,18.130712,3141.96,Not in good list (full),0.0,10923.83
Jul 2015,2015-07-31,AARTIIND.NS,74.567829,7570.35,Not in good list (full),0.0,8634.2
Jul 2015,2015-07-31,LAOPALA.NS,9.881892,2122.88,Not in good list (full),0.0,8634.2
Jul 2015,2015-07-31,CHOLAFIN.NS,8.615447,1189.79,Not in good list (full),0.0,8634.2
Aug 2015,2015-08-31,CANFINHOME.NS,62.204495,9674.66,Not in good list (full),0.0,6105.41
Aug 2015,2015-08-31,ATUL.NS,2.442374,3304.17,Not in good list (full),0.0,6105.41
Sep 2015,2015-09-30,KAJARIACER.NS,7.360852,2935.51,Not in good list (full),0.0,13957.66
Sep 2015,2015-09-30,BPCL.NS,21.421927,3037.27,Not in good list (full),0.0,13957.66
Oct 2015,2015-10-30,AARTIIND.NS,46.703562,5810.53,Not in good list (full),0.0,14638.54
Nov 2015,2015-11-30,BAJFINANCE.NS,187.051009,10364.5,Not in good list (full),0.0,3611.09
Nov 2015,2015-11-30,CHOLAFIN.NS,47.381633,6112.23,Not in good list (full),0.0,3611.09
Nov 2015,2015-11-30,BPCL.NS,10.192725,1531.88,Not in good list (full),0.0,3611.09
Dec 2015,2015-12-31,HERITGFOOD.NS,53.024584,7689.03,Not in good list (full),0.0,11311.68
Dec 2015,2015-12-31,ASTRAL.NS,24.107904,4744.62,Not in good list (full),0.0,11311.68
Jan 2016,2016-01-29,BPCL.NS,19.996218,2976.6,Not in good list (full),0.0,20197.63
Feb 2016,2016-02-29,AARTIIND.NS,5.832075,603.71,Not in good list (full),0.0,19913.66
Feb 2016,2016-02-29,ZENSARTECH.NS,3.424217,577.29,Not in good list (full),0.0,19913.66
Mar 2016,2016-03-31,ATUL.NS,4.758499,7300.97,Not in good list (full),0.0,13339.53
Mar 2016,2016-03-31,BAJFINANCE.NS,60.387968,4181.35,Not in good list (full),0.0,13339.53
Apr 2016,2016-04-29,HINDPETRO.NS,26.863181,3318.1,Not in good list (full),0.0,24304.6
May 2016,2016-05-31,AVANTIFEED.NS,6.212895,965.28,Not in good list (full),0.0,27073.18
Jul 2016,2016-07-29,CEATLTD.NS,0.220494,190.45,Not in good list (full),0.0,30902.61
Jul 2016,2016-07-29,ZENSARTECH.NS,1.245454,261.96,Not in good list (full),0.0,30902.61
Aug 2016,2016-08-31,KAJARIACER.NS,8.848885,5580.99,Not in good list (full),0.0,28660.84
Sep 2016,2016-09-30,AARTIIND.NS,36.011887,5431.11,Not in good list (full),0.0,24962.43
Sep 2016,2016-09-30,BAJFINANCE.NS,27.911023,2947.12,Not in good list (full),0.0,24962.43
Sep 2016,2016-09-30,CHOLAFIN.NS,6.633,1535.34,Not in good list (full),0.0,24962.43
Sep 2016,2016-09-30,ATUL.NS,0.726011,1658.46,Not in good list (full),0.0,24962.43
Oct 2016,2016-10-28,AVANTIFEED.NS,15.973183,3157.37,Not in good list (full),0.0,37666.71
Nov 2016,2016-11-30,BAJFINANCE.NS,7.263656,668.11,Not in good list (full),0.0,37507.26
Dec 2016,2016-12-30,BPCL.NS,4.513324,956.07,Not in good list (full),0.0,34663.76
Dec 2016,2016-12-30,KAJARIACER.NS,0.261655,121.83,Not in good list (full),0.0,34663.76
Jan 2017,2017-01-31,CHOLAFIN.NS,1.40067,288.22,Not in good list (full),0.0,40397.08
Feb 2017,2017-02-28,AJANTPHARM.NS,2.242122,2567.15,Not in good list (full),0.0,39148.65
Feb 2017,2017-02-28,FINPIPE.NS,3.901192,419.53,Not in good list (full),0.0,39148.65
Feb 2017,2017-02-28,BALKRISIND.NS,0.132507,86.17,Not in good list (full),0.0,39148.65
Mar 2017,2017-03-31,KPRMILL.NS,35.61334,4700.6,Not in good list (full),0.0,40921.12
Mar 2017,2017-03-31,KRBL.NS,2.022418,835.87,Not in good list (full),0.0,40921.12
Apr 2017,2017-04-28,BPCL.NS,3.664297,878.52,Not in good list (full),0.0,56147.65
May 2017,2017-05-31,AVANTIFEED.NS,11.057703,5165.97,Not in good list (full),0.0,55253.73
May 2017,2017-05-31,MRF.NS,0.003601,236.07,Not in good list (full),0.0,55253.73
May 2017,2017-05-31,BAJFINANCE.NS,1.858505,246.61,Not in good list (full),0.0,55253.73
Jun 2017,2017-06-30,HINDPETRO.NS,12.708454,2882.56,Not in good list (full),0.0,64908.17
Jun 2017,2017-06-30,SHILPI.NS,13.130305,469.41,Not in good list (full),0.0,64908.17
Jun 2017,2017-06-30,DCMSHRIRAM.NS,3.763263,1293.43,Not in good list (full),0.0,64908.17
Jul 2017,2017-07-31,AVANTIFEED.NS,2.447181,1334.33,Not in good list (full),0.0,63426.95
Jul 2017,2017-07-31,CEATLTD.NS,0.648509,1217.35,Not in good list (full),0.0,63426.95
Jul 2017,2017-07-31,MRF.NS,0.017024,1178.06,Not in good list (full),0.0,63426.95
Aug 2017,2017-08-31,FINCABLES.NS,3.137877,1687.71,Not in good list (full),0.0,58341.8
Aug 2017,2017-08-31,IOC.NS,7.230034,1095.83,Not in good list (full),0.0,58341.8
Aug 2017,2017-08-31,JKTYRE.NS,5.51899,813.78,Not in good list (full),0.0,58341.8
Aug 2017,2017-08-31,APLAPOLLO.NS,5.833542,917.06,Not in good list (full),0.0,58341.8
Sep 2017,2017-09-29,AARTIIND.NS,8.941254,1940.09,Not in good list (full),0.0,55746.1
Sep 2017,2017-09-29,KPRMILL.NS,7.176156,1081.09,Not in good list (full),0.0,55746.1
Oct 2017,2017-10-31,APLAPOLLO.NS,4.765262,888.36,Not in good list (full),0.0,52957.37
Nov 2017,2017-11-30,BAJFINANCE.NS,11.961176,2065.75,Not in good list (full),0.0,50570.0
Nov 2017,2017-11-30,IOC.NS,6.693235,877.93,Not in good list (full),0.0,50570.0
Nov 2017,2017-11-30,HERITGFOOD.NS,0.615274,244.87,Not in good list (full),0.0,50570.0
Dec 2017,2017-12-29,TRIDENT.NS,309.473631,2766.69,Not in good list (full),0.0,48150.64
Dec 2017,2017-12-29,APLAPOLLO.NS,4.255829,844.25,Not in good list (full),0.0,48150.64
Dec 2017,2017-12-29,KPRMILL.NS,5.178912,831.06,Not in good list (full),0.0,48150.64
Jan 2018,2018-01-31,AVANTIFEED.NS,2.127479,1572.31,Not in good list (full),0.0,47540.54
Jan 2018,2018-01-31,IGL.NS,6.995282,1065.56,Not in good list (full),0.0,47540.54
Feb 2018,2018-02-28,CANFINHOME.NS,100.298146,54306.43,Not in good list (full),0.0,1494.94
Feb 2018,2018-02-28,BAJFINANCE.NS,10.309647,1691.04,Not in good list (full),0.0,1494.94
Feb 2018,2018-02-28,APLAPOLLO.NS,3.329635,683.54,Not in good list (full),0.0,1494.94
Feb 2018,2018-02-28,AARTIIND.NS,2.378547,677.99,Not in good list (full),0.0,1494.94
