Month,Ticker,Invested_Amount,Current_Amount,Portfolio_Total,Weight_Pct
Jul 2014,ATUL.NS,250.0,335.14,1069.2,31.345
Aug 2014,HAVELLS.NS,634.82,774.38,2472.5,31.32
Sep 2014,BAJFINANCE.NS,1141.23,1320.98,3751.6800000000003,35.21
Oct 2014,BAJFINANCE.NS,1611.95,1840.55,5036.28,36.546
Nov 2014,BAJFINANCE.NS,2341.53,2834.86,6285.91,45.099
Dec 2014,BAJFINANCE.NS,2781.42,3690.79,7793.19,47.359
Jan 2015,BAJFINANCE.NS,3883.94,5567.08,10777.49,51.655
Feb 2015,BAJFINANCE.NS,3883.94,5644.8,12274.73,45.987
Mar 2015,AARTIIND.NS,3408.06,4287.91,13569.13,31.6
Apr 2015,CANFINHOME.NS,4072.92,5110.82,14687.76,34.796
May 2015,CANFINHOME.NS,5108.41,5822.67,14909.95,39.052
Jun 2015,CANFINHOME.NS,5358.41,6876.36,17200.36,39.978
Jul 2015,CANFINHOME.NS,8079.17,10045.4,19820.86,50.681
Aug 2015,BAJFINANCE.NS,6880.33,6444.87,18298.18,35.221
Sep 2015,BAJFINANCE.NS,8373.52,8138.68,20616.37,39.477
Oct 2015,BAJFINANCE.NS,9826.15,9768.46,20573.76,47.48
Nov 2015,HERITGFOOD.NS,5995.35,6950.92,22107.41,31.442
Dec 2015,CANFINHOME.NS,9063.2,10477.39,24125.5,43.429
Jan 2016,CANFINHOME.NS,9807.35,11012.64,22972.23,47.939
Feb 2016,CANFINHOME.NS,10102.6,10071.8,21009.18,47.94
Mar 2016,CANFINHOME.NS,12973.18,15654.41,26290.41,59.544
Apr 2016,CANFINHOME.NS,13802.7,17139.4,27724.52,61.82
May 2016,CANFINHOME.NS,13802.7,17236.35,28005.469999999998,61.546
Jun 2016,CANFINHOME.NS,13802.7,17425.97,28756.440000000002,60.598
Jul 2016,CANFINHOME.NS,13915.8,19184.59,31391.83,61.113
Aug 2016,CANFINHOME.NS,15311.05,22906.54,34555.520000000004,66.289
Sep 2016,CANFINHOME.NS,18204.06,28078.63,36970.93,75.948
Oct 2016,CANFINHOME.NS,18993.4,32457.0,40903.8,79.35
Nov 2016,CANFINHOME.NS,19160.43,30191.79,38132.31,79.176
Dec 2016,CANFINHOME.NS,19429.91,28452.86,35710.76,79.676
Jan 2017,CANFINHOME.NS,19501.96,33557.38,40710.61,82.429
Feb 2017,CANFINHOME.NS,20270.18,35689.92,42369.299999999996,84.235
Mar 2017,CANFINHOME.NS,21654.29,40601.84,46929.53,86.517
Apr 2017,CANFINHOME.NS,21654.29,50090.82,57103.38,87.72
May 2017,CANFINHOME.NS,23066.46,53288.88,59838.31,89.055
Jun 2017,CANFINHOME.NS,24227.81,64843.76,69823.05,92.869
Jul 2017,CANFINHOME.NS,24227.81,61962.19,67097.79000000001,92.346
Aug 2017,CANFINHOME.NS,24227.81,57481.87,62936.65,91.333
Sep 2017,CANFINHOME.NS,24227.81,53249.29,58763.770000000004,90.616
Oct 2017,CANFINHOME.NS,24227.81,48158.15,53874.89,89.389
Nov 2017,CANFINHOME.NS,24227.81,48499.17,53585.64,90.508
Dec 2017,CANFINHOME.NS,24227.81,47425.98,52833.340000000004,89.765
Jan 2018,CANFINHOME.NS,24227.81,45048.91,50150.05,89.828
Feb 2018,SONATSOFTW.NS,15612.84,17178.95,58870.24,29.181
Mar 2018,SONATSOFTW.NS,19314.24,20365.09,57256.18000000001,35.568
Apr 2018,AARTIIND.NS,14593.15,16854.58,65104.12,25.889
May 2018,NAVINFLUOR.NS,20350.25,18149.42,56262.67,32.258
Jun 2018,NAVINFLUOR.NS,24361.52,20318.84,51679.64,39.317
Jul 2018,NAVINFLUOR.NS,24361.52,21610.22,55855.41,38.69
Aug 2018,BAJFINANCE.NS,21941.23,28586.12,60009.909999999996,47.636
Sep 2018,BAJFINANCE.NS,27437.49,26069.6,43313.29,60.188
Oct 2018,BAJFINANCE.NS,27437.49,28649.51,46208.02,62.001
Nov 2018,AARTIIND.NS,19135.07,20949.95,51386.47,40.769
Dec 2018,AARTIIND.NS,23841.09,25728.09,50547.23,50.899
Jan 2019,AARTIIND.NS,26598.18,32064.68,54707.0,58.612
Feb 2019,AARTIIND.NS,30582.38,30811.56,51262.12,60.106
Mar 2019,AARTIIND.NS,32730.96,36850.04,55912.14,65.907
Apr 2019,CHAMBLFERT.NS,15342.54,14397.05,56705.72,25.389
May 2019,KEI.NS,13193.96,16471.31,71843.15000000001,22.927
Jun 2019,SRF.NS,18798.64,21462.1,71151.42,30.164
Jul 2019,SRF.NS,18798.64,19057.83,62724.46,30.383
Aug 2019,CHAMBLFERT.NS,19422.52,18728.53,64318.32,29.118
Sep 2019,KEI.NS,17842.85,22353.74,72437.62000000001,30.859
Oct 2019,BAJFINANCE.NS,20717.49,24607.2,75977.36,32.388
Nov 2019,BAJFINANCE.NS,26375.42,30556.2,74678.11,40.917
Dec 2019,BAJFINANCE.NS,30736.89,36435.66,73148.6,49.81
Jan 2020,BAJFINANCE.NS,33239.48,40146.27,81800.19,49.078
Feb 2020,BAJFINANCE.NS,34423.32,42278.11,77498.04,54.554
Mar 2020,BAJFINANCE.NS,34872.22,21205.03,39999.27,53.014
Apr 2020,BAJFINANCE.NS,35025.33,22343.95,42862.08,52.13
May 2020,BAJFINANCE.NS,35025.33,18831.05,38494.6,48.919
Jun 2020,BAJFINANCE.NS,35025.33,27287.74,51611.58,52.871
Jul 2020,KEI.NS,31548.68,23452.45,60306.87,38.889
Aug 2020,KEI.NS,31548.68,26443.61,67209.58,39.345
Sep 2020,ALKYLAMINE.NS,21951.58,26599.78,67979.85,39.129
Oct 2020,ALKYLAMINE.NS,25986.9,28284.22,65978.09,42.869
Nov 2020,ALKYLAMINE.NS,26992.41,39663.48,80603.91,49.208
Dec 2020,ALKYLAMINE.NS,32571.87,43221.97,80556.52,53.654
Jan 2021,GARFIBRES.NS,20407.19,20229.52,87945.43000000001,23.002
Feb 2021,GARFIBRES.NS,26190.55,29737.59,96703.78,30.751
Mar 2021,GARFIBRES.NS,26190.55,29528.25,95978.44,30.766
Apr 2021,GARFIBRES.NS,26190.55,30147.65,111387.17,27.066
May 2021,ALKYLAMINE.NS,29340.11,39679.42,124362.45,31.906
Jun 2021,ALKYLAMINE.NS,45413.68,54971.16,134652.1,40.825
Jul 2021,ALKYLAMINE.NS,55383.53,78855.47,153584.15000000002,51.343
Aug 2021,ALKYLAMINE.NS,55383.53,76890.57,152462.92,50.432
Sep 2021,ALKYLAMINE.NS,61914.37,74716.75,146401.2,51.036
Oct 2021,ALKYLAMINE.NS,72007.45,79849.16,143168.47999999998,55.773
Nov 2021,ALKYLAMINE.NS,72007.45,70607.08,131570.15,53.665
Dec 2021,ALKYLAMINE.NS,72007.45,78590.89,143902.41999999998,54.614
Jan 2022,ALKYLAMINE.NS,72007.45,74227.93,139681.9,53.141
Feb 2022,ALKYLAMINE.NS,81072.8,74645.31,124044.59999999999,60.176
Mar 2022,ALKYLAMINE.NS,87949.18,77695.07,130490.34000000001,59.541
Apr 2022,ALKYLAMINE.NS,87949.18,86421.18,140103.91,61.684
May 2022,ALKYLAMINE.NS,87949.18,74194.3,121578.87000000001,61.026
Jun 2022,SRF.NS,36418.96,33946.06,103079.13,32.932
Jul 2022,SRF.NS,36418.96,36600.32,112940.76000000001,32.407
Aug 2022,SRF.NS,36418.96,38335.15,127141.33,30.152
Sep 2022,SRF.NS,36418.96,37733.01,118862.27,31.745
Oct 2022,POLYPLEX.NS,48567.75,36159.09,115687.66,31.256
Nov 2022,JWL.NS,47661.92,58942.03,123774.29000000001,47.621
Dec 2022,JWL.NS,52554.82,68147.24,124070.58,54.926
Jan 2023,CHOLAFIN.NS,48419.84,47420.88,148887.72999999998,31.85
Feb 2023,TATACHEM.NS,53997.5,55428.3,141823.19,39.083
Mar 2023,JKPAPER.NS,66399.81,64582.93,139813.5,46.192
Apr 2023,ADANIPOWER.NS,35247.97,51598.34,159925.88,32.264
May 2023,SONATSOFTW.NS,58306.65,66024.43,201311.97,32.797
Jun 2023,KEI.NS,71308.68,86112.72,234204.6,36.768
Jul 2023,KEI.NS,85392.37,105270.08,250673.6,41.995
Aug 2023,DLINKINDIA.NS,99870.73,123223.75,289941.08,42.5
Sep 2023,UGARSUGAR.NS,96700.29,88582.47,286930.54,30.872
Oct 2023,JWL.NS,78926.49,88850.86,299457.15,29.671
Nov 2023,JWL.NS,119595.19,145100.77,323074.27,44.913
Dec 2023,JWL.NS,119595.19,133045.54,337090.08,39.469
Jan 2024,FACT.NS,101546.46,112614.57,372363.92,30.243
