Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
HAVELLS.NS,3.72772,236.93,883.21,1574.2,5868.18
AJANTPHARM.NS,0.90217,554.22,500.0,2452.0,2212.12
KAJARIACER.NS,3.382066,340.82,1152.66,1225.8,4145.74
TCS.NS,0.15034,1108.6,166.67,3112.6,467.95
HINDZINC.NS,19.256456,137.33,2644.43,435.9,8393.89
TITAN.NS,0.324897,323.51,105.11,3618.6,1175.67
WIPRO.NS,1.387755,106.04,147.16,250.36,347.44
AVANTIFEED.NS,1.651507,268.4,443.27,632.3,1044.25
BERGEPAINT.NS,0.217156,207.17,44.99,547.0,118.78
BALKRISIND.NS,0.014659,504.79,7.4,2323.0,34.05
IGL.NS,1.008857,284.41,286.93,210.93,212.8
BRITANNIA.NS,0.234593,2756.71,646.7,5846.5,1371.55
SONATSOFTW.NS,21.974716,186.22,4092.08,354.0,7779.05
MANAPPURAM.NS,7.37121,144.51,1065.24,275.0,2027.08
KEI.NS,10.329271,1270.3,13121.26,3920.3,40493.84
HINDUNILVR.NS,0.112623,1678.97,189.09,2649.5,298.4
ALKYLAMINE.NS,2.7529,1834.95,5051.44,2035.8,5604.35
CHAMBLFERT.NS,24.399027,271.36,6620.85,544.85,13293.81
KNRCON.NS,1.309048,196.61,257.37,193.77,253.65
NMDC.NS,22.179669,197.09,4371.42,69.62,1544.15
KPRMILL.NS,1.464401,483.48,708.01,985.0,1442.43
ACE.NS,5.946555,316.02,1879.2,1071.5,6371.73
FACT.NS,23.289524,460.06,10714.65,952.25,22177.45
PERSISTENT.NS,1.312116,2543.15,3336.91,5420.0,7111.67
HGINFRA.NS,4.714019,891.64,4203.22,992.05,4676.54
JBCHEPHARM.NS,0.065959,1022.21,67.42,1725.5,113.81
LTIM.NS,0.015184,4440.55,67.42,5197.0,78.91
PNCINFRA.NS,11.303705,384.2,4342.89,303.1,3426.15
BEL.NS,45.753738,144.1,6592.95,373.9,17107.32
REDINGTON.NS,12.185531,172.63,2103.65,243.89,2971.93
HAL.NS,3.300899,3630.31,11983.29,4429.6,14621.66
SUPREMEIND.NS,0.622382,4449.85,2769.51,4574.8,2847.27
MSTCLTD.NS,6.621719,861.06,5701.72,458.75,3037.71
SARDAEN.NS,16.821885,494.65,8320.92,601.2,10113.32
POLYCAB.NS,0.418235,6705.08,2804.3,7144.5,2988.08
PCBL.NS,5.704505,388.04,2213.57,374.85,2138.33
TVSMOTOR.NS,0.341144,2858.2,975.06,3356.2,1144.95
WELENT.NS,0.378263,418.85,158.44,470.0,177.78
FIEMIND.NS,3.098139,1774.57,5497.86,2192.4,6792.36
GABRIEL.NS,3.127444,576.85,1804.08,1226.45,3835.65
CHOLAFIN.NS,2.635875,1458.5,3844.43,1453.8,3832.04
TI.NS,12.196454,303.43,3700.77,480.75,5863.45
M&M.NS,0.20541,2928.8,601.61,3315.4,681.02
WELCORP.NS,0.524841,911.65,478.47,848.45,445.3
ECLERX.NS,0.453735,4496.8,2040.36,4496.8,2040.36
NATIONALUM.NS,10.638486,191.79,2040.36,191.79,2040.36
JINDALSTEL.NS,2.119079,962.85,2040.36,962.85,2040.36
