Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Jul 2014,2014-07-31,12000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,11000.0,1067.28,0
Aug 2014,2014-08-28,11000.0,1245.53,1020.461201,164.69,1000.0,164.69,1164.69,10000.0,2361.33,1
Sep 2014,2014-09-30,10000.0,2408.87,1034.072399,0.0,1000.0,0.0,1000.0,9000.0,3447.79,0
Oct 2014,2014-10-31,9000.0,3572.39,1047.699096,0.0,1000.0,0.0,1000.0,8000.0,4637.51,0
Nov 2014,2014-11-28,8000.0,4916.9,1076.408608,153.68,1000.0,153.68,1153.68,7000.0,5928.3,1
Dec 2014,2014-12-31,7000.0,5739.44,1061.620027,0.0,1000.0,0.0,1000.0,6000.0,6736.93,0
Jan 2015,2015-01-30,6000.0,7486.92,1123.909604,0.0,1000.0,0.0,1000.0,5000.0,8571.86,0
Feb 2015,2015-02-27,5000.0,8897.23,1158.102411,0.0,1000.0,0.0,1000.0,4000.0,9928.25,0
Mar 2015,2015-03-31,4000.0,10160.42,1180.034652,0.0,1000.0,0.0,1000.0,3000.0,11180.77,0
Apr 2015,2015-04-30,3000.0,11173.42,1181.118096,134.55,1000.0,134.55,1134.55,2000.0,12149.96,1
May 2015,2015-05-29,2000.0,12429.44,1202.453646,0.0,1000.0,0.0,1000.0,1000.0,13451.72,0
Jun 2015,2015-06-30,1000.0,14515.89,1292.990984,0.0,1000.0,0.0,1000.0,0.0,15582.4,0
Jul 2015,2015-07-31,0.0,16611.26,1384.271496,1282.2,0.0,1282.2,1282.2,0.0,16770.06,8
Aug 2015,2015-08-31,0.0,16297.03,1358.085645,669.89,0.0,669.89,669.89,0.0,16257.73,2
Sep 2015,2015-09-30,0.0,17821.38,1485.115072,525.54,0.0,525.54,525.54,0.0,17874.61,2
Oct 2015,2015-10-30,0.0,18062.58,1505.214889,882.94,0.0,882.94,882.94,0.0,18103.74,2
Nov 2015,2015-11-30,0.0,18520.61,1543.384453,775.42,0.0,775.42,775.42,0.0,18591.71,3
Dec 2015,2015-12-31,0.0,19648.64,1637.386923,0.0,0.0,0.0,0.0,0.0,19648.64,0
Jan 2016,2016-01-29,0.0,18955.59,1579.632449,276.26,0.0,276.26,276.26,0.0,18938.32,2
Feb 2016,2016-02-29,0.0,17687.47,1473.956136,863.63,0.0,863.63,863.63,0.0,17608.0,6
Mar 2016,2016-03-31,0.0,20355.3,1696.275002,262.3,0.0,262.3,262.3,0.0,20391.3,2
