Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Jul 2014,2014-07-31,12000.0,0.0,12000.0,0.0,1000.0,0.0,1000.0,11000.0,1073.55,0
Aug 2014,2014-08-28,11000.0,1224.91,12224.912759,431.44,1000.0,431.44,1431.44,10000.0,2502.84,2
Sep 2014,2014-09-30,10000.0,2565.74,12565.740696,1940.52,1000.0,1940.52,2940.52,9000.0,3655.46,4
Oct 2014,2014-10-31,9000.0,3686.91,12686.912738,873.62,1000.0,873.62,1873.62,8000.0,4750.55,2
Nov 2014,2014-11-28,8000.0,5033.09,13033.09374,2386.75,1000.0,2386.75,3386.75,7000.0,6239.8,3
Dec 2014,2014-12-31,7000.0,6703.73,13703.725978,1892.67,1000.0,1892.67,2892.67,6000.0,7688.3,2
Jan 2015,2015-01-30,6000.0,8859.24,14859.241119,3746.63,1000.0,3746.63,4746.63,5000.0,10272.97,2
Feb 2015,2015-02-27,5000.0,10532.15,15532.148207,1405.4,1000.0,1405.4,2405.4,4000.0,11688.48,2
Mar 2015,2015-03-31,4000.0,11890.76,15890.757497,6306.52,1000.0,6306.52,7306.52,3000.0,13228.76,2
Apr 2015,2015-04-30,3000.0,13201.43,16201.432116,4470.88,1000.0,4470.88,5470.88,2000.0,14092.87,3
May 2015,2015-05-29,2000.0,13705.92,15705.917596,3050.62,1000.0,3050.62,4050.62,1000.0,14665.4,2
Jun 2015,2015-06-30,1000.0,15931.35,16931.349803,1754.52,1000.0,1754.52,2754.52,0.0,17116.45,1
Jul 2015,2015-07-31,0.0,19212.02,19212.020732,9737.95,0.0,9737.95,9737.95,0.0,20207.93,3
Aug 2015,2015-08-31,0.0,18748.69,18748.686265,12719.95,0.0,12719.95,12719.95,0.0,17851.88,3
Sep 2015,2015-09-30,0.0,19136.38,19136.377835,8093.85,0.0,8093.85,8093.85,0.0,19797.35,3
Oct 2015,2015-10-30,0.0,19944.31,19944.308848,6277.75,0.0,6277.75,6277.75,0.0,20351.83,2
Nov 2015,2015-11-30,0.0,21462.48,21462.484795,16214.14,0.0,16214.14,16214.14,0.0,22901.57,3
Dec 2015,2015-12-31,0.0,24521.47,24521.472484,11629.78,0.0,11629.78,11629.78,0.0,24856.25,2
Jan 2016,2016-01-29,0.0,24275.39,24275.38515,3593.92,0.0,3593.92,3593.92,0.0,24078.95,2
Feb 2016,2016-02-29,0.0,23906.57,23906.567764,10031.9,0.0,10031.9,10031.9,0.0,22919.72,4
Mar 2016,2016-03-31,0.0,27126.25,27126.254667,14248.9,0.0,14248.9,14248.9,0.0,28533.64,3
Apr 2016,2016-04-29,0.0,29700.62,29700.6175,10206.29,0.0,10206.29,10206.29,0.0,30254.21,3
May 2016,2016-05-31,0.0,30591.18,30591.179506,4455.74,0.0,4455.74,4455.74,0.0,30484.57,2
Jun 2016,2016-06-30,0.0,31235.42,31235.417013,2876.75,0.0,2876.75,2876.75,0.0,31260.72,1
Jul 2016,2016-07-29,0.0,34461.32,34461.31982,2843.59,0.0,2843.59,2843.59,0.0,34732.11,3
Aug 2016,2016-08-31,0.0,38147.43,38147.434878,2772.37,0.0,2772.37,2772.37,0.0,38227.52,2
Sep 2016,2016-09-30,0.0,40041.35,40041.352643,15285.69,0.0,15285.69,15285.69,0.0,40730.71,5
Oct 2016,2016-10-28,0.0,44226.78,44226.780646,4966.95,0.0,4966.95,4966.95,0.0,44227.15,2
Nov 2016,2016-11-30,0.0,40722.63,40722.627104,3819.99,0.0,3819.99,3819.99,0.0,40462.98,3
Dec 2016,2016-12-30,0.0,38216.71,38216.713962,1900.8,0.0,1900.8,1900.8,0.0,38161.84,2
Jan 2017,2017-01-31,0.0,43451.37,43451.367948,338.83,0.0,338.83,338.83,0.0,43483.37,1
Feb 2017,2017-02-28,0.0,45178.24,45178.239874,5348.71,0.0,5348.71,5348.71,0.0,45371.23,5
Mar 2017,2017-03-31,0.0,49755.41,49755.411337,6520.62,0.0,6520.62,6520.62,0.0,49945.95,2
Apr 2017,2017-04-28,0.0,60246.3,60246.303898,3616.36,0.0,3616.36,3616.36,0.0,60527.29,2
May 2017,2017-05-31,0.0,64494.77,64494.772344,10367.26,0.0,10367.26,10367.26,0.0,63425.47,4
Jun 2017,2017-06-30,0.0,73074.23,73074.232032,7226.98,0.0,7226.98,7226.98,0.0,73457.84,4
Jul 2017,2017-07-31,0.0,71289.57,71289.572733,3868.3,0.0,3868.3,3868.3,0.0,71449.44,3
Aug 2017,2017-08-31,0.0,66932.16,66932.162713,3030.94,0.0,3030.94,3030.94,0.0,66931.1,4
Sep 2017,2017-09-29,0.0,62873.29,62873.291915,4611.1,0.0,4611.1,4611.1,0.0,62761.67,2
Oct 2017,2017-10-31,0.0,57922.1,57922.100386,1678.44,0.0,1678.44,1678.44,0.0,57981.15,2
Nov 2017,2017-11-30,0.0,57684.12,57684.115402,5128.05,0.0,5128.05,5128.05,0.0,57491.37,3
Dec 2017,2017-12-29,0.0,56595.68,56595.682459,4324.32,0.0,4324.32,4324.32,0.0,56905.24,3
Jan 2018,2018-01-31,0.0,53874.94,53874.940807,1300.51,0.0,1300.51,1300.51,0.0,53838.48,2
Feb 2018,2018-02-28,0.0,63263.94,63263.936396,60831.72,0.0,60831.72,60831.72,0.0,63214.84,9
Mar 2018,2018-03-28,0.0,61703.09,61703.090442,0.0,0.0,0.0,0.0,0.0,61703.09,0
Apr 2018,2018-04-30,0.0,68999.47,68999.472334,30196.91,0.0,30196.91,30196.91,0.0,70680.16,2
May 2018,2018-05-31,0.0,62493.2,62493.197948,23426.27,0.0,23426.27,23426.27,0.0,61346.94,3
Jun 2018,2018-06-29,0.0,55154.73,55154.72953,7057.46,0.0,7057.46,7057.46,0.0,54931.32,1
