Ticker,Avg_Holding_Days,Avg_Holding_Months,Avg_Return_Pct
JSWSTEEL.NS,120.8,3.97,-4.02
HERITGFOOD.NS,232.6,7.64,42.33
ARVIND.NS,109.4,3.6,-17.55
BPCL.NS,602.1,19.78,19.26
TATASTEEL.NS,363.3,11.93,102.05
ASTRAL.NS,197.0,6.47,-6.28
VTL.NS,395.0,12.98,135.52
VAKRANGEE.NS,552.5,18.15,-17.17
CHOLAFIN.NS,426.2,14.0,53.51
LT.NS,355.1,11.66,69.0
AARTIIND.NS,1065.5,35.0,246.01
WHEELS.NS,378.3,12.43,-11.68
KPRMILL.NS,940.1,30.88,9.35
BBTC.NS,546.0,17.94,55.84
BLUEDART.NS,301.0,9.89,-8.82
TATAELXSI.NS,486.0,15.97,210.17
SONATSOFTW.NS,58.8,1.93,-8.19
M&M.NS,257.6,8.46,-6.19
NOCIL.NS,338.1,11.11,50.74
GREENPLY.NS,59.0,1.94,-14.49
JKTYRE.NS,342.9,11.26,-9.79
TVTODAY.NS,214.0,7.03,-7.65
FINCABLES.NS,564.5,18.55,-35.47
LAOPALA.NS,704.6,23.15,34.21
KEC.NS,310.5,10.2,69.48
HIMATSEIDE.NS,119.0,3.91,-1.66
HINDPETRO.NS,294.8,9.68,64.92
KRBL.NS,149.0,4.89,-0.17
DCMSHRIRAM.NS,191.8,6.3,-11.08
ATUL.NS,1264.6,41.55,119.35
CEATLTD.NS,108.7,3.57,-21.65
MRF.NS,193.7,6.36,-8.87
APLAPOLLO.NS,222.2,7.3,40.65
TIDEWATER.NS,407.8,13.4,35.39
VSTIND.NS,888.9,29.2,467.2
FINPIPE.NS,240.8,7.91,24.86
TRIDENT.NS,173.8,5.71,-11.54
NAVINFLUOR.NS,251.7,8.27,34.31
CANFINHOME.NS,951.0,31.24,208.0
EICHERMOT.NS,190.6,6.26,-13.52
IOC.NS,312.6,10.27,-19.92
JCHAC.NS,59.0,1.94,-1.27
