Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
HAVELLS.NS,4.381174,239.63,1049.87,1574.2,6896.84
AJANTPHARM.NS,0.6554,573.94,376.16,2452.0,1607.04
KAJARIACER.NS,1.091567,327.43,357.41,1225.8,1338.04
HINDZINC.NS,14.759447,136.29,2011.59,435.9,6433.64
WIPRO.NS,1.387755,106.04,147.16,250.36,347.44
AVANTIFEED.NS,2.702208,255.25,689.74,632.3,1708.61
BERGEPAINT.NS,0.206722,207.17,42.83,547.0,113.08
SONATSOFTW.NS,27.833094,178.11,4957.32,354.0,9852.92
IGL.NS,0.096117,304.32,29.25,210.93,20.27
MANAPPURAM.NS,8.95715,144.42,1293.55,275.0,2463.22
KEI.NS,13.386854,961.83,12875.81,3920.3,52480.48
ALKYLAMINE.NS,2.524825,1154.27,2914.33,2035.8,5140.04
CHAMBLFERT.NS,31.158518,281.95,8785.19,544.85,16976.72
KNRCON.NS,1.611758,196.61,316.88,193.77,312.31
NMDC.NS,31.32384,203.26,6366.78,69.62,2180.77
FACT.NS,18.756865,125.87,2360.89,952.25,17861.22
KPRMILL.NS,2.48893,493.43,1228.1,985.0,2451.6
ACE.NS,13.779934,308.49,4250.97,1071.5,14765.2
CHOLAFIN.NS,6.831298,1325.65,9055.91,1453.8,9931.34
HGINFRA.NS,4.89151,857.13,4192.65,992.05,4852.62
JBCHEPHARM.NS,0.619166,1022.21,632.92,1725.5,1068.37
LTIM.NS,0.142531,4440.55,632.92,5197.0,740.74
REDINGTON.NS,9.278973,172.63,1601.87,243.89,2263.05
BEL.NS,30.711831,156.61,4809.82,373.9,11483.15
BAJAJ-AUTO.NS,0.04872,4630.81,225.61,8967.0,436.87
HAL.NS,3.247191,3169.94,10293.39,4429.6,14383.76
PERSISTENT.NS,0.759951,4013.43,3050.01,5420.0,4118.93
GRSE.NS,3.071961,817.18,2510.34,2485.0,7633.82
WABAG.NS,2.828257,1424.31,4028.32,1491.6,4218.63
MSTCLTD.NS,4.133102,852.98,3525.47,458.75,1896.06
SARDAEN.NS,17.914261,477.61,8556.11,601.2,10770.05
POLYCAB.NS,0.448136,6705.08,3004.79,7144.5,3201.71
PCBL.NS,20.074042,405.48,8139.67,374.85,7524.75
ECLERX.NS,0.807606,3085.82,2492.13,4496.8,3631.64
FIEMIND.NS,6.150425,1720.93,10584.45,2192.4,13484.19
WELENT.NS,0.250173,418.85,104.79,470.0,117.58
ULTRACEMCO.NS,0.150287,11174.65,1679.41,12826.0,1927.58
GABRIEL.NS,0.230855,453.9,104.79,1226.45,283.13
TI.NS,24.108862,333.28,8034.89,480.75,11590.34
M&M.NS,0.464612,2983.1,1385.98,3315.4,1540.37
WELCORP.NS,1.524281,911.65,1389.61,848.45,1293.28
VEDL.NS,6.412403,424.45,2721.74,431.0,2763.75
JINDALSTEL.NS,2.343191,962.85,2256.14,962.85,2256.14
NATIONALUM.NS,11.763601,191.79,2256.14,191.79,2256.14
LT.NS,0.626984,3598.4,2256.14,3598.4,2256.14
