Month,Date,Stock,Liquidated_Qty,Liquidated_Amount,Reason,Remaining_Qty,Portfolio_Value_After
Aug 2014,2014-08-28,ADANIPORTS.NS,0.055534,14.91,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,AIAENG.NS,0.017969,14.74,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,ASIANPAINT.NS,0.023707,13.71,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,ATFL.NS,0.022449,11.91,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,ATUL.NS,0.015059,19.55,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,BAJAJ-AUTO.NS,0.007271,12.67,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,BRITANNIA.NS,0.029001,15.86,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,CARERATING.NS,0.015431,14.67,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,COALINDIA.NS,0.076499,11.88,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,COLPAL.NS,0.020284,12.87,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,CUMMINSIND.NS,0.023397,13.49,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,DABUR.NS,0.076378,15.95,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,DBCORP.NS,0.058513,12.88,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,DIVISLAB.NS,0.019363,13.82,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,EXIDEIND.NS,0.096976,14.14,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,FDC.NS,0.094903,14.37,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,GODREJCP.NS,0.050942,15.63,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,HEROMOTOCO.NS,0.006602,13.1,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,HINDUNILVR.NS,0.02408,15.14,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,ICRA.NS,0.005431,12.95,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,IGL.NS,0.197149,12.87,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,ITC.NS,0.078892,14.01,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,JAGRAN.NS,0.126833,11.7,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,JUBLFOOD.NS,0.100933,12.78,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,JYOTISTRUC.NS,0.207284,8.78,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,KAJARIACER.NS,0.052101,15.82,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,KSCL.NS,0.018351,15.26,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,LUPIN.NS,0.012935,15.74,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,MARICO.NS,0.1193,14.0,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,MMTC.NS,0.206728,9.96,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,MOIL.NS,0.108894,11.71,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,NAUKRI.NS,0.019823,14.42,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,NAVNETEDUL.NS,0.19233,15.56,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,NBCC.NS,0.892619,14.6,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,NMDC.NS,0.206387,11.87,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,OIL.NS,0.111942,13.34,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,PAGEIND.NS,0.001963,12.79,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,PERSISTENT.NS,0.052969,14.8,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,PIDILITIND.NS,0.04204,16.22,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,PIIND.NS,0.040788,17.69,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,RALLIS.NS,0.067672,13.61,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,SUNDARMFIN.NS,0.018835,13.33,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,SUNTV.NS,0.037513,9.84,Not in good list (full),0.0,385.57
Aug 2014,2014-08-28,TCS.NS,0.012411,13.58,Not in good list (full),0.0,385.57
