Ticker,Avg_Holding_Days,Avg_Holding_Months,Avg_Return_Pct
FDC.NS,60.0,1.97,-2.76
IGL.NS,346.6,11.39,39.18
ENGINERSIN.NS,392.3,12.89,-28.31
BERGEPAINT.NS,58.0,1.91,-1.16
BALKRISIND.NS,462.4,15.19,56.77
CENTURYPLY.NS,57.0,1.87,-6.44
ICRA.NS,57.0,1.87,-4.36
AIAENG.NS,58.2,1.91,-12.21
AJANTPHARM.NS,405.9,13.33,75.07
ASTRAL.NS,356.0,11.69,1.94
TORNTPHARM.NS,537.3,17.65,59.16
HINDUNILVR.NS,367.2,12.06,37.64
NAUKRI.NS,394.0,12.94,8.35
KKCL.NS,277.0,9.1,1.45
KAJARIACER.NS,306.9,10.08,8.76
BRITANNIA.NS,371.1,12.19,4.61
ECLERX.NS,762.5,25.05,64.54
MUNJALSHOW.NS,270.0,8.87,-7.0
JUBLFOOD.NS,361.0,11.86,-34.7
RATNAMANI.NS,575.2,18.9,12.24
VSTIND.NS,613.5,20.15,253.14
ZENSARTECH.NS,582.8,19.14,11.79
VINATIORGA.NS,267.7,8.79,-4.97
INFY.NS,394.2,12.95,34.95
TVSSRICHAK.NS,425.0,13.96,73.84
BAJFINANCE.NS,478.1,15.71,119.9
VGUARD.NS,400.5,13.16,48.53
TIDEWATER.NS,402.6,13.23,28.36
AARTIIND.NS,452.2,14.85,46.38
RECLTD.NS,281.5,9.25,-20.69
VAKRANGEE.NS,368.6,12.11,147.18
KRBL.NS,176.0,5.78,-13.36
RUPA.NS,176.0,5.78,-11.17
WIPRO.NS,183.4,6.03,-6.68
NBCC.NS,180.0,5.91,-19.96
DIVISLAB.NS,75.6,2.48,-3.62
NAVNETEDUL.NS,455.0,14.95,-31.51
GREENPLY.NS,364.0,11.96,-22.13
BAJAJ-AUTO.NS,1266.4,41.6,160.13
PERSISTENT.NS,340.8,11.2,85.85
RELAXO.NS,395.8,13.0,24.09
PAGEIND.NS,393.0,12.91,4.86
COLPAL.NS,59.3,1.95,-7.16
AUROPHARMA.NS,264.7,8.69,2.47
PCJEWELLER.NS,285.8,9.39,-79.22
TCS.NS,389.7,12.8,12.66
APLLTD.NS,329.6,10.83,-8.0
OFSS.NS,393.3,12.92,14.76
GULFOILLUB.NS,161.6,5.31,-19.24
AVANTIFEED.NS,580.2,19.06,-3.67
CHOLAFIN.NS,607.8,19.97,-28.61
BPCL.NS,318.0,10.45,-13.46
HINDPETRO.NS,336.5,11.06,-20.98
ALKYLAMINE.NS,386.0,12.68,155.87
BHARATRAS.NS,394.0,12.94,76.68
TECHM.NS,1256.9,41.29,144.46
CAPLIPOINT.NS,392.0,12.88,46.01
DHANUKA.NS,408.4,13.42,-8.11
BEL.NS,399.9,13.14,84.47
SHARDACROP.NS,406.1,13.34,-19.68
COFORGE.NS,56.3,1.85,-3.28
SUDARSCHEM.NS,860.8,28.28,12.93
STLTECH.NS,484.0,15.9,-30.85
KPRMILL.NS,444.0,14.59,11.27
SONATSOFTW.NS,1018.1,33.45,95.99
ASAL.NS,534.9,17.57,389.08
DCMSHRIRAM.NS,444.8,14.61,-2.03
LUXIND.NS,270.0,8.87,-52.7
EKC.NS,89.4,2.94,-42.2
DWARKESH.NS,60.0,1.97,-16.47
FCL.NS,120.0,3.94,-18.74
KEI.NS,397.3,13.05,80.44
FACT.NS,335.1,11.01,46.64
COCHINSHIP.NS,94.7,3.11,-13.9
GHCL.NS,334.0,10.97,-17.06
MANGCHEFER.NS,240.0,7.88,-24.5
GNA.NS,91.0,2.99,-19.48
GOKULAGRO.NS,58.0,1.91,-9.91
BALRAMCHIN.NS,599.2,19.69,1.71
COALINDIA.NS,379.8,12.48,81.7
SOLARINDS.NS,393.0,12.91,45.49
TVSMOTOR.NS,393.8,12.94,65.56
HINDZINC.NS,1161.4,38.15,58.46
TI.NS,300.2,9.86,32.75
UGARSUGAR.NS,117.2,3.85,-23.04
PITTIENG.NS,469.6,15.43,109.6
REFEX.NS,223.3,7.33,139.23
TEMBO.NS,58.0,1.91,-0.69
SAKSOFT.NS,87.0,2.86,-3.34
SALASAR.NS,400.8,13.17,136.58
UTTAMSUGAR.NS,394.0,12.94,24.41
MOLDTECH.NS,90.0,2.96,-13.66
BANCOINDIA.NS,393.0,12.91,175.04
GPTINFRA.NS,395.2,12.98,135.97
GRAVITA.NS,394.9,12.97,116.57
ACE.NS,395.0,12.98,243.69
PRECWIRE.NS,393.0,12.91,96.99
AARTIDRUGS.NS,1320.4,43.38,-25.84
POLYPLEX.NS,884.0,29.04,-35.62
HAL.NS,390.8,12.84,27.8
GEEKAYWIRE.NS,394.8,12.97,77.97
MSTCLTD.NS,60.0,1.97,-2.9
NEWGEN.NS,394.4,12.96,85.15
NMDC.NS,266.7,8.76,-74.46
GODFRYPHLP.NS,445.5,14.64,119.09
PCBL.NS,106.2,3.49,-21.08
GRANULES.NS,165.0,5.42,-23.64
IIFLSEC.NS,127.4,4.18,-40.69
DIXON.NS,56.0,1.84,-9.02
GPIL.NS,546.0,17.94,-69.43
MUTHOOTFIN.NS,86.0,2.83,-0.12
GOKEX.NS,537.8,17.67,0.63
SHARDAMOTR.NS,321.4,10.56,-57.17
SUVENPHAR.NS,91.0,2.99,-7.08
ASTRAZEN.NS,129.4,4.25,-1.86
