Month,Allowed_Limit,Possible_Liquidation,Excess
Jun 2015,1173.48,1455.12,281.64
Nov 2015,1394.03,1773.46,379.43
Feb 2016,1217.3,1460.84,243.53
Aug 2016,2072.06,2389.28,317.22
Oct 2016,2129.63,2217.88,88.25
Nov 2016,2045.34,14142.8,12097.46
May 2017,2556.87,2994.2,437.33
Jul 2017,2981.68,3948.74,967.06
Nov 2017,3805.79,19863.54,16057.75
Apr 2018,3874.53,10681.26,6806.74
Jul 2018,3544.36,11009.93,7465.56
Nov 2018,3332.41,10557.08,7224.67
Jul 2019,3266.15,4502.81,1236.65
Nov 2019,3687.2,4407.25,720.05
Dec 2019,3737.82,8084.08,4346.27
Jul 2020,3565.17,6546.77,2981.6
Jul 2021,7716.62,10381.56,2664.93
Oct 2021,8187.69,24541.68,16353.99
Jan 2022,12029.6,22643.43,10613.83
Jul 2022,10938.97,12153.3,1214.33
Sep 2022,10131.8,41102.49,30970.7
May 2023,10182.38,32416.07,22233.7
Sep 2023,13186.71,40003.54,26816.84
Nov 2023,15171.21,25434.03,10262.83
Dec 2023,16891.61,25107.09,8215.49
May 2024,17802.25,40338.17,22535.92
Sep 2024,24751.67,38902.4,14150.73
Dec 2024,21417.19,33043.54,11626.35
Feb 2025,15763.85,38615.72,22851.87
Mar 2025,16958.34,50789.97,33831.64
May 2025,21105.9,36084.74,14978.84
Jul 2025,20426.18,44958.87,24532.7
