Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Jul 2014,2014-07-31,12000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,11000.0,1108.96
Aug 2014,2014-08-28,11000.0,1085.95,1007.162296,0.0,0.0,1000.0,0.0,1000.0,10000.0,2056.78
Sep 2014,2014-09-30,10000.0,2250.76,1020.896977,0.0,0.0,1000.0,0.0,1000.0,9000.0,3280.21
Oct 2014,2014-10-31,9000.0,3386.98,1032.247961,0.0,162.07,1000.0,162.07,1162.07,8000.0,4403.37
Nov 2014,2014-11-28,8000.0,4654.28,1054.522985,0.0,0.0,1000.0,0.0,1000.0,7000.0,5736.22
Dec 2014,2014-12-31,7000.0,5814.36,1067.863204,0.0,0.0,1000.0,0.0,1000.0,6000.0,6826.25
Jan 2015,2015-01-30,6000.0,7028.87,1085.739338,0.0,0.0,1000.0,0.0,1000.0,5000.0,8043.07
Feb 2015,2015-02-27,5000.0,8205.19,1100.432432,0.0,0.0,1000.0,0.0,1000.0,4000.0,9202.53
Mar 2015,2015-03-31,4000.0,9370.45,1114.20386,0.0,150.65,1000.0,150.65,1150.65,3000.0,10355.71
Apr 2015,2015-04-30,3000.0,10727.76,1143.979966,0.0,0.0,1000.0,0.0,1000.0,2000.0,11750.21
May 2015,2015-05-29,2000.0,12183.21,1181.93443,0.0,406.72,1000.0,406.72,1406.72,1000.0,13215.27
Jun 2015,2015-06-30,1000.0,13081.79,1173.482841,0.0,1455.12,1000.0,1455.12,2455.12,0.0,14028.02
Jul 2015,2015-07-31,0.0,15190.91,1265.909443,0.0,582.09,0.0,582.09,582.09,0.0,15252.77
Aug 2015,2015-08-31,0.0,16379.62,1364.968308,0.0,848.84,0.0,848.84,848.84,0.0,16300.06
Sep 2015,2015-09-30,0.0,16333.3,1361.108526,0.0,868.36,0.0,868.36,868.36,0.0,16366.65
Oct 2015,2015-10-30,0.0,16960.62,1413.384739,0.0,434.85,0.0,434.85,434.85,0.0,16973.4
Nov 2015,2015-11-30,0.0,16728.36,1394.030102,0.0,1773.46,0.0,1773.46,1773.46,0.0,16780.08
Dec 2015,2015-12-31,0.0,16974.45,1414.537384,0.0,231.16,0.0,231.16,231.16,0.0,16986.53
Jan 2016,2016-01-29,0.0,15951.58,1329.298109,0.0,591.76,0.0,591.76,591.76,0.0,15936.28
Feb 2016,2016-02-29,0.0,14607.64,1217.303748,0.0,1460.84,0.0,1460.84,1460.84,0.0,14505.12
Mar 2016,2016-03-31,0.0,16010.81,1334.234358,0.0,232.54,0.0,232.54,232.54,0.0,16029.66
Apr 2016,2016-04-29,0.0,16493.5,1374.458223,0.0,131.57,0.0,131.57,131.57,0.0,16492.67
May 2016,2016-05-31,0.0,16512.94,1376.078641,0.0,554.75,0.0,554.75,554.75,0.0,16511.43
Jun 2016,2016-06-30,0.0,17030.86,1419.238145,0.0,0.0,0.0,0.0,0.0,0.0,17030.86
Jul 2016,2016-07-29,0.0,19056.78,1588.064752,0.0,92.39,0.0,92.39,92.39,0.0,19066.55
Aug 2016,2016-08-31,0.0,24864.7,2072.058271,0.0,2389.28,0.0,2389.28,2389.28,0.0,25345.64
Sep 2016,2016-09-30,0.0,24745.2,2062.099636,0.0,0.0,0.0,0.0,0.0,0.0,24745.2
Oct 2016,2016-10-28,0.0,25555.58,2129.631586,0.0,2217.88,0.0,2217.88,2217.88,0.0,25663.72
Nov 2016,2016-11-30,0.0,24544.07,2045.339518,0.0,14142.8,0.0,14142.8,14142.8,0.0,23765.45
Dec 2016,2016-12-30,0.0,23441.63,1953.468831,0.0,0.0,0.0,0.0,0.0,0.0,23441.63
Jan 2017,2017-01-31,0.0,26238.68,2186.557061,0.0,0.0,0.0,0.0,0.0,0.0,26238.68
Feb 2017,2017-02-28,0.0,28242.27,2353.522097,0.0,0.0,0.0,0.0,0.0,0.0,28242.27
Mar 2017,2017-03-31,0.0,29421.31,2451.775452,0.0,0.0,0.0,0.0,0.0,0.0,29421.31
Apr 2017,2017-04-28,0.0,30857.02,2571.418738,0.0,0.0,0.0,0.0,0.0,0.0,30857.02
May 2017,2017-05-31,0.0,30682.45,2556.87082,0.0,2994.2,0.0,2994.2,2994.2,0.0,31003.76
Jun 2017,2017-06-30,0.0,32871.14,2739.261769,0.0,451.85,0.0,451.85,451.85,0.0,32879.73
Jul 2017,2017-07-31,0.0,35780.15,2981.679574,0.0,3948.74,0.0,3948.74,3948.74,0.0,36028.59
Aug 2017,2017-08-31,0.0,37241.69,3103.474019,0.0,2530.65,0.0,2530.65,2530.65,0.0,37209.97
Sep 2017,2017-09-29,0.0,38362.42,3196.868685,0.0,0.0,0.0,0.0,0.0,0.0,38362.42
Oct 2017,2017-10-31,0.0,41793.91,3482.825452,0.0,3009.16,0.0,3009.16,3009.16,0.0,42123.8
Nov 2017,2017-11-30,0.0,45669.44,3805.786813,0.0,19863.54,0.0,19863.54,19863.54,0.0,46161.86
Dec 2017,2017-12-29,0.0,48345.47,4028.789018,0.0,0.0,0.0,0.0,0.0,0.0,48345.47
Jan 2018,2018-01-31,0.0,45864.91,3822.076244,0.0,0.0,0.0,0.0,0.0,0.0,45864.91
Feb 2018,2018-02-28,0.0,43715.34,3642.944682,0.0,808.07,0.0,808.07,808.07,0.0,43664.38
Mar 2018,2018-03-28,0.0,42168.33,3514.027284,0.0,880.06,0.0,880.06,880.06,0.0,42149.39
Apr 2018,2018-04-30,0.0,46494.32,3874.52635,0.0,10681.26,0.0,10681.26,10681.26,0.0,47628.36
May 2018,2018-05-31,0.0,41988.7,3499.058121,0.0,0.0,0.0,0.0,0.0,0.0,41988.7
Jun 2018,2018-06-29,0.0,40196.52,3349.710374,0.0,2385.74,0.0,2385.74,2385.74,0.0,40164.77
Jul 2018,2018-07-31,0.0,42532.36,3544.362938,0.0,11009.93,0.0,11009.93,11009.93,0.0,43289.42
Aug 2018,2018-08-31,0.0,45803.55,3816.962815,0.0,902.52,0.0,902.52,902.52,0.0,45853.35
Sep 2018,2018-09-28,0.0,40805.95,3400.495931,0.0,0.0,0.0,0.0,0.0,0.0,40805.95
Oct 2018,2018-10-31,0.0,41087.93,3423.994233,0.0,655.45,0.0,655.45,655.45,0.0,41038.5
Nov 2018,2018-11-30,0.0,39988.86,3332.405203,0.0,10557.08,0.0,10557.08,10557.08,0.0,39862.8
Dec 2018,2018-12-31,0.0,40159.57,3346.630704,0.0,315.42,0.0,315.42,315.42,0.0,40153.74
Jan 2019,2019-01-31,0.0,40342.46,3361.871953,0.0,0.0,0.0,0.0,0.0,0.0,40342.46
Feb 2019,2019-02-28,0.0,40719.63,3393.302276,0.0,0.0,0.0,0.0,0.0,0.0,40719.63
Mar 2019,2019-03-29,0.0,42615.06,3551.255355,0.0,347.04,0.0,347.04,347.04,0.0,42607.24
Apr 2019,2019-04-30,0.0,43249.19,3604.099112,0.0,2070.41,0.0,2070.41,2070.41,0.0,43285.94
