Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Jul 2014,2014-07-31,12000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,11000.0,1108.96,0
Aug 2014,2014-08-28,11000.0,1085.95,1007.162296,0.0,1000.0,0.0,1000.0,10000.0,2056.78,0
Sep 2014,2014-09-30,10000.0,2250.76,1020.896977,0.0,1000.0,0.0,1000.0,9000.0,3280.21,0
Oct 2014,2014-10-31,9000.0,3386.98,1032.247961,162.07,1000.0,162.07,1162.07,8000.0,4403.37,1
Nov 2014,2014-11-28,8000.0,4654.28,1054.522985,0.0,1000.0,0.0,1000.0,7000.0,5736.22,0
Dec 2014,2014-12-31,7000.0,5814.36,1067.863204,0.0,1000.0,0.0,1000.0,6000.0,6826.25,0
Jan 2015,2015-01-30,6000.0,7028.87,1085.739338,0.0,1000.0,0.0,1000.0,5000.0,8043.07,0
Feb 2015,2015-02-27,5000.0,8205.19,1100.432432,0.0,1000.0,0.0,1000.0,4000.0,9202.53,0
Mar 2015,2015-03-31,4000.0,9370.45,1114.20386,150.65,1000.0,150.65,1150.65,3000.0,10355.71,1
Apr 2015,2015-04-30,3000.0,10727.76,1143.979966,0.0,1000.0,0.0,1000.0,2000.0,11750.21,0
May 2015,2015-05-29,2000.0,12183.21,1181.93443,406.72,1000.0,406.72,1406.72,1000.0,13215.27,3
Jun 2015,2015-06-30,1000.0,13081.79,1173.482841,1173.48,1000.0,1173.48,2173.48,0.0,14034.19,7
Jul 2015,2015-07-31,0.0,15151.46,1262.621728,851.48,0.0,851.48,851.48,0.0,15241.95,4
Aug 2015,2015-08-31,0.0,16356.25,1363.020707,890.93,0.0,890.93,890.93,0.0,16272.74,3
Sep 2015,2015-09-30,0.0,16306.16,1358.846442,868.36,0.0,868.36,868.36,0.0,16339.51,3
Oct 2015,2015-10-30,0.0,16934.47,1411.205948,434.85,0.0,434.85,434.85,0.0,16947.26,1
Nov 2015,2015-11-30,0.0,16716.77,1393.064306,1393.06,0.0,1393.06,1393.06,0.0,16757.4,8
Dec 2015,2015-12-31,0.0,16953.86,1412.821411,569.99,0.0,569.99,569.99,0.0,16983.65,3
Jan 2016,2016-01-29,0.0,15952.5,1329.374627,591.76,0.0,591.76,591.76,0.0,15937.2,3
Feb 2016,2016-02-29,0.0,14614.73,1217.894295,1217.89,0.0,1217.89,1217.89,0.0,14529.26,8
Mar 2016,2016-03-31,0.0,16015.46,1334.621409,399.55,0.0,399.55,399.55,0.0,16047.84,2
Apr 2016,2016-04-29,0.0,16512.38,1376.031913,138.09,0.0,138.09,138.09,0.0,16511.52,1
May 2016,2016-05-31,0.0,16530.43,1377.535637,554.75,0.0,554.75,554.75,0.0,16528.92,2
Jun 2016,2016-06-30,0.0,17061.2,1421.766381,0.0,0.0,0.0,0.0,0.0,17061.2,0
Jul 2016,2016-07-29,0.0,19098.17,1591.513893,96.97,0.0,96.97,96.97,0.0,19108.42,1
Aug 2016,2016-08-31,0.0,24908.47,2075.70624,2075.71,0.0,2075.71,2075.71,0.0,25326.29,7
Sep 2016,2016-09-30,0.0,24723.46,2060.288285,303.68,0.0,303.68,303.68,0.0,24733.06,2
Oct 2016,2016-10-28,0.0,25533.01,2127.751225,2127.75,0.0,2127.75,2127.75,0.0,25636.76,11
