Month,Date,Selected_Tickers,Holdings_Count,Total_Liquidated,Stocks_Affected
Jul 2014,2014-07-31,6,6,0.0,0
Aug 2014,2014-08-28,6,7,0.0,0
Sep 2014,2014-09-30,6,10,0.0,0
Oct 2014,2014-10-31,6,11,162.07,1
Nov 2014,2014-11-28,6,11,0.0,0
Dec 2014,2014-12-31,6,11,0.0,0
Jan 2015,2015-01-30,6,11,0.0,0
Feb 2015,2015-02-27,6,13,0.0,0
Mar 2015,2015-03-31,6,12,150.65,1
Apr 2015,2015-04-30,6,14,0.0,0
May 2015,2015-05-29,6,15,406.72,3
Jun 2015,2015-06-30,6,12,1173.48,7
Jul 2015,2015-07-31,6,14,851.48,4
Aug 2015,2015-08-31,6,15,890.93,3
Sep 2015,2015-09-30,6,15,868.36,3
Oct 2015,2015-10-30,6,15,434.85,1
Nov 2015,2015-11-30,6,15,1393.06,8
Dec 2015,2015-12-31,6,17,569.99,3
Jan 2016,2016-01-29,6,16,591.76,3
Feb 2016,2016-02-29,6,13,1217.89,8
Mar 2016,2016-03-31,6,14,399.55,2
Apr 2016,2016-04-29,6,15,138.09,1
May 2016,2016-05-31,6,13,554.75,2
Jun 2016,2016-06-30,6,13,0.0,0
Jul 2016,2016-07-29,6,15,96.97,1
Aug 2016,2016-08-31,6,17,2075.71,7
Sep 2016,2016-09-30,6,18,303.68,2
Oct 2016,2016-10-28,6,18,2127.75,11
Nov 2016,2016-11-30,6,15,2044.04,13
Dec 2016,2016-12-30,6,15,0.0,0
Jan 2017,2017-01-31,6,15,0.0,0
Feb 2017,2017-02-28,6,15,0.0,0
Mar 2017,2017-03-31,6,15,0.0,0
Apr 2017,2017-04-28,6,15,0.0,0
May 2017,2017-05-31,6,17,2619.68,14
Jun 2017,2017-06-30,6,18,395.33,1
Jul 2017,2017-07-31,6,18,3256.47,9
Aug 2017,2017-08-31,6,18,3128.65,10
Sep 2017,2017-09-29,6,19,1640.62,9
Oct 2017,2017-10-31,6,18,3604.47,13
Nov 2017,2017-11-30,6,19,3809.04,7
Dec 2017,2017-12-29,6,20,3897.55,4
Jan 2018,2018-01-31,6,20,3789.6,5
Feb 2018,2018-02-28,6,21,3612.7,6
Mar 2018,2018-03-28,6,22,3398.93,4
Apr 2018,2018-04-30,6,22,3618.12,9
May 2018,2018-05-31,6,21,3311.39,4
Jun 2018,2018-06-29,6,20,3118.36,8
Jul 2018,2018-07-31,6,20,3213.91,7
Aug 2018,2018-08-31,6,17,3485.92,8
Sep 2018,2018-09-28,6,17,3391.76,8
Oct 2018,2018-10-31,6,19,3495.19,7
Nov 2018,2018-11-30,6,19,3401.27,7
Dec 2018,2018-12-31,6,19,3451.77,4
Jan 2019,2019-01-31,6,18,3455.82,6
Feb 2019,2019-02-28,6,18,1757.32,3
Mar 2019,2019-03-29,6,18,1439.28,2
Apr 2019,2019-04-30,6,20,1963.1,3
May 2019,2019-05-31,6,19,579.0,2
Jun 2019,2019-06-28,6,18,3587.98,9
Jul 2019,2019-07-31,6,18,1629.35,7
Aug 2019,2019-08-30,6,20,1328.51,2
Sep 2019,2019-09-30,6,19,3678.74,8
Oct 2019,2019-10-31,6,18,1990.23,3
Nov 2019,2019-11-29,6,18,2258.6,4
Dec 2019,2019-12-31,6,18,3935.83,12
Jan 2020,2020-01-31,6,18,4146.33,9
Feb 2020,2020-02-28,6,17,3853.74,9
Mar 2020,2020-03-31,6,16,2828.92,8
Apr 2020,2020-04-30,6,17,3114.04,7
May 2020,2020-05-29,6,16,3095.48,11
Jun 2020,2020-06-30,6,14,1431.37,3
Jul 2020,2020-07-30,6,16,3886.85,10
Aug 2020,2020-08-31,6,15,2226.24,7
Sep 2020,2020-09-30,6,16,3118.25,7
Oct 2020,2020-10-30,6,16,0.0,0
Nov 2020,2020-11-27,6,17,616.69,1
Dec 2020,2020-12-31,6,17,1218.35,1
Jan 2021,2021-01-29,6,17,1190.51,1
Feb 2021,2021-02-26,6,20,1074.67,1
Mar 2021,2021-03-31,6,20,0.0,0
Apr 2021,2021-04-30,6,21,760.22,1
May 2021,2021-05-31,6,21,0.0,0
Jun 2021,2021-06-30,6,23,550.76,1
Jul 2021,2021-07-30,6,24,7959.1,6
Aug 2021,2021-08-31,6,22,5880.05,12
Sep 2021,2021-09-30,6,21,1717.01,2
Oct 2021,2021-10-29,6,21,8370.07,6
Nov 2021,2021-11-30,6,22,9117.9,7
Dec 2021,2021-12-31,6,22,6590.88,7
Jan 2022,2022-01-31,6,24,11345.02,9
Feb 2022,2022-02-28,6,23,261.51,1
Mar 2022,2022-03-31,6,21,8718.11,12
Apr 2022,2022-04-29,6,20,8458.86,10
May 2022,2022-05-31,6,20,0.0,0
Jun 2022,2022-06-30,6,20,0.0,0
Jul 2022,2022-07-29,6,20,10314.31,17
Aug 2022,2022-08-30,6,22,3658.77,4
Sep 2022,2022-09-30,6,21,9638.63,13
Oct 2022,2022-10-31,6,23,599.85,1
