Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
TI.NS,38.667757,393.04,15197.81,480.75,18589.52
REDINGTON.NS,23.981043,260.74,6252.7,243.89,5848.74
BANCOINDIA.NS,42.803996,453.62,19416.72,590.7,25284.32
HAL.NS,0.947286,4343.2,4114.25,4429.6,4196.1
SURYAROSNI.NS,16.076543,510.11,8200.86,281.98,4533.3
RITES.NS,13.195941,285.11,3762.25,258.48,3410.89
APARINDS.NS,1.106412,7281.07,8055.86,7802.0,8632.22
GULFOILLUB.NS,3.749064,1291.36,4841.4,1273.4,4774.06
GREENPLY.NS,13.112319,363.41,4765.1,305.9,4011.06
HINDZINC.NS,29.769003,453.62,13503.84,435.9,12976.31
POWERGRID.NS,8.908687,327.85,2920.71,279.85,2493.1
DIXON.NS,0.145125,14486.15,2102.31,17582.0,2551.6
DIVISLAB.NS,0.357286,5884.1,2102.31,6093.0,2176.95
MUTHOOTFIN.NS,0.967713,2172.45,2102.31,2710.0,2622.5
KSCL.NS,10.408517,1194.76,12435.65,1188.4,12369.48
GRAVITA.NS,5.984273,1726.75,10333.34,1655.6,9907.56
COROMANDEL.NS,8.129728,2185.69,17769.04,2339.4,19018.68
CHAMBLFERT.NS,4.159751,545.35,2268.52,544.85,2266.44
PERSISTENT.NS,0.943703,5416.15,5111.23,5420.0,5114.87
ASTRAZEN.NS,0.607819,8591.56,5222.11,8764.0,5326.92
SOLARINDS.NS,0.384833,14587.36,5613.7,14046.0,5405.37
SUVENPHAR.NS,2.780159,1022.5,2842.71,1056.65,2937.65
REFEX.NS,18.026096,412.5,7435.7,364.2,6565.1
WELCORP.NS,8.367614,888.63,7435.7,848.45,7099.5
BASF.NS,0.528175,5206.0,2749.68,4629.6,2445.24
MANAPPURAM.NS,10.745136,247.9,2663.72,275.0,2954.91
GPIL.NS,8.451967,239.27,2022.3,239.27,2022.3
IMFA.NS,2.266266,892.35,2022.3,892.35,2022.3
