Month,Ticker,Invested_Amount,Current_Amount,Portfolio_Total,Weight_Pct
Jul 2014,VSTIND.NS,166.67,270.48,1108.97,24.39
Aug 2014,VSTIND.NS,333.33,436.54,2056.79,21.224
Sep 2014,AJANTPHARM.NS,500.0,526.68,3280.21,16.056
Oct 2014,AJANTPHARM.NS,693.68,790.21,4403.36,17.946
Nov 2014,AJANTPHARM.NS,860.34,1189.14,5736.23,20.73
Dec 2014,AJANTPHARM.NS,1027.01,1332.38,6826.23,19.519
Jan 2015,AJANTPHARM.NS,1193.68,1643.25,8043.07,20.431
Feb 2015,AJANTPHARM.NS,1360.34,1932.41,9202.51,20.999
Mar 2015,AJANTPHARM.NS,1552.12,2378.78,10355.7,22.971
Apr 2015,AJANTPHARM.NS,1552.12,2444.59,11750.21,20.805
May 2015,AJANTPHARM.NS,1786.57,3336.63,13215.26,25.248
Jun 2015,AJANTPHARM.NS,1786.57,3326.97,14034.18,23.706
Jul 2015,AJANTPHARM.NS,1619.91,2914.83,15265.76,19.094
Aug 2015,VSTIND.NS,2059.87,3436.72,16297.05,21.088
Sep 2015,VSTIND.NS,2204.59,3848.69,16363.64,23.52
Oct 2015,VSTIND.NS,2277.07,3918.59,16972.28,23.088
Nov 2015,VSTIND.NS,2509.6,4373.53,16783.23,26.059
Dec 2015,VSTIND.NS,2548.13,4434.18,17037.350000000002,26.026
Jan 2016,VSTIND.NS,2646.76,4529.68,15978.27,28.349
Feb 2016,VSTIND.NS,2850.03,4219.08,14549.76,28.998
Mar 2016,VSTIND.NS,2945.19,4716.44,16060.789999999999,29.366
Apr 2016,VSTIND.NS,2968.3,4678.2,16533.87,28.295
May 2016,VSTIND.NS,3060.75,4842.72,16555.9,29.251
Jun 2016,VSTIND.NS,3060.75,4960.9,17093.94,29.021
Jul 2016,VSTIND.NS,3076.98,5964.2,19129.73,31.178
Aug 2016,VSTIND.NS,3422.81,11403.37,25317.37,45.042
Sep 2016,VSTIND.NS,3474.31,11208.75,24740.82,45.305
Oct 2016,VSTIND.NS,3828.81,12085.65,25627.18,47.16
Nov 2016,VSTIND.NS,3538.96,9736.03,24397.18,39.906
Dec 2016,VSTIND.NS,3589.03,10554.83,24781.73,42.591
Jan 2017,VSTIND.NS,3662.75,10619.41,26232.31,40.482
Feb 2017,VSTIND.NS,3662.75,11889.0,28440.0,41.804
Mar 2017,VSTIND.NS,3662.75,12676.03,29747.98,42.611
Apr 2017,VSTIND.NS,3662.75,13470.36,31203.24,43.17
May 2017,VSTIND.NS,3254.48,11609.23,31825.45,36.478
Jun 2017,VSTIND.NS,3320.59,13423.07,34032.51,39.442
Jul 2017,VSTIND.NS,3847.34,15998.38,38125.159999999996,41.963
Aug 2017,VSTIND.NS,4362.35,14509.78,37041.96,39.171
Sep 2017,VSTIND.NS,4670.59,15519.34,38188.08,40.639
Oct 2017,VSTIND.NS,4175.04,14029.3,42595.42,32.936
Nov 2017,VSTIND.NS,3682.52,10858.03,44663.770000000004,24.311
Dec 2017,VSTIND.NS,3052.78,6787.38,46429.78,14.619
Jan 2018,BALKRISIND.NS,4898.59,7062.39,44138.840000000004,16.0
Feb 2018,BALKRISIND.NS,5467.68,7277.89,40759.27,17.856
Mar 2018,BALKRISIND.NS,6019.48,7713.23,39658.1,19.449
Apr 2018,BALKRISIND.NS,6602.58,9891.97,42354.9,23.355
May 2018,BALKRISIND.NS,7124.15,9276.86,37296.1,24.874
Jun 2018,BALKRISIND.NS,7484.74,8850.51,35900.07,24.653
Jul 2018,BALKRISIND.NS,6413.93,7879.72,37654.85,20.926
Aug 2018,BALKRISIND.NS,5827.82,7934.47,40732.17,19.48
Sep 2018,BALKRISIND.NS,5049.72,4955.14,35557.26,13.936
Oct 2018,BALKRISIND.NS,4463.48,4561.86,36290.87,12.57
Nov 2018,TECHM.NS,4390.97,4641.26,35381.11,13.118
Dec 2018,TECHM.NS,4888.99,5259.65,35801.78,14.691
Jan 2019,TECHM.NS,5071.94,5509.5,35604.58,15.474
Feb 2019,TECHM.NS,5071.94,6249.1,35881.56,17.416
Mar 2019,TECHM.NS,5302.1,6022.63,37858.48,15.908
Apr 2019,TECHM.NS,5302.1,6525.23,38439.65,16.975
May 2019,TECHM.NS,5395.1,6018.54,37766.479999999996,15.936
Jun 2019,TECHM.NS,5395.1,5593.08,36393.74,15.368
Jul 2019,TECHM.NS,5633.72,5365.42,34228.28,15.675
Aug 2019,TECHM.NS,5848.33,6087.41,35825.54,16.992
Sep 2019,TECHM.NS,6368.98,6798.42,37764.41,18.002
Oct 2019,TECHM.NS,6368.98,7031.54,39366.87,17.862
Nov 2019,TECHM.NS,6368.98,7245.15,40151.71,18.044
Dec 2019,TECHM.NS,6368.98,7253.24,41173.46,17.616
Jan 2020,TECHM.NS,6368.98,7579.6,43250.93,17.525
Feb 2020,TECHM.NS,6368.98,7082.92,39696.020000000004,17.843
